[True]
Run timestamp: 08082024_095147_12.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'seqfish_mouse_organogenesis_imputed_subsample_50pct', '--reference_batches', 'batch1', 'batch2', 'batch3', 'batch4', '--n_neighbors', '8', '--filter_genes', '--n_hvg', '0', '--n_svg', '5000', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '0', '--active_gp_thresh_ratio', '0.01', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '100', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000', '--lambda_gene_expr_recon', '3000', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0.0', '--lambda_l1_addon', '0.0', '--edge_batch_size', '256', '--node_batch_size', 'None', '--n_sampled_neighbors', '4', '--seed', '0', '--timestamp_suffix', '_12']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2444.
Number of gene programs after filtering and combining: 2109.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Filtering genes...
Starting with 29239 genes.
Keeping 8436 genes after filtering genes with expression in {} cells.
Keeping 5000 spatially variable, highly variable or gene program relevant genes.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.01
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 5000, n_cat_covariates_embed_input: 0, n_hidden: 1851, n_latent: 1851, n_addon_latent: 0, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, 
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1851, n_addon_gp_input: 0, n_cat_covariates_embed_input: 3, n_output: 5000
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1851, n_addon_gp_input: 0, n_cat_covariates_embed_input: 3, n_output: 5000

--- INITIALIZING TRAINER ---
Number of training nodes: 14395
Number of validation nodes: 1600
Number of training edges: 64927
Number of validation edges: 7214
Edge batch size: 256
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/100 |--------------------| 1.0% val_auroc_score: 0.8829; val_auprc_score: 0.9620; val_best_acc_score: 0.7963; val_best_f1_score: 0.8866; train_kl_reg_loss: 239558.2011; train_edge_recon_loss: 1549716.5221; train_gene_expr_recon_loss: 20416556.3543; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 22205831.0630; train_optim_loss: 22205831.0630; val_kl_reg_loss: 192283.0189; val_edge_recon_loss: 1651276.2241; val_gene_expr_recon_loss: 16281865.8966; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 18125425.3103; val_optim_loss: 18125425.3103
Epoch 2/100 |--------------------| 2.0% val_auroc_score: 0.8579; val_auprc_score: 0.9565; val_best_acc_score: 0.8530; val_best_f1_score: 0.9108; train_kl_reg_loss: 174802.3850; train_edge_recon_loss: 1517727.8282; train_gene_expr_recon_loss: 15918394.2795; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 17610924.4252; train_optim_loss: 17610924.4252; val_kl_reg_loss: 138627.1967; val_edge_recon_loss: 1620943.9353; val_gene_expr_recon_loss: 15522668.5517; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 17282239.6897; val_optim_loss: 17282239.6897
Epoch 3/100 |--------------------| 3.0% val_auroc_score: 0.8438; val_auprc_score: 0.9476; val_best_acc_score: 0.8585; val_best_f1_score: 0.9156; train_kl_reg_loss: 144351.0318; train_edge_recon_loss: 1506221.8809; train_gene_expr_recon_loss: 15175090.6732; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 16825663.6220; train_optim_loss: 16825663.6220; val_kl_reg_loss: 140221.3664; val_edge_recon_loss: 1570975.5431; val_gene_expr_recon_loss: 14911636.6897; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 16622833.5517; val_optim_loss: 16622833.5517
Epoch 4/100 |--------------------| 4.0% val_auroc_score: 0.8548; val_auprc_score: 0.9539; val_best_acc_score: 0.8673; val_best_f1_score: 0.9224; train_kl_reg_loss: 131506.9459; train_edge_recon_loss: 1409069.2338; train_gene_expr_recon_loss: 14638222.6260; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 16178798.7953; train_optim_loss: 16178798.7953; val_kl_reg_loss: 137008.1266; val_edge_recon_loss: 1346334.7069; val_gene_expr_recon_loss: 14427257.4138; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 15910600.3448; val_optim_loss: 15910600.3448
Epoch 5/100 |█-------------------| 5.0% val_auroc_score: 0.8612; val_auprc_score: 0.9568; val_best_acc_score: 0.8713; val_best_f1_score: 0.9244; train_kl_reg_loss: 136853.2883; train_edge_recon_loss: 1341730.1137; train_gene_expr_recon_loss: 14182396.4331; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 15660979.8110; train_optim_loss: 15660979.8110; val_kl_reg_loss: 133502.3489; val_edge_recon_loss: 1303082.1164; val_gene_expr_recon_loss: 13998150.0690; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 15434734.4828; val_optim_loss: 15434734.4828
Epoch 6/100 |█-------------------| 6.0% val_auroc_score: 0.8675; val_auprc_score: 0.9589; val_best_acc_score: 0.8738; val_best_f1_score: 0.9262; train_kl_reg_loss: 127301.2395; train_edge_recon_loss: 1311132.8976; train_gene_expr_recon_loss: 13789913.6417; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 15228347.7756; train_optim_loss: 15228347.7756; val_kl_reg_loss: 121383.8079; val_edge_recon_loss: 1292177.5453; val_gene_expr_recon_loss: 13623509.4138; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 15037070.6897; val_optim_loss: 15037070.6897
Epoch 7/100 |█-------------------| 7.0% val_auroc_score: 0.8632; val_auprc_score: 0.9554; val_best_acc_score: 0.8702; val_best_f1_score: 0.9232; train_kl_reg_loss: 116991.1847; train_edge_recon_loss: 1303727.4417; train_gene_expr_recon_loss: 13455519.4094; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 14876238.0157; train_optim_loss: 14876238.0157; val_kl_reg_loss: 110071.9286; val_edge_recon_loss: 1331317.5216; val_gene_expr_recon_loss: 13319252.4138; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 14760641.8621; val_optim_loss: 14760641.8621
Epoch 8/100 |█-------------------| 8.0% val_auroc_score: 0.8664; val_auprc_score: 0.9603; val_best_acc_score: 0.8802; val_best_f1_score: 0.9299; train_kl_reg_loss: 108998.4583; train_edge_recon_loss: 1277855.3455; train_gene_expr_recon_loss: 13164930.2165; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 14551784.0315; train_optim_loss: 14551784.0315; val_kl_reg_loss: 113236.2177; val_edge_recon_loss: 1211213.4849; val_gene_expr_recon_loss: 13055458.7241; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 14379908.4138; val_optim_loss: 14379908.4138
Epoch 9/100 |█-------------------| 9.0% val_auroc_score: 0.8827; val_auprc_score: 0.9639; val_best_acc_score: 0.8792; val_best_f1_score: 0.9283; train_kl_reg_loss: 103118.2207; train_edge_recon_loss: 1258756.0827; train_gene_expr_recon_loss: 12916482.6339; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 14278356.9567; train_optim_loss: 14278356.9567; val_kl_reg_loss: 99556.1344; val_edge_recon_loss: 1271203.6422; val_gene_expr_recon_loss: 12812966.2759; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 14183726.0345; val_optim_loss: 14183726.0345
Epoch 10/100 |██------------------| 10.0% val_auroc_score: 0.8852; val_auprc_score: 0.9654; val_best_acc_score: 0.8788; val_best_f1_score: 0.9273; train_kl_reg_loss: 98921.3262; train_edge_recon_loss: 1254116.2429; train_gene_expr_recon_loss: 12690310.3583; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 14043347.9016; train_optim_loss: 14043347.9016; val_kl_reg_loss: 96631.2115; val_edge_recon_loss: 1235954.1961; val_gene_expr_recon_loss: 12606600.0690; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 13939185.4828; val_optim_loss: 13939185.4828
Epoch 11/100 |██------------------| 11.0% val_auroc_score: 0.8858; val_auprc_score: 0.9646; val_best_acc_score: 0.8740; val_best_f1_score: 0.9245; train_kl_reg_loss: 94173.0453; train_edge_recon_loss: 1244437.4877; train_gene_expr_recon_loss: 12496736.2992; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 13835346.8583; train_optim_loss: 13835346.8583; val_kl_reg_loss: 90093.4585; val_edge_recon_loss: 1261531.2112; val_gene_expr_recon_loss: 12415907.4828; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 13767532.1034; val_optim_loss: 13767532.1034
