[True]
Run timestamp: 31012024_214358_24.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'starmap_plus_mouse', '--reference_batches', 'batch10', 'batch15', 'batch21', 'batch22', 'batch23', '--n_neighbors', '8', '--no-filter_genes', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--cat_covariates_keys', 'dataset', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--active_gp_thresh_ratio', '0.01', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '50', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '500000.', '--lambda_gene_expr_recon', '300.', '--lambda_cat_covariates_contrastive', '30.0', '--contrastive_logits_pos_ratio', '0.0625', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0.0', '--edge_batch_size', '512', '--node_batch_size', 'None', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_24']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2324.
Number of gene programs after filtering and combining: 1818.

Processing batch batch10...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch15...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch21...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch22...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch23...
Loading data...
Computing spatial neighborhood graph...

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.01
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 931, n_cat_covariates_embed_input: 0, n_hidden: 931, n_latent: 1412, n_addon_latent: 10, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, 
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1412, n_addon_gp_input: 10, n_cat_covariates_embed_input: 50, n_output: 931
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1412, n_addon_gp_input: 10, n_cat_covariates_embed_input: 50, n_output: 931

--- INITIALIZING TRAINER ---
Number of training nodes: 115396
Number of validation nodes: 12822
Number of training edges: 529798
Number of validation edges: 58866
Edge batch size: 512
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.9779; val_auprc_score: 0.9817; val_best_acc_score: 0.9385; val_best_f1_score: 0.9497; train_kl_reg_loss: 5269.1107; train_edge_recon_loss: 215981.9183; train_cat_covariates_contrastive_loss: 12.1217; train_gene_expr_recon_loss: 216715.7842; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 437978.9353; train_optim_loss: 437978.9353; val_kl_reg_loss: 5450.6348; val_edge_recon_loss: 211080.0389; val_cat_covariates_contrastive_loss: 12.7602; val_gene_expr_recon_loss: 203556.2038; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 420099.6370; val_optim_loss: 420099.6370
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.9860; val_auprc_score: 0.9884; val_best_acc_score: 0.9530; val_best_f1_score: 0.9614; train_kl_reg_loss: 5443.4758; train_edge_recon_loss: 208714.2794; train_cat_covariates_contrastive_loss: 13.3499; train_gene_expr_recon_loss: 198654.7388; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 412825.8438; train_optim_loss: 412825.8438; val_kl_reg_loss: 5457.8644; val_edge_recon_loss: 210792.3969; val_cat_covariates_contrastive_loss: 13.5463; val_gene_expr_recon_loss: 192354.2954; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 408618.1024; val_optim_loss: 408618.1024
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.9871; val_auprc_score: 0.9894; val_best_acc_score: 0.9571; val_best_f1_score: 0.9647; train_kl_reg_loss: 5799.0366; train_edge_recon_loss: 209228.1567; train_cat_covariates_contrastive_loss: 13.8529; train_gene_expr_recon_loss: 186456.7385; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 401497.7848; train_optim_loss: 401497.7848; val_kl_reg_loss: 5970.8604; val_edge_recon_loss: 211544.9431; val_cat_covariates_contrastive_loss: 13.8454; val_gene_expr_recon_loss: 179616.7129; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 397146.3622; val_optim_loss: 397146.3622
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.9885; val_auprc_score: 0.9906; val_best_acc_score: 0.9594; val_best_f1_score: 0.9666; train_kl_reg_loss: 6262.0143; train_edge_recon_loss: 209485.2032; train_cat_covariates_contrastive_loss: 13.9223; train_gene_expr_recon_loss: 175575.9585; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 391337.0979; train_optim_loss: 391337.0979; val_kl_reg_loss: 6465.1323; val_edge_recon_loss: 211179.1367; val_cat_covariates_contrastive_loss: 13.9270; val_gene_expr_recon_loss: 171610.0899; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 389268.2864; val_optim_loss: 389268.2864
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.9898; val_auprc_score: 0.9916; val_best_acc_score: 0.9615; val_best_f1_score: 0.9683; train_kl_reg_loss: 6530.3999; train_edge_recon_loss: 209693.6524; train_cat_covariates_contrastive_loss: 14.0013; train_gene_expr_recon_loss: 168982.9671; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 385221.0200; train_optim_loss: 385221.0200; val_kl_reg_loss: 6677.6182; val_edge_recon_loss: 211842.4554; val_cat_covariates_contrastive_loss: 14.1113; val_gene_expr_recon_loss: 165849.8159; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 384384.0019; val_optim_loss: 384384.0019
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.9897; val_auprc_score: 0.9912; val_best_acc_score: 0.9629; val_best_f1_score: 0.9694; train_kl_reg_loss: 6716.1598; train_edge_recon_loss: 209471.5981; train_cat_covariates_contrastive_loss: 14.0061; train_gene_expr_recon_loss: 165035.9445; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 381237.7083; train_optim_loss: 381237.7083; val_kl_reg_loss: 6683.7078; val_edge_recon_loss: 212092.5111; val_cat_covariates_contrastive_loss: 13.8706; val_gene_expr_recon_loss: 162964.1016; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 381754.1918; val_optim_loss: 381754.1918
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.9898; val_auprc_score: 0.9914; val_best_acc_score: 0.9621; val_best_f1_score: 0.9689; train_kl_reg_loss: 6792.7225; train_edge_recon_loss: 209522.1956; train_cat_covariates_contrastive_loss: 14.0335; train_gene_expr_recon_loss: 161998.6514; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 378327.6026; train_optim_loss: 378327.6026; val_kl_reg_loss: 6805.8035; val_edge_recon_loss: 211116.7143; val_cat_covariates_contrastive_loss: 14.0018; val_gene_expr_recon_loss: 160358.0365; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 378294.5546; val_optim_loss: 378294.5546
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.9901; val_auprc_score: 0.9917; val_best_acc_score: 0.9637; val_best_f1_score: 0.9701; train_kl_reg_loss: 6858.0513; train_edge_recon_loss: 209310.4997; train_cat_covariates_contrastive_loss: 14.1359; train_gene_expr_recon_loss: 159904.6836; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 376087.3696; train_optim_loss: 376087.3696; val_kl_reg_loss: 6885.7003; val_edge_recon_loss: 211646.5535; val_cat_covariates_contrastive_loss: 14.0612; val_gene_expr_recon_loss: 158418.4769; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 376964.7921; val_optim_loss: 376964.7921
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9904; val_auprc_score: 0.9920; val_best_acc_score: 0.9651; val_best_f1_score: 0.9713; train_kl_reg_loss: 6902.3918; train_edge_recon_loss: 209281.0760; train_cat_covariates_contrastive_loss: 14.0844; train_gene_expr_recon_loss: 158499.1831; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 374696.7360; train_optim_loss: 374696.7360; val_kl_reg_loss: 7071.9099; val_edge_recon_loss: 211182.7247; val_cat_covariates_contrastive_loss: 13.9268; val_gene_expr_recon_loss: 157368.8304; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 375637.3899; val_optim_loss: 375637.3899
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9910; val_auprc_score: 0.9924; val_best_acc_score: 0.9663; val_best_f1_score: 0.9723; train_kl_reg_loss: 6949.3183; train_edge_recon_loss: 209063.6225; train_cat_covariates_contrastive_loss: 14.0711; train_gene_expr_recon_loss: 157070.7528; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 373097.7647; train_optim_loss: 373097.7647; val_kl_reg_loss: 6917.7860; val_edge_recon_loss: 210533.3371; val_cat_covariates_contrastive_loss: 14.0870; val_gene_expr_recon_loss: 157053.6379; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 374518.8484; val_optim_loss: 374518.8484
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9911; val_auprc_score: 0.9925; val_best_acc_score: 0.9653; val_best_f1_score: 0.9714; train_kl_reg_loss: 6964.8485; train_edge_recon_loss: 209125.8158; train_cat_covariates_contrastive_loss: 14.0668; train_gene_expr_recon_loss: 156237.6149; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 372342.3457; train_optim_loss: 372342.3457; val_kl_reg_loss: 7053.8093; val_edge_recon_loss: 210872.3143; val_cat_covariates_contrastive_loss: 13.9401; val_gene_expr_recon_loss: 156231.4067; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 374171.4671; val_optim_loss: 374171.4671
