,gp_name,n_source_genes,n_non_zero_source_genes,n_target_genes,n_non_zero_target_genes,gp_source_genes,gp_target_genes,gp_source_genes_weights_sign_corrected,gp_target_genes_weights_sign_corrected,gp_source_genes_importances,gp_target_genes_importances
1332,WISP2_ligand_targetgenes_GP,1,0,23,4,['Wisp2'],"['Krt7', 'Krt8', 'Crip1', 'Sdc4', 'Sema3f', 'S100a6', 'Rarg', 'Rara', 'Nr3c1', 'Notch3', 'Lifr', 'Lgi3', 'Lama5', 'Jup', 'Junb', 'Id1', 'Hdac7', 'Grhl2', 'Dusp27', 'Col5a1', 'Cirbp', 'Cdc42ep4', 'Adgre5']",[-0.0],"[0.5048, 0.2406, -0.1949, 0.0177, -0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0]",[0.0],"[0.5269, 0.2512, 0.2034, 0.0184, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
149,IGF2_ligand_receptor_GP,1,0,1,0,['Igf2'],['Gpr152'],[0.0],[0.0],[0.4652],[0.5348]
1027,LRRC4_ligand_targetgenes_GP,1,0,1,0,['Lrrc4'],['Cd44'],[0.0],[-0.0],[0.5933],[0.4067]
238,WNT8B_ligand_receptor_GP,1,0,1,0,['Wnt8b'],['Fzd4'],[0.0],[-0.0],[0.7584],[0.2416]
644,HAPLN1_ligand_receptor_GP,1,0,1,0,['Hapln1'],['Treml2'],[0.0],[0.0],[0.0714],[0.9286]
1091,INS_ligand_targetgenes_GP,0,0,8,0,[],"['Hacd4', 'Selenop', 'Adgrl2', 'Plpp3', 'Rack1', 'Nectin3', 'Adgra2', 'Tceal9']",[],"[-0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0]",[],"[0.3667, 0.2033, 0.1133, 0.0997, 0.0931, 0.0747, 0.0424, 0.0069]"
536,SEMA5B_ligand_receptor_GP,1,0,1,0,['Sema5b'],['Plxna3'],[0.0],[0.0],[0.907],[0.093]
287,EFNA1_ligand_receptor_GP,1,0,1,0,['Efna1'],['Epha10'],[-0.0],[0.0],[0.4594],[0.5406]
1300,TFPI_ligand_targetgenes_GP,1,0,4,0,['Tfpi'],"['Id1', 'Cdkn1a', 'Junb', 'Serpine1']",[-0.0],"[0.0, 0.0, 0.0, -0.0]",[0.0313],"[0.4181, 0.2942, 0.1415, 0.1149]"
1519,Vitamin A_metabolite_enzyme_sensor_GP,16,0,7,0,"['Dhrs3', 'Retsat', 'Rdh11', 'Hsd17b6', 'Rdh10', 'Dgat2', 'Lrat', 'Adh7', 'Awat2', 'Rdh8', 'Adh5', 'Sdr16c5', 'Adh4', 'Adh1', 'Adh6b', 'Dgat1']","['Rbp2', 'Rbp4', 'Rbp1', 'Rarg', 'Stra6', 'Rara', 'Rarb']","[0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0]","[-0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0]","[0.1038, 0.0877, 0.0712, 0.0708, 0.0699, 0.0672, 0.0582, 0.0501, 0.047, 0.0461, 0.0344, 0.0294, 0.0264, 0.0164, 0.0028, 0.0021]","[0.0475, 0.0474, 0.0414, 0.036, 0.0309, 0.0095, 0.0037]"
217,VCL_ligand_receptor_GP,1,0,1,0,['Vcl'],['Alk'],[0.0],[-0.0],[0.9016],[0.0984]
1480,Glycerol_metabolite_enzyme_sensor_GP,18,0,1,0,"['Akr1b8', 'Mgll', 'Gk2', 'Akr1b10', 'Enpp6', 'Abhd12', 'Crls1', 'Gla', 'Lpl', 'Akr1a1', 'Lipe', 'Gk', 'Gk5', 'Gykl1', 'Abhd6', 'Akr1b3', 'Gdpd2', 'Akr1b7']",['Aqp3'],"[0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0]",[-0.0],"[0.1222, 0.1192, 0.0999, 0.0804, 0.0793, 0.0756, 0.0508, 0.0454, 0.0319, 0.0292, 0.0266, 0.02, 0.0172, 0.0156, 0.008, 0.0059, 0.0056, 0.0036]",[0.1636]
1503,Palmitic acid_metabolite_enzyme_sensor_GP,22,0,1,0,"['Baat', 'Lypla1', 'Acsl6', 'Acsl3', 'Acsbg2', 'Acot1', 'Acot2', 'Acsbg1', 'Olah', 'Acsl1', 'Ppt2', 'Them5', 'Acsl5', 'Acot5', 'Acot3', 'Them4', 'Acot7', 'Fasn', 'Ppt1', 'Lypla2', 'Acot4', 'Acsl4']",['Slc27a5'],"[0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0]",[0.0],"[0.148, 0.1172, 0.1122, 0.0754, 0.0719, 0.0613, 0.0547, 0.0459, 0.0439, 0.042, 0.0357, 0.0322, 0.0315, 0.0304, 0.0259, 0.0163, 0.015, 0.0144, 0.0047, 0.0032, 0.003, 1e-04]",[0.0149]
1328,VGF_ligand_targetgenes_GP,1,0,49,9,['Vgf'],"['Hoxb9', 'Hoxb4', 'Hoxa5', 'Tbx1', 'Foxf1', 'Hoxb5', 'Hoxa7', 'Lhx1', 'Ccnd2', 'Wnt10b', 'Wnt10a', 'Wnt1', 'Vgf', 'Uncx', 'Tfap2a', 'Tbx4', 'Pou3f2', 'Pcdh7', 'Odc1', 'Nr2f2', 'Nkx6-1', 'Mecom', 'Irx4', 'Igf2', 'Id3', 'Id1', 'Hs6st2', 'Hoxc5', 'Hoxc10', 'Hoxa9', 'Hoxa11', 'Hoxa10', 'Gp1bb', 'Gnas', 'Gdnf', 'Gata4', 'Foxl1', 'Foxd3', 'Fgfr3', 'Fgf9', 'Evx1', 'Esrra', 'Clcf1', 'Cdkn1a', 'Ccnd1', 'Bdnf', 'Atf3', 'Arx', 'Ahnak']",[0.0],"[0.2541, 0.2404, 0.2298, -0.1512, 0.1351, 0.1331, 0.1141, 0.0414, 0.0008, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0]",[0.0],"[0.1955, 0.1849, 0.1768, 0.1163, 0.1039, 0.1024, 0.0877, 0.0319, 0.0006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
