,gp_name,n_source_genes,n_non_zero_source_genes,n_target_genes,n_non_zero_target_genes,gp_source_genes,gp_target_genes,gp_source_genes_weights_sign_corrected,gp_target_genes_weights_sign_corrected,gp_source_genes_importances,gp_target_genes_importances
243,SOSTDC1_ligand_receptor_GP,1,1,1,1,['Sostdc1'],['Lrp4'],[0.9271],[-0.0214],[0.9775],[0.0225]
413,SHH_ligand_receptor_GP,1,1,0,0,['Shh'],[],[0.8317],[],[1.0],[]
1180,FGF12_ligand_targetgenes_GP,1,1,0,0,['Fgf12'],[],[0.584],[],[1.0],[]
501,LRFN5_ligand_receptor_GP,1,1,1,1,['Lrfn5'],['Ptprd'],[-0.1069],[0.3726],[0.223],[0.777]
598,GPHB5_ligand_receptor_GP,1,1,1,1,['Gphb5'],['Tshr'],[-0.0276],[0.3237],[0.0787],[0.9213]
105,FGF18_ligand_receptor_GP,1,1,1,1,['Fgf18'],['Fgfr4'],[0.637],[-0.2804],[0.6944],[0.3056]
1062,EDN2_ligand_targetgenes_GP,1,1,1,1,['Edn2'],['Il6'],[0.1166],[0.26],[0.3096],[0.6904]
420,LUM_ligand_receptor_GP,1,1,1,1,['Lum'],['Itgb1'],[0.8115],[0.0214],[0.9743],[0.0257]
703,EDN2_ligand_receptor_GP,1,1,1,1,['Edn2'],['Ednrb'],[0.1291],[0.6296],[0.1702],[0.8298]
1274,SEMA5A_ligand_targetgenes_GP,1,1,0,0,['Sema5a'],[],[0.5942],[],[1.0],[]
380,APOA4_ligand_receptor_GP,1,1,1,1,['Apoa4'],['Lrp2'],[-0.0303],[0.3581],[0.078],[0.922]
151,GHRL_ligand_receptor_GP,1,1,1,1,['Ghrl'],['Gpr39'],[1.1128],[0.3732],[0.7489],[0.2511]
49,CXCL8_ligand_receptor_GP,0,0,1,1,[],['Lpar2'],[],[0.7573],[],[1.0]
504,SEMA3C_ligand_receptor_GP,1,1,2,2,['Sema3c'],"['Nrp2', 'Nrp1']",[0.5121],"[-0.2334, -0.1985]",[0.5425],"[0.2473, 0.2102]"
1167,DLK1_ligand_targetgenes_GP,1,1,0,0,['Dlk1'],[],[0.4676],[],[1.0],[]
377,APOC3_ligand_receptor_GP,1,1,1,1,['Apoc3'],['Lrp2'],[0.1536],[0.5264],[0.2258],[0.7742]
1190,FGF5_ligand_targetgenes_GP,1,1,0,0,['Fgf5'],[],[0.5178],[],[1.0],[]
