,gp_name,n_source_genes,n_non_zero_source_genes,n_target_genes,n_non_zero_target_genes,gp_source_genes,gp_target_genes,gp_source_genes_weights_sign_corrected,gp_target_genes_weights_sign_corrected,gp_source_genes_importances,gp_target_genes_importances
1415,CADM4_ligand_targetgenes_GP,1,1,2,2,['Cadm4'],"['Pou3f1', 'Fos']",[0.4885],"[1.118, -0.3013]",[0.2561],"[0.586, 0.1579]"
145,IGF2_ligand_receptor_GP,1,1,1,1,['Igf2'],['Gpr152'],[0.8311],[0.1121],[0.8812],[0.1188]
1076,INS_ligand_targetgenes_GP,0,0,301,54,[],"['Stmn2', 'Ehbp1', 'Twist2', 'Prrx2', 'Lum', 'Mfap4', 'Clmp', 'Gng11', 'Col3a1', 'Sall2', 'Igfbp2', 'Gpx3', 'Fbn2', 'Selenop', 'Slc2a1', 'Igf2', 'Ptn', 'Flrt2', 'Cpe', 'Emilin1', 'Fstl1', 'Dusp9', 'Sh3bp5', 'Itm2a', 'Bex1', 'Plpp3', 'Cd9', 'Sparcl1', 'Copz2', 'Fbln1', 'Rgma', 'Limd2', 'Odc1', 'Tenm4', 'Wnt5b', 'Cxcl12', 'Ina', 'Ptprf', 'Nampt', 'Tceal9', 'Asph', 'Jam3', 'Dlc1', 'Frzb', 'Spon1', 'Saa1', 'Pth1r', 'Cd36', 'Pcsk9', 'Eef2', 'Vgll3', 'Lpl', 'Gpm6b', 'Emx2', 'Zfp36l2', 'Wnt3a', 'Wnt3', 'Wnt10b', 'Was', 'Vit', 'Vcam1', 'Vars2', 'Unc5c', 'Tuba8', 'Ttr', 'Trpv4', 'Trpv1', 'Trpc6', 'Tnnt3', 'Tnnc2', 'Tnfsf12', 'Tnfsf10', 'Tnfrsf11b', 'Tmem30b', 'Tmem132c', 'Timp4', 'Th', 'Tgfbi', 'Tek', 'Tcf7l1', 'Tacc1', 'Svep1', 'Sucla2', 'Stat3', 'Sp6', 'Smoc2', 'Smoc1', 'Slit3', 'Slc48a1', 'Slc38a5', 'Slc38a2', 'Slc2a5', 'Slc25a18', 'Slc16a2', 'Slc16a12', 'Sfrp2', 'Sema3g', 'Sema3b', 'Scube2', 'Scara3', 'Samd14', 'S100b', 'Rxrg', 'Rbp4', 'Rarres1', 'Rad54l2', 'Rack1', 'Pxdn', 'Ptger2', 'Pten', 'Prps1l1', 'Ppy', 'Ppt2', 'Ppp1r1a', 'Ppp1r18', 'Ppip5k2', 'Ppip5k1', 'Pomc', 'Plxna4', 'Plxna1', 'Pla2g4c', 'Pla2g4b', 'Pilra', 'Pik3c2g', 'Phlpp2', 'Pdpn', 'Pdgfd', 'Pde8b', 'Pde1a', 'Parm1', 'P2rx2', 'Otub2', 'Orm1', 'Olfml1', 'Ociad2', 'Ntn1', 'Npy', 'Npr2', 'Npff', 'Nos2', 'Nectin3', 'Ndrg4', 'Nav2', 'Myzap', 'Mrap', 'Mgst2', 'Mgarp', 'Metrnl', 'Mesp2', 'March2', 'Maob', 'Man2b2', 'Mall', 'Ltbp3', 'Lipe', 'Lifr', 'Lgals8', 'Lep', 'Leap2', 'Ldlrap1', 'Ldb2', 'Lat', 'Lamc2', 'Lama5', 'Lama1', 'Klhl23', 'Klb', 'Kcnk3', 'Jam2', 'Itga7', 'Itga11', 'Islr', 'Irf5', 'Inhbc', 'Inhbb', 'Inhba', 'Il1rl1', 'Il17rc', 'Igsf10', 'Igfbp3', 'Igf1', 'Icam1', 'Htr2b', 'Hspb7', 'Hsd3b1', 'Hsd17b6', 'Hsd11b1', 'Hp', 'Hoxa7', 'Hnmt', 'Hk2', 'Hdc', 'Hand2', 'Hacd4', 'Guca2b', 'Gstm3', 'Gsta2', 'Grem1', 'Grb14', 'Gpnmb', 'Gpbar1', 'Gjb5', 'Gjb3', 'Gfpt2', 'Gba2', 'Gata4', 'Gapdh', 'Galnt3', 'G0s2', 'Foxf2', 'Fmo1', 'Fgfrl1', 'Fgfr3', 'Fgf4', 'Fga', 'Fermt1', 'Fcgrt', 'Fblim1', 'Fasn', 'Fap', 'Fam210b', 'Fam20c', 'Fam171b', 'Emcn', 'Elane', 'Efemp1', 'Ednrb', 'Eda', 'Dpp4', 'Dok5', 'Dmp1', 'Dio2', 'Ddx4', 'Ddr1', 'Dcn', 'Cyp7b1', 'Cyp7a1', 'Cyp27a1', 'Cyp17a1', 'Cxcl5', 'Crip2', 'Cox7a1', 'Cox6b2', 'Colec11', 'Col8a2', 'Col5a2', 'Col18a1', 'Col12a1', 'Ckmt2', 'Chrd', 'Chkb', 'Ch25h', 'Cdo1', 'Cdhr5', 'Cd163', 'Ccdc80', 'Ccdc69', 'Cat', 'Capn3', 'Calm3', 'Cacna1d', 'C1qtnf5', 'C1qtnf1', 'Bst1', 'Bmp6', 'Bhmt2', 'Bche', 'Azgp1', 'Atp13a3', 'Aspa', 'Arhgap29', 'Areg', 'App', 'Apod', 'Ap3b2', 'Aox1', 'Aoc3', 'Angptl1', 'Angpt1', 'Amt', 'Amph', 'Alox5ap', 'Aldh1a3', 'Ahnak', 'Agt', 'Agrp', 'Adra2c', 'Adra2a', 'Adra1b', 'Adora2b', 'Adh4', 'Adgrl2', 'Adgra2', 'Adam17', 'Acvr1c', 'Acacb', 'Acaca', 'Abi3', 'Abcc3', 'Abca1', 'A2m']",[],"[-0.1589, -0.1308, 0.1259, 0.1103, 0.1039, 0.0935, 0.0732, 0.0703, 0.0631, -0.0587, -0.0566, 0.0565, 0.0562, 0.0512, -0.051, 0.0445, -0.0422, 0.0389, -0.0378, 0.0352, 0.0346, 0.0345, 0.0332, 0.0298, -0.0258, 0.0254, -0.0253, 0.0251, 0.019, 0.0133, -0.0113, 0.0102, -0.0097, -0.0081, -0.0064, 0.0058, -0.0056, -0.0054, -0.0054, 0.0039, 0.0039, -0.0034, 0.0032, -0.0014, -0.0002, 1e-04, 1e-04, 1e-04, -1e-04, -1e-04, -1e-04, -1e-04, -1e-04, -1e-04, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0]",[],"[0.0877, 0.0722, 0.0695, 0.0609, 0.0573, 0.0516, 0.0404, 0.0388, 0.0348, 0.0324, 0.0312, 0.0312, 0.031, 0.0282, 0.0282, 0.0246, 0.0233, 0.0215, 0.0208, 0.0194, 0.0191, 0.019, 0.0183, 0.0164, 0.0142, 0.014, 0.0139, 0.0138, 0.0105, 0.0073, 0.0062, 0.0056, 0.0054, 0.0045, 0.0035, 0.0032, 0.0031, 0.003, 0.003, 0.0022, 0.0021, 0.0019, 0.0018, 0.0008, 1e-04, 0.0, 0.0, 0.0, 1e-04, 1e-04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1000,CADM1_ligand_targetgenes_GP,1,1,161,25,['Cadm1'],"['Sox2', 'Cnn2', 'Hapln1', 'Sfrp2', 'Tfpi', 'Twist1', 'Hesx1', 'Acot7', 'Capn6', 'Rbpms', 'Mkrn1', 'Gart', 'Oat', 'Dhfr', 'Npm1', 'Ptges3', 'Pnp', 'Nid2', 'Mif', 'Glo1', 'Rarg', 'Kdelr3', 'Id3', 'Ddx21', 'Cadm1', 'Wisp1', 'Vsnl1', 'Vipr2', 'Vegfa', 'Ube2l3', 'Ube2f', 'Tshb', 'Tnnt2', 'Tnfsf10', 'Tmem176b', 'Tgfb2', 'Tes', 'Tenm3', 'Tagln', 'Taf9', 'Svil', 'Stk39', 'Stbd1', 'Slc7a5', 'Slc39a8', 'Slc2a1', 'Slc22a2', 'Slc1a2', 'Sdhc', 'Scg2', 'Scarb1', 'Rspo1', 'Rgs4', 'Retn', 'Ramp3', 'Pthlh', 'Prss23', 'Pptc7', 'Ppp3cb', 'Ppm1b', 'Ppargc1a', 'Popdc3', 'Polr2i', 'Pklr', 'Pgrmc2', 'Pecam1', 'Pax3', 'Pam', 'Npr1', 'Nnat', 'Ncf2', 'Mtnr1a', 'Mmp13', 'Mc2r', 'Mas1', 'Mafb', 'Lif', 'Lcp2', 'Itpk1', 'Itpa', 'Itgb3', 'Itga5', 'Il5ra', 'Il5', 'Il22', 'Il17a', 'Ifng', 'Hsp90b1', 'Hsd11b1', 'Hao2', 'Hand2', 'Hand1', 'Gucy1b3', 'Guca2a', 'Grin2c', 'Gria3', 'Gnas', 'Gjb5', 'Gata3', 'Gap43', 'Gamt', 'Galk1', 'Frzb', 'Foxf2', 'Foxa1', 'Flt4', 'Fgf5', 'Fgf12', 'Fabp7', 'Ednrb', 'Dsc1', 'Dlx2', 'Dio1', 'Dhcr24', 'Ddx4', 'Ddx25', 'Cxcr2', 'Cxcl3', 'Cox7a1', 'Col19a1', 'Cnp', 'Ckm', 'Cfp', 'Cdx1', 'Cdh9', 'Cd9', 'Cd5l', 'Cd40', 'Ccr9', 'Ccr6', 'Ccr2', 'Cckar', 'Casp8', 'Calcrl', 'Brs3', 'Bmp5', 'Bmp2k', 'Bmp10', 'Blm', 'Bdnf', 'Bag6', 'Avpr1a', 'Atrx', 'Art3', 'Arap3', 'Apoc4', 'Apob', 'Anxa1', 'Angptl2', 'Angpt2', 'Angpt1', 'Ang', 'Aldh1a3', 'Alcam', 'Ahcyl1', 'Adra2c', 'Adra1a', 'Adcyap1', 'Adcy3', 'Adam12', 'Acsm3']",[-0.0005],"[-0.1878, 0.1741, 0.1228, -0.1177, 0.1134, 0.1013, -0.0984, -0.0689, 0.0453, 0.0452, -0.0395, -0.011, 0.0099, -0.009, -0.0056, -0.0047, -0.0026, 0.0011, -0.0008, -0.0003, 1e-04, 1e-04, -1e-04, -1e-04, -1e-04, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0]",[0.0004],"[0.1616, 0.1498, 0.1057, 0.1013, 0.0976, 0.0871, 0.0847, 0.0593, 0.039, 0.0389, 0.034, 0.0094, 0.0085, 0.0077, 0.0048, 0.004, 0.0022, 0.001, 0.0007, 0.0003, 1e-04, 0.0, 1e-04, 1e-04, 1e-04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
403,LPA_ligand_receptor_GP,0,0,1,1,[],['Lpar4'],[],[0.7544],[],[1.0]
521,CNTN2_ligand_receptor_GP,1,1,2,2,['Cntn2'],"['Cntnap2', 'Cntn2']",[0.192],"[0.8946, 0.1885]",[0.1505],"[0.7016, 0.1479]"
771,MAPT_ligand_receptor_GP,1,1,1,1,['Mapt'],['Tubb3'],[0.0213],[0.879],[0.0237],[0.9763]
631,HAPLN1_ligand_receptor_GP,1,1,1,1,['Hapln1'],['Treml2'],[0.9149],[0.0395],[0.9586],[0.0414]
755,CRTAM_ligand_receptor_GP,1,1,1,1,['Crtam'],['Ildr2'],[-0.1858],[1.0353],[0.1521],[0.8479]
816,PCSK1N_ligand_receptor_GP,1,1,1,1,['Pcsk1n'],['Gpr171'],[0.7201],[-0.0709],[0.9104],[0.0896]
