,gp_name,n_source_genes,n_non_zero_source_genes,n_target_genes,n_non_zero_target_genes,gp_source_genes,gp_target_genes,gp_source_genes_weights_sign_corrected,gp_target_genes_weights_sign_corrected,gp_source_genes_importances,gp_target_genes_importances
589,APOD_ligand_receptor_GP,1,1,1,1,['Apod'],['Lepr'],[0.6999],[0.0078],[0.9889],[0.0111]
123,FGF12_ligand_receptor_GP,1,1,1,1,['Fgf12'],['Scn11a'],[0.4805],[-0.1795],[0.728],[0.272]
265,IL7_ligand_receptor_GP,1,1,2,2,['Il7'],"['Il2rg', 'Il7r']",[0.139],"[0.8557, -0.0097]",[0.1384],"[0.8519, 0.0096]"
85,NRG3_ligand_receptor_GP,1,1,2,2,['Nrg3'],"['Erbb2', 'Erbb4']",[0.3304],"[0.1232, 0.0197]",[0.698],"[0.2603, 0.0417]"
378,APOC2_ligand_receptor_GP,1,1,1,1,['Apoc2'],['Lrp2'],[-0.0701],[0.2584],[0.2134],[0.7866]
497,NPTX1_ligand_receptor_GP,1,1,1,1,['Nptx1'],['Nptxr'],[0.4538],[-0.1986],[0.6956],[0.3044]
4,KL_ligand_receptor_GP,1,1,1,1,['Kl'],['Fgfr4'],[0.027],[0.2971],[0.0834],[0.9166]
172,WNT4_ligand_receptor_GP,1,1,1,1,['Wnt4'],['Smo'],[0.667],[0.0847],[0.8873],[0.1127]
1330,WNT8A_ligand_targetgenes_GP,1,1,0,0,['Wnt8a'],[],[0.9034],[],[1.0],[]
1248,NRTN_ligand_targetgenes_GP,1,1,1,1,['Nrtn'],['Ccnd1'],[0.3079],[-0.0135],[0.958],[0.042]
115,L1CAM_ligand_receptor_GP,1,1,1,1,['L1cam'],['Chl1'],[0.6764],[-0.037],[0.9481],[0.0519]
1260,PROC_ligand_targetgenes_GP,1,1,0,0,['Proc'],[],[0.91],[],[1.0],[]
631,HAPLN1_ligand_receptor_GP,1,1,1,1,['Hapln1'],['Treml2'],[0.9149],[0.0395],[0.9586],[0.0414]
74,PPY_ligand_receptor_GP,1,1,1,1,['Ppy'],['Gpr83'],[-0.2265],[0.3738],[0.3773],[0.6227]
1019,RELN_ligand_targetgenes_GP,1,1,1,1,['Reln'],['Fabp7'],[0.1552],[0.6959],[0.1823],[0.8177]
801,CLEC4G_ligand_receptor_GP,1,1,1,1,['Clec4g'],['Lag3'],[0.0225],[0.6073],[0.0358],[0.9642]
1096,PROK2_ligand_targetgenes_GP,1,1,1,1,['Prok2'],['Il2'],[0.6029],[0.0513],[0.9216],[0.0784]
696,NTN3_ligand_receptor_GP,0,0,1,1,[],['Cdon'],[],[0.4469],[],[1.0]
550,LTA_ligand_receptor_GP,1,1,2,2,['Lta'],"['Ltb', 'Ltbr']",[0.0485],"[0.2365, -0.1643]",[0.1079],"[0.5264, 0.3657]"
729,CHRD_ligand_receptor_GP,1,1,1,1,['Chrd'],['Bmpr2'],[0.7703],[0.1807],[0.81],[0.19]
284,NPPB_ligand_receptor_GP,1,1,1,1,['Nppb'],['Npr2'],[1.0497],[0.2744],[0.7928],[0.2072]
225,WNT10B_ligand_receptor_GP,1,1,1,1,['Wnt10b'],['Fzd4'],[-0.1238],[0.2639],[0.3194],[0.6806]
1230,JAG2_ligand_targetgenes_GP,1,1,0,0,['Jag2'],[],[0.628],[],[1.0],[]
1107,BTLA_ligand_targetgenes_GP,1,1,1,1,['Btla'],['Il2'],[0.5147],[0.1105],[0.8232],[0.1768]
