,gp_name,n_source_genes,n_non_zero_source_genes,n_target_genes,n_non_zero_target_genes,gp_source_genes,gp_target_genes,gp_source_genes_weights_sign_corrected,gp_target_genes_weights_sign_corrected,gp_source_genes_importances,gp_target_genes_importances
1180,FGF12_ligand_targetgenes_GP,1,1,0,0,['Fgf12'],[],[0.584],[],[1.0],[]
135,FGF16_ligand_receptor_GP,1,1,1,1,['Fgf16'],['Fgfr4'],[0.747],[-0.531],[0.5845],[0.4155]
607,FLRT2_ligand_receptor_GP,1,1,1,1,['Flrt2'],['Unc5a'],[0.3322],[-0.0371],[0.8996],[0.1004]
51,CXCL2_ligand_receptor_GP,1,1,1,1,['Cxcl2'],['Adra2a'],[0.2989],[-0.1142],[0.7236],[0.2764]
640,WNT7B_ligand_receptor_GP,1,1,1,1,['Wnt7b'],['Tmed5'],[1.0307],[0.11],[0.9035],[0.0965]
1251,NUCB2_ligand_targetgenes_GP,1,1,0,0,['Nucb2'],[],[0.3361],[],[1.0],[]
263,TGFB2_ligand_receptor_GP,1,1,1,1,['Tgfb2'],['Plat'],[0.8587],[0.1187],[0.8786],[0.1214]
1190,FGF5_ligand_targetgenes_GP,1,1,0,0,['Fgf5'],[],[0.5178],[],[1.0],[]
421,FBLN1_ligand_receptor_GP,1,1,1,1,['Fbln1'],['Mapk3'],[0.2949],[0.3119],[0.486],[0.514]
402,JAM3_ligand_receptor_GP,1,1,1,1,['Jam3'],['Itgam'],[0.4314],[-0.4098],[0.5128],[0.4872]
727,SLC6A8_ligand_receptor_GP,1,1,1,1,['Slc6a8'],['Lifr'],[0.5059],[0.3063],[0.6229],[0.3771]
1321,NENF_ligand_targetgenes_GP,1,1,0,0,['Nenf'],[],[0.2638],[],[1.0],[]
838,MANSC1_ligand_receptor_GP,1,1,1,1,['Mansc1'],['Gpr55'],[0.6935],[0.0084],[0.988],[0.012]
523,CCN3_ligand_receptor_GP,0,0,1,1,[],['Notch1'],[],[0.8507],[],[1.0]
695,SIRPB2_ligand_receptor_GP,0,0,1,1,[],['Cd47'],[],[0.4562],[],[1.0]
240,DKK4_ligand_receptor_GP,1,1,1,1,['Dkk4'],['Kremen1'],[0.2501],[0.3045],[0.4509],[0.5491]
624,APOC4_ligand_receptor_GP,1,1,1,1,['Apoc4'],['Vldlr'],[0.2144],[0.1818],[0.5411],[0.4589]
235,WNT16_ligand_receptor_GP,1,1,1,1,['Wnt16'],['Fzd4'],[0.9303],[-0.2398],[0.7951],[0.2049]
209,VCAM1_ligand_receptor_GP,1,1,1,1,['Vcam1'],['Cybb'],[0.9157],[-0.0937],[0.9071],[0.0929]
53,CXCL5_ligand_receptor_GP,1,1,1,1,['Cxcl5'],['Adra2a'],[0.7503],[0.1992],[0.7902],[0.2098]
234,FZD8_ligand_receptor_GP,1,1,1,1,['Fzd8'],['Ckap4'],[-0.3402],[0.4117],[0.4525],[0.5475]
1210,ICAM4_ligand_targetgenes_GP,1,1,0,0,['Icam4'],[],[0.4199],[],[1.0],[]
87,HBEGF_ligand_receptor_GP,1,1,1,1,['Hbegf'],['Mog'],[0.7663],[0.0054],[0.993],[0.007]
295,BMP7_ligand_receptor_GP,1,1,2,2,['Bmp7'],"['Acvr1', 'Bmpr2']",[0.8439],"[-0.0492, -0.0048]",[0.9398],"[0.0548, 0.0054]"
451,TF_ligand_receptor_GP,0,0,1,1,[],['Gpr162'],[],[0.7391],[],[1.0]
1279,SERPINE2_ligand_targetgenes_GP,1,1,1,1,['Serpine2'],['Mmp9'],[-0.2666],[0.7271],[0.2683],[0.7317]
63,PMCH_ligand_receptor_GP,1,1,0,0,['Pmch'],[],[0.3021],[],[1.0],[]
521,CNTN2_ligand_receptor_GP,1,1,2,2,['Cntn2'],"['Cntnap2', 'Cntn2']",[0.192],"[0.8946, 0.1885]",[0.1505],"[0.7016, 0.1479]"
671,JAM2_ligand_receptor_GP,1,1,2,2,['Jam2'],"['Itgav', 'Itgb1']",[0.7655],"[-0.2563, -0.086]",[0.691],"[0.2314, 0.0776]"
204,EPHA3_ligand_receptor_GP,1,1,0,0,['Epha3'],[],[0.1566],[],[1.0],[]
177,ADM2_ligand_receptor_GP,1,1,1,1,['Adm2'],['Dclk3'],[0.792],[0.0772],[0.9111],[0.0889]
841,CXCL1_ligand_targetgenes_GP,1,1,2,2,['Cxcl1'],"['Col1a1', 'Hmox1']",[-0.0155],"[0.8566, 0.017]",[0.0174],"[0.9635, 0.0191]"
260,TGFBR3_ligand_receptor_GP,1,1,1,1,['Tgfbr3'],['Tgfb1'],[0.8422],[0.8296],[0.5038],[0.4962]
1230,JAG2_ligand_targetgenes_GP,1,1,0,0,['Jag2'],[],[0.628],[],[1.0],[]
145,IGF2_ligand_receptor_GP,1,1,1,1,['Igf2'],['Gpr152'],[0.8311],[0.1121],[0.8812],[0.1188]
472,MXRA5_ligand_receptor_GP,0,0,1,1,[],['Mfap3l'],[],[0.771],[],[1.0]
732,IHH_ligand_receptor_GP,1,1,2,2,['Ihh'],"['Ptch2', 'Smo']",[0.8908],"[0.0284, -0.0199]",[0.9486],"[0.0302, 0.0212]"
111,VEGFC_ligand_receptor_GP,1,1,1,1,['Vegfc'],['Vipr2'],[-0.7732],[0.8065],[0.4895],[0.5105]
826,NELL2_ligand_receptor_GP,1,1,1,1,['Nell2'],['Robo3'],[1.2663],[0.4338],[0.7448],[0.2552]
371,ICAM4_ligand_receptor_GP,1,1,1,1,['Icam4'],['Rhag'],[0.6979],[0.8824],[0.4416],[0.5584]
158,GSTM2_ligand_receptor_GP,1,1,1,1,['Gstm2'],['Ryr2'],[0.2405],[1.0716],[0.1833],[0.8167]
148,GIP_ligand_receptor_GP,1,1,1,1,['Gip'],['Gipr'],[1.0635],[0.3417],[0.7569],[0.2431]
719,CNMD_ligand_receptor_GP,1,1,1,1,['Cnmd'],['Ptprd'],[0.8548],[0.1804],[0.8258],[0.1742]
553,JAG2_ligand_receptor_GP,1,1,1,1,['Jag2'],['Notch3'],[0.4821],[-0.2388],[0.6688],[0.3312]
630,COMPLEX:S100A8_S100A9_ligand_receptor_GP,0,0,1,1,[],['Ager'],[],[1.2884],[],[1.0]
223,WNT3A_ligand_receptor_GP,1,1,1,1,['Wnt3a'],['Lgr5'],[0.8777],[0.1797],[0.8301],[0.1699]
