,gp_name,n_source_genes,n_non_zero_source_genes,n_target_genes,n_non_zero_target_genes,gp_source_genes,gp_target_genes,gp_source_genes_weights_sign_corrected,gp_target_genes_weights_sign_corrected,gp_source_genes_importances,gp_target_genes_importances
554,DLL1_ligand_receptor_GP,1,1,1,1,['Dll1'],['Notch3'],[0.6051],[-0.0523],[0.9205],[0.0795]
477,CD58_ligand_receptor_GP,0,0,1,1,[],['Cd2'],[],[0.5899],[],[1.0]
404,SPON2_ligand_receptor_GP,1,1,1,1,['Spon2'],['Itgam'],[0.995],[0.2896],[0.7746],[0.2254]
1096,PROK2_ligand_targetgenes_GP,1,1,1,1,['Prok2'],['Il2'],[0.6029],[0.0513],[0.9216],[0.0784]
285,TAC1_ligand_receptor_GP,1,1,1,1,['Tac1'],['Tacr3'],[0.5481],[-0.093],[0.8549],[0.1451]
490,TTR_ligand_receptor_GP,1,1,1,1,['Ttr'],['Ngfr'],[-0.3254],[0.7908],[0.2916],[0.7084]
1,EPOR_ligand_receptor_GP,1,1,1,1,['Epor'],['Stat3'],[0.8471],[0.6277],[0.5744],[0.4256]
378,APOC2_ligand_receptor_GP,1,1,1,1,['Apoc2'],['Lrp2'],[-0.0701],[0.2584],[0.2134],[0.7866]
359,ITGAL_ligand_receptor_GP,1,1,1,1,['Itgal'],['Cd226'],[0.2302],[0.1897],[0.5482],[0.4518]
1435,CDH18_ligand_targetgenes_GP,1,0,264,103,['Cdh18'],"['Ttn', 'Csrp3', 'Unc45b', 'Ankrd1', 'Rrad', 'Tnnc1', 'Tmod1', 'Casq1', 'Synpo2l', 'Ldb3', 'Hrc', 'Lmod1', 'Des', 'Cap2', 'Fbxo32', 'Atp1b1', 'Mef2c', 'Crip2', 'Mylpf', 'Mpped2', 'Dpf3', 'Pcgf5', 'Vamp2', 'Neurl2', 'Angpt1', 'Pkp2', 'Mir124-2hg', 'Sp5', 'Jup', 'Igfbp5', 'Crabp2', 'Tgfb2', 'Gja1', 'Smtnl2', 'Cd9', 'Nkd1', 'Pax3', 'Tnnt3', 'Col2a1', 'Eno3', 'Jsrp1', 'Map2k6', 'Palld', 'Lrp10', 'Ifitm3', 'Ncam1', 'Ctnnd1', 'Smad7', 'Fblim1', 'Nuak2', 'Camk2d', 'Smoc1', 'Id3', 'Nfe2l2', 'Efna4', 'Clic1', 'Pitx2', 'Stk39', 'Serpinh1', 'Fech', 'Yars', 'Cadm1', 'Actg1', 'Cbfa2t3', 'Lsr', 'Hmgb1', 'St3gal5', 'Cirbp', 'Hoxa2', 'Mef2a', 'Ptch1', 'Dsp', 'Rgs3', 'Calm1', 'Slc3a2', 'Ccnd2', 'Plpp1', 'Bnip3', 'Ddah1', 'Spats2l', 'Gnb4', 'Hoxa7', 'Klf7', 'Polr3gl', 'Wisp1', 'Sptb', 'Slc1a3', 'Junb', 'Itsn2', 'Cdh5', 'Cdh3', 'Ccdc85b', 'Pgm1', 'Nt5c2', 'Nr2f2', 'Nr2f1', 'Nkx6-2', 'Meis2', 'Mapk11', 'Hoxb1', 'Hdgf', 'Cdx4', 'Calm2', 'Zic1', 'Zfp91', 'Wnt9a', 'Wnt6', 'Wnt4', 'Wnt3a', 'Wnt10b', 'Wfikkn2', 'Vegfa', 'Ube2e2', 'Tubb4a', 'Tigar', 'Tgfbr3', 'Tgfbr2', 'Tgfb3', 'Sv2b', 'Sult2b1', 'Stat3', 'Spi1', 'Sost', 'Slc7a6', 'Slc7a5', 'Slc44a4', 'Slc2a12', 'Slc16a3', 'Sipa1', 'Sh3bgrl3', 'Sept4', 'Sema4d', 'Sdk2', 'S100a8', 'S100a10', 'Runx1', 'Rara', 'Rabep2', 'Ptprq', 'Ptprn2', 'Ptprj', 'Ptpn6', 'Ptpn14', 'Ptp4a2', 'Ptger1', 'Ppm1a', 'Plxnb2', 'Pld4', 'Pkd1', 'Pdgfc', 'Pde8b', 'Pcdh1', 'Pard3', 'Oxgr1', 'Osr1', 'Olfm2', 'Olah', 'Nrcam', 'Nr1d1', 'Npsr1', 'Nos2', 'Nfib', 'Negr1', 'Nbl1', 'Myh9', 'Muc6', 'Muc1', 'Mst1', 'Msrb3', 'Mrvi1', 'Metrnl', 'Met', 'Mbnl2', 'Mapk12', 'Mall', 'Magi1', 'Lrp5', 'Lrig1', 'Lmod2', 'Lmo1', 'Lgi1', 'Lef1', 'Krt8', 'Krt15', 'Ino80', 'Inha', 'Il21r', 'Il10', 'Igf1', 'Id2', 'Id1', 'Hsd11b2', 'Hoxc6', 'Hoxc4', 'Hoxa9', 'Hoxa11', 'Hoxa10', 'Gria3', 'Grhl3', 'Grap2', 'Gpt2', 'Gpr162', 'Gne', 'Gnaz', 'Gja5', 'Ggt1', 'Gdf15', 'Gata2', 'Gast', 'Fyn', 'Fxyd1', 'Fn1', 'Fli1', 'Fhl2', 'Fgfr1', 'Fgf4', 'Fgf10', 'Fezf2', 'Eya1', 'Etv4', 'Espn', 'Erbb4', 'Erbb2', 'En1', 'Elk3', 'Ehbp1', 'Egln3', 'Egfr', 'Eda', 'Ebf2', 'Dusp5', 'Dlx5', 'Dll4', 'Dkk1', 'Dhrs3', 'Dhcr24', 'Dgkz', 'Dbp', 'Dact2', 'Cyp26a1', 'Cubn', 'Crebbp', 'Cpt1a', 'Col1a1', 'Cdx2', 'Cdon', 'Cdkn1a', 'Cdh11', 'Cdh1', 'Ccnd1', 'Ccbe1', 'Calm3', 'Cald1', 'Btbd17', 'Bmpr2', 'Axin2', 'Asph', 'Arid5b', 'Ar', 'Aqp5', 'Ambn', 'Ahnak', 'Adam11', 'Acacb']",[-0.0],"[0.1379, 0.1339, 0.1257, 0.1248, 0.1214, 0.1172, 0.1036, 0.1002, 0.094, 0.088, 0.0866, 0.0831, 0.0829, 0.0796, 0.0794, 0.0698, 0.0658, 0.0556, 0.0517, 0.048, 0.0473, 0.044, 0.0437, 0.0413, 0.0393, 0.0365, -0.0365, -0.0364, 0.0357, 0.035, -0.0329, 0.0323, -0.0323, 0.0321, 0.0299, -0.0276, -0.0262, 0.0216, 0.0206, 0.0198, 0.016, -0.0159, 0.0155, 0.0153, -0.0148, -0.0142, 0.0141, 0.0132, 0.013, -0.0127, 0.0118, -0.0108, -0.0107, 0.0104, -0.0086, 0.0085, 0.0083, 0.0077, -0.0075, 0.0072, -0.007, -0.0066, -0.0061, 0.006, -0.0052, -0.0047, 0.0044, 0.0043, -0.0043, 0.0042, -0.0037, 0.0035, 0.0028, -0.0025, -0.0024, -0.0018, 0.0014, 0.0014, 0.0012, 0.0009, 0.0005, -0.0005, 0.0004, 0.0003, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, 1e-04, -1e-04, -1e-04, -1e-04, -1e-04, -1e-04, -1e-04, -1e-04, -1e-04, -1e-04, -1e-04, -1e-04, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0, -0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, 0.0, -0.0, -0.0, -0.0, 0.0, 0.0, 0.0, -0.0, -0.0, -0.0, -0.0, 0.0, 0.0, -0.0, 0.0, -0.0, -0.0, 0.0, -0.0, 0.0, -0.0, -0.0, -0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0]",[0.0],"[0.0486, 0.0472, 0.0443, 0.044, 0.0428, 0.0413, 0.0365, 0.0353, 0.0331, 0.031, 0.0305, 0.0293, 0.0292, 0.028, 0.028, 0.0246, 0.0232, 0.0196, 0.0182, 0.0169, 0.0167, 0.0155, 0.0154, 0.0146, 0.0139, 0.0129, 0.0129, 0.0128, 0.0126, 0.0124, 0.0116, 0.0114, 0.0114, 0.0113, 0.0106, 0.0097, 0.0092, 0.0076, 0.0073, 0.007, 0.0056, 0.0056, 0.0054, 0.0054, 0.0052, 0.005, 0.005, 0.0046, 0.0046, 0.0045, 0.0042, 0.0038, 0.0038, 0.0037, 0.003, 0.003, 0.0029, 0.0027, 0.0026, 0.0025, 0.0025, 0.0023, 0.0021, 0.0021, 0.0018, 0.0016, 0.0015, 0.0015, 0.0015, 0.0015, 0.0013, 0.0012, 0.001, 0.0009, 0.0008, 0.0006, 0.0005, 0.0005, 0.0004, 0.0003, 0.0002, 0.0002, 1e-04, 1e-04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
