niche,Bmp4 GP/Vegfb GP+ Lateral Plate Mesoderm,Bmp8a GP/9-cis-Ret. acid GP+ Splanchnic Mesoderm,Calca GP/Shh GP+ Floor Plate,Cdh13 GP/Col1a1 GP+ Mixed mesenchymal mesoderm,Cthrc1 GP/Pdgfc GP+ Dorsal Gut,Edn1 GP/Nppa1 GP+ Developing Heart,Epo GP/Thpo GP+ Hematopoiesis,Fgf17 GP/Efna2 GP+ Midbrain,Fgf18 GP/Dll1 GP+ Presomitic Mesoderm,Gdf10 GP/Fgf3 GP+ Hindbrain,Guanine GP/Slitrk1 GP+ Neural Crest (Neural Tube),IL10 GP/Fgf2 GP+ Angiogenesis,Ihh GP/Spint1 GP+ Ventral Gut,Mix,Nptn GP/Fgf8 GP+ Spinal cord,Pcsk1n GP/Dkk1 GP+ Forebrain,Pgf GP/Cd44 GP+ Allantois,Saa1 GP/Il6st GP+ Muscles,Sfrp4 GP/Pdgfa GP+ Surface Ectoderm,Tgfbi GP/Fgf6 GP+ Cranial Mesoderm
Bmp4 GP/Vegfb GP+ Lateral Plate Mesoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bmp8a GP/9-cis-Ret. acid GP+ Splanchnic Mesoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calca GP/Shh GP+ Floor Plate,0.0,1.3855527563623509,6265.802941147356,0.00027354934993206113,4.777198614204056,0.0,0.0,35.1178020354366,0.0,31.423789883478168,0.0031005646461560905,0.0,0.02045413400056488,0.0,7.7773497576273165,13.223244805931124,0.0,0.0,0.06636164401327788,0.2337341147205938
Cdh13 GP/Col1a1 GP+ Mixed mesenchymal mesoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cthrc1 GP/Pdgfc GP+ Dorsal Gut,0.0,258.20188371427486,65.30809570123012,0.7525169013379943,444.6298540259008,0.0,0.0,1.4849596588875602,1.4811523985494837,0.24699962713215132,3.587329091744568e-08,0.0,10.558672063490425,1.267881858953782,398.3845602479906,1.1332864123140711,0.0,13.680872483043757,0.01660194815716267,0.09995976367264892
Edn1 GP/Nppa1 GP+ Developing Heart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Epo GP/Thpo GP+ Hematopoiesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fgf17 GP/Efna2 GP+ Midbrain,0.0,0.0,2.2556291130575645,0.0,0.044540692186954604,0.0,0.0,1.3118983406592777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09187119418879554,0.0,0.0,0.0,0.0
Fgf18 GP/Dll1 GP+ Presomitic Mesoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057546255578205675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gdf10 GP/Fgf3 GP+ Hindbrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
