niche,Bmp4 GP/Vegfb GP+ Lateral Plate Mesoderm,Bmp8a GP/9-cis-Ret. acid GP+ Splanchnic Mesoderm,Calca GP/Shh GP+ Floor Plate,Cdh13 GP/Col1a1 GP+ Mixed mesenchymal mesoderm,Cthrc1 GP/Pdgfc GP+ Dorsal Gut,Edn1 GP/Nppa1 GP+ Developing Heart,Epo GP/Thpo GP+ Hematopoiesis,Fgf17 GP/Efna2 GP+ Midbrain,Fgf18 GP/Dll1 GP+ Presomitic Mesoderm,Gdf10 GP/Fgf3 GP+ Hindbrain,Guanine GP/Slitrk1 GP+ Neural Crest (Neural Tube),IL10 GP/Fgf2 GP+ Angiogenesis,Ihh GP/Spint1 GP+ Ventral Gut,Mix,Nptn GP/Fgf8 GP+ Spinal cord,Pcsk1n GP/Dkk1 GP+ Forebrain,Pgf GP/Cd44 GP+ Allantois,Saa1 GP/Il6st GP+ Muscles,Sfrp4 GP/Pdgfa GP+ Surface Ectoderm,Tgfbi GP/Fgf6 GP+ Cranial Mesoderm
Bmp4 GP/Vegfb GP+ Lateral Plate Mesoderm,5.490727271031206e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013562032863533822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bmp8a GP/9-cis-Ret. acid GP+ Splanchnic Mesoderm,2.940760337320965e-05,0.0015529606714429804,0.0,0.00017669318476092602,0.0026526397557859903,0.0,0.0,5.743561673379558e-07,0.000413300739947847,0.0,6.351075880111491e-06,0.0846338846502332,0.014109248229001592,0.0,0.00015053882193564338,3.4517535041534e-07,3.207190603140362e-07,4.959438336277953e-06,4.883572816197409e-05,0.0
Calca GP/Shh GP+ Floor Plate,0.0,0.00015012024884921766,1.654028764658749,8.030212775837803e-06,0.005780482844993358,0.0,0.0,0.0011579248576517583,0.0,0.007793415725177762,0.0029521914742557075,0.2166887440653662,8.339332864765982e-05,0.0,8.960960454861334e-06,0.00044640197876687904,0.0,0.0,0.00029039830739106484,0.022203618729084693
Cdh13 GP/Col1a1 GP+ Mixed mesenchymal mesoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cthrc1 GP/Pdgfc GP+ Dorsal Gut,0.0,0.1980563692336645,0.014972792229137085,0.0043807563294076595,3.0560486239019773,0.0027054119330686913,0.0,0.0013037815608325772,0.0,0.04187757771125184,0.0052685150352079855,12.29320576367836,1.7126561162501965,0.0004958990654156488,0.024251353213232386,0.001858684815485148,0.0,0.0007193117823683023,0.008865769990692095,0.056431477620245786
Edn1 GP/Nppa1 GP+ Developing Heart,0.0,3.4776703618621585e-05,0.0,0.0,0.0,1.1500461141931232e-05,0.0,0.0,0.0,0.0,0.0,0.010205256994023228,0.0009410142824065521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Epo GP/Thpo GP+ Hematopoiesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fgf17 GP/Efna2 GP+ Midbrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fgf18 GP/Dll1 GP+ Presomitic Mesoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gdf10 GP/Fgf3 GP+ Hindbrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guanine GP/Slitrk1 GP+ Neural Crest (Neural Tube),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL10 GP/Fgf2 GP+ Angiogenesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ihh GP/Spint1 GP+ Ventral Gut,0.003121969367987422,0.6436004935751763,0.00016263061152861278,0.21203686074652559,0.9236996195947423,0.031905161682322755,0.0,0.0005575658225439283,0.0028769456825101535,0.0023284766700332965,0.004847398636351813,29.758753010325517,38.349830649595894,0.028938777766458132,0.07862229015163957,0.0008853406065276862,0.01852626086685178,0.007092191568900355,0.015392058046186924,0.09013895112476696
Mix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nptn GP/Fgf8 GP+ Spinal cord,0.0,0.0011272005120054795,3.4124198274231893e-06,0.00013767238855373035,0.0027075953286701017,0.0,0.0,8.872239212276451e-06,0.0,6.975942005961638e-05,9.567684189147298e-06,0.03256712187454895,0.006591363749984343,0.0,0.00011069580676895489,0.0,0.0,6.472521297523119e-10,0.0,9.920541668588584e-06
Pcsk1n GP/Dkk1 GP+ Forebrain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.721812755040724e-05,2.6431320382077898e-05,0.0,0.0,0.0,3.035204419104445e-06,0.0,0.0,4.042695570567042e-05,0.0
Pgf GP/Cd44 GP+ Allantois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saa1 GP/Il6st GP+ Muscles,0.0,0.0,0.0,1.3131544843555118e-05,0.0,1.450342187761721e-05,0.0,0.0,0.0,0.0,0.0,0.0024597621283820596,0.0,0.0,0.0,0.0,0.0,5.177619403869972e-07,0.0,0.0
Sfrp4 GP/Pdgfa GP+ Surface Ectoderm,0.0,0.0,0.0,0.00041845366628158074,0.000534143456385911,1.9329993509637594e-05,0.0,0.0,0.0,0.0,1.343568372524801e-05,0.009797502068725147,0.0,0.0,0.0,0.0,0.0,0.00030953995632814613,0.0015790525345461817,0.0
Tgfbi GP/Fgf6 GP+ Cranial Mesoderm,0.0,0.0,0.0001941938763611188,0.0,0.002015774692189797,0.0,0.0,0.0,0.0,0.0,0.0,0.004524215698976145,0.0,0.0,0.0,1.478208686004221e-06,0.0,0.0,0.0,1.9114382405029605e-05
