,dataset,timestamp,val_auroc_score,val_gene_expr_mse_score,lambda_edge_recon_,lambda_gene_expr_recon_,n_neighbors,nichenet_keep_target_genes_ratio,add_fc_gps_instead_of_gp_dict_gps,loss_weights
144,starmap_plus_mouse_cns,06072023_115601_2000,0.5180594292652417,0.9283803737149918,0.0,0.0,16,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
145,starmap_plus_mouse_cns,03072023_171838_1007,0.9964944028842015,0.5936984411358338,0.0,300.0,16,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
146,starmap_plus_mouse_cns,03072023_171838_1006,0.9960928735624717,0.6246025570909284,0.0,300.0,12,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
147,starmap_plus_mouse_cns,03072023_141549_1005,0.9914476593612569,0.6334842035136596,0.0,300.0,8,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
148,starmap_plus_mouse_cns,03072023_141504_1004,0.9482006630494226,0.6987763293069349,0.0,300.0,4,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
149,starmap_plus_mouse_cns,03072023_135013_1003,0.9941567172791119,0.6733268707198743,0.0,30.0,16,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
150,starmap_plus_mouse_cns,03072023_132805_1002,0.9938866564068718,0.6413918459776837,0.0,30.0,12,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
151,starmap_plus_mouse_cns,03072023_131455_1001,0.9912008967133025,0.6433148717589412,0.0,30.0,8,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
152,starmap_plus_mouse_cns,03072023_131347_1000,0.9696413753769834,0.6933646461863022,0.0,30.0,4,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
153,starmap_plus_mouse_cns,03072023_131004_2007,0.99844577267956,0.6212183670011111,500000.0,30.0,16,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
154,starmap_plus_mouse_cns,03072023_125310_2006,0.9971248724533256,0.6368080920025756,500000.0,30.0,12,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
155,starmap_plus_mouse_cns,03072023_122014_2000,0.9854704343664322,1.0070660298369989,500000.0,0.0,4,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
156,starmap_plus_mouse_cns,03072023_122014_3000,0.9883285095702352,0.6624477788996769,500000.0,300.0,4,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
157,starmap_plus_mouse_cns,03072023_122014_3001,0.9965125117444366,0.6384676394962708,500000.0,300.0,8,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
158,starmap_plus_mouse_cns,03072023_122014_2002,0.9965862424052566,0.9290940044216003,500000.0,0.0,12,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
159,starmap_plus_mouse_cns,03072023_122014_2001,0.9943143782377719,0.9479880507976262,500000.0,0.0,8,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
160,starmap_plus_mouse_cns,03072023_122014_2003,0.9982021925832945,0.8990992932405056,500000.0,0.0,16,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
161,starmap_plus_mouse_cns,03072023_122014_2005,0.9957318024383793,0.6939800821770746,500000.0,30.0,8,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
162,starmap_plus_mouse_cns,03072023_122014_2004,0.9885372240824053,0.6943655757500145,500000.0,30.0,4,0.1,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
163,starmap_plus_mouse_cns,02072023_173407_1011,0.997515017757608,0.6107480808804341,50000.0,300.0,16,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
164,starmap_plus_mouse_cns,02072023_171006_1010,0.9966795720897901,0.5910222619477586,50000.0,300.0,12,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
165,starmap_plus_mouse_cns,02072023_165903_1009,0.9949564116349409,0.6259469900696683,50000.0,300.0,8,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
166,starmap_plus_mouse_cns,02072023_165304_1008,0.9829349873092899,0.702413908943521,50000.0,300.0,4,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
167,starmap_plus_mouse_cns,02072023_164304_1007,0.9980294782312591,0.6565701646307177,50000.0,30.0,16,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
168,starmap_plus_mouse_cns,02072023_163503_1006,0.9977495383006347,0.6487923880216362,50000.0,30.0,12,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
169,starmap_plus_mouse_cns,02072023_162554_1005,0.9962125195329353,0.644543771628802,50000.0,30.0,8,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
170,starmap_plus_mouse_cns,02072023_162204_1004,0.9883484179444831,0.6313782576565761,50000.0,30.0,4,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
171,starmap_plus_mouse_cns,02072023_161452_1003,0.9961758477142705,0.9217051149779555,50000.0,0.0,16,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
172,starmap_plus_mouse_cns,02072023_161351_1002,0.9909627302854951,0.89583107129722,50000.0,0.0,12,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
173,starmap_plus_mouse_cns,02072023_161102_1001,0.9884896988586733,0.9378920748992402,50000.0,0.0,8,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
174,starmap_plus_mouse_cns,02072023_155422_1000,0.9818966970573112,0.9958363478274647,50000.0,0.0,4,0.1,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
175,starmap_plus_mouse_cns,02072023_150401_36,0.998229320354455,0.6350656248573587,500000.0,300.0,16,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
176,starmap_plus_mouse_cns,02072023_145711_35,0.9972011835958218,0.6262563281120644,500000.0,300.0,12,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
177,starmap_plus_mouse_cns,02072023_141733_34,0.9962759986838207,0.6491695515137801,500000.0,300.0,8,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
178,starmap_plus_mouse_cns,02072023_140613_33,0.9892554661408179,0.6551509073754892,500000.0,300.0,4,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
179,starmap_plus_mouse_cns,02072023_135841_32,0.9981275040782343,0.672971951474861,500000.0,30.0,16,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
180,starmap_plus_mouse_cns,02072023_134709_31,0.9970982208928476,0.663941383730899,500000.0,30.0,12,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
181,starmap_plus_mouse_cns,02072023_134405_30,0.9960521487926539,0.6671030991739062,500000.0,30.0,8,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
182,starmap_plus_mouse_cns,02072023_132447_29,0.987191314785123,0.728277628381617,500000.0,30.0,4,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
183,starmap_plus_mouse_cns,02072023_132118_28,0.9967213224101402,0.9139853572085888,500000.0,0.0,16,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
184,starmap_plus_mouse_cns,02072023_131520_27,0.9972853169838856,0.9513390959912521,500000.0,0.0,12,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
185,starmap_plus_mouse_cns,02072023_125949_26,0.9917034508161965,0.9401519317076569,500000.0,0.0,8,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
186,starmap_plus_mouse_cns,02072023_124742_25,0.9856738095891713,1.006369442638106,500000.0,0.0,4,0.01,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
187,starmap_plus_mouse_cns,02072023_124305_24,0.9975197334539381,0.6271164094477405,50000.0,300.0,16,0.01,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
