,dataset,timestamp,val_auroc_score,val_gene_expr_mse_score,lambda_edge_recon_,lambda_gene_expr_recon_,n_neighbors,nichenet_keep_target_genes_ratio,add_fc_gps_instead_of_gp_dict_gps,loss_weights
288,vizgen_merfish_human_ovarian_cancer,07072023_075651_36,0.998932500499721,8.436450423735051,500000.0,300.0,16,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
289,vizgen_merfish_human_ovarian_cancer,07072023_072852_35,0.9985208819137084,8.563591311180083,500000.0,300.0,12,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
290,vizgen_merfish_human_ovarian_cancer,07072023_061625_34,0.9973475874230605,8.384441654718657,500000.0,300.0,8,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
291,vizgen_merfish_human_ovarian_cancer,07072023_051421_33,0.9899527574535656,8.764465939053133,500000.0,300.0,4,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
292,vizgen_merfish_human_ovarian_cancer,07072023_043401_32,0.9985595627528207,8.896874989366497,500000.0,30.0,16,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
293,vizgen_merfish_human_ovarian_cancer,07072023_043133_30,0.9978324609624256,8.791120448610931,500000.0,30.0,8,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
294,vizgen_merfish_human_ovarian_cancer,07072023_043133_31,0.9984168443692456,9.030714806666701,500000.0,30.0,12,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
295,vizgen_merfish_human_ovarian_cancer,07072023_040916_29,0.9930134694581817,9.077760050736496,500000.0,30.0,4,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
296,vizgen_merfish_human_ovarian_cancer,07072023_031254_27,0.9985652508504735,13.799235788979349,500000.0,0.0,12,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
297,vizgen_merfish_human_ovarian_cancer,07072023_025520_26,0.9970351744451234,14.385023768215493,500000.0,0.0,8,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
298,vizgen_merfish_human_ovarian_cancer,07072023_025520_25,0.9900859343113169,15.109921431887306,500000.0,0.0,4,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
299,vizgen_merfish_human_ovarian_cancer,07072023_024018_24,0.9969815819991235,8.434352660379577,50000.0,300.0,16,1.0,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
300,vizgen_merfish_human_ovarian_cancer,07072023_023149_23,0.9977774977091504,8.424611425564198,50000.0,300.0,12,1.0,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
