,source,target,strength
339,Cranial Mesoderm,Allantois,-4.9927524550383575
337,Muscles,Allantois,-0.5306895698216884
336,Allantois,Allantois,0.0
335,Forebrain,Allantois,-4.540574525090322
334,Spinal cord,Allantois,-12.346727001632521
333,Mix,Allantois,0.0
332,Ventral Gut,Allantois,-38020.37017921104
331,Angiogenesis,Allantois,1.1742899984690238
330,Neural Crest (Neural Tube),Allantois,0.0
329,Hindbrain,Allantois,0.0
328,Presomitic Mesoderm,Allantois,5.477987743780699
327,Midbrain,Allantois,5.949198429584572
326,Hematopoiesis,Allantois,0.0
325,Developing Heart,Allantois,-6.132577145014762
324,Dorsal Gut,Allantois,-12106.32156632395
323,Mixed mesenchymal mesoderm,Allantois,0.0
322,Floor Plate,Allantois,-2738.376751713916
321,Splanchnic Mesoderm,Allantois,-53.52875713595089
338,Surface Ectoderm,Allantois,-21.288264031876917
320,Lateral Plate Mesoderm,Allantois,-0.9266196255652719
224,Dorsal Gut,Angiogenesis,3332901.549345932
222,Floor Plate,Angiogenesis,753882.1820054709
239,Cranial Mesoderm,Angiogenesis,1374.517627153269
238,Surface Ectoderm,Angiogenesis,5860.713990291934
237,Muscles,Angiogenesis,146.10020721740207
236,Allantois,Angiogenesis,0.0
235,Forebrain,Angiogenesis,1250.0318768741681
234,Spinal cord,Angiogenesis,3399.0857856906787
233,Mix,Angiogenesis,0.0
221,Splanchnic Mesoderm,Angiogenesis,14736.604889898459
232,Ventral Gut,Angiogenesis,10467105.964663047
230,Neural Crest (Neural Tube),Angiogenesis,0.0
229,Hindbrain,Angiogenesis,0.0
228,Presomitic Mesoderm,Angiogenesis,-1508.1041535631896
227,Midbrain,Angiogenesis,-1637.8296706147642
226,Hematopoiesis,Angiogenesis,0.0
225,Developing Heart,Angiogenesis,1688.3143039053982
223,Mixed mesenchymal mesoderm,Angiogenesis,0.0
231,Angiogenesis,Angiogenesis,-323.2850650659906
220,Lateral Plate Mesoderm,Angiogenesis,255.10077266505328
399,Cranial Mesoderm,Cranial Mesoderm,-2.274441714602235
380,Lateral Plate Mesoderm,Cranial Mesoderm,-0.4221203332097863
