0_n,0_p,0_l,1_n,1_p,1_l,2_n,2_p,2_l,3_n,3_p,3_l,4_n,4_p,4_l,5_n,5_p,5_l,6_n,6_p,6_l,7_n,7_p,7_l,8_n,8_p,8_l,9_n,9_p,9_l,10_n,10_p,10_l,11_n,11_p,11_l,12_n,12_p,12_l,13_n,13_p,13_l,14_n,14_p,14_l,15_n,15_p,15_l,16_n,16_p,16_l,17_n,17_p,17_l,18_n,18_p,18_l,19_n,19_p,19_l
FASN,0.0,2.654694,LUM,0.0,3.1437976,CEACAM6,0.0,3.7996066,FGL2,0.0,3.9370027,CAV1,0.0,4.095054,IL7R,0.0,4.6863503,TRAC,0.0,2.6478245,TOP2A,0.0,3.6311188,POSTN,0.0,3.562011,CEACAM6,0.0,3.1944582,SCD,0.0,2.4487154,FOXA1,0.0,1.7596165,CD8A,0.0,5.602918,MYLK,0.0,4.5771723,ITM2C,0.0,4.42001,CXCR4,0.0,2.8534648,FCER1G,0.0,3.5754585,KRT15,0.0,5.351899,ERBB2,1.1508481477433159e-196,0.799132,CCL5,0.0,3.3420217
EPCAM,0.0,2.5053055,CCDC80,0.0,3.424675,GATA3,0.0,2.5339448,LYZ,0.0,3.5582683,PECAM1,0.0,4.0077443,CD3E,0.0,4.115536,CD3E,0.0,2.6226726,EPCAM,0.0,2.3361156,LUM,0.0,3.070666,S100A14,0.0,2.552269,TACSTD2,0.0,2.123259,FASN,0.0,1.6736215,CCL5,0.0,4.726081,KRT14,0.0,5.4752088,TENT5C,0.0,4.0387692,MS4A1,0.0,6.927835,CD68,0.0,3.5256577,SFRP1,0.0,4.3711295,KRT8,2.8462686809220934e-16,0.61147684,CD3E,0.0,2.7186434
FOXA1,0.0,2.3424764,CXCL12,0.0,3.1882746,TACSTD2,0.0,2.681833,CD4,0.0,3.0047588,CD93,0.0,4.5343084,TRAC,0.0,3.9386191,IL7R,0.0,2.801685,CENPF,0.0,3.7454393,PDGFRB,0.0,3.2949858,TACSTD2,0.0,2.5695827,AGR3,0.0,3.4406443,EPCAM,0.0,1.7241733,CD3E,0.0,3.6043634,DST,0.0,2.8456025,SLAMF7,0.0,5.3346868,BANK1,0.0,6.3170185,APOC1,0.0,4.244246,TACSTD2,0.0,2.9087374,MMP12,0.0021117375567561722,2.9931815,CD8A,0.0,3.955421
KRT7,0.0,2.2639272,MMP2,0.0,3.3294828,CD9,0.0,2.0520718,FCER1G,0.0,3.1740673,AQP1,0.0,4.3801785,PTPRC,0.0,3.3837454,LUM,0.0,2.0995102,FOXA1,0.0,2.1537368,RUNX1,0.0,2.0257378,KRT8,0.0,2.239063,TENT5C,0.0,2.0644248,KRT7,0.0,1.7372762,PTPRC,0.0,3.0420928,KRT5,0.0,5.4412265,MZB1,0.0,5.059221,SELL,0.0,3.7301192,HAVCR2,0.0,3.639534,KRT23,0.0,6.216156,ELF5,0.0021981803590470257,2.7748322,PTPRC,0.0,2.2056673
MLPH,0.0,2.3823388,POSTN,0.0,3.0733702,MLPH,0.0,2.0716424,AIF1,0.0,3.1120863,VWF,0.0,4.9129257,CXCR4,0.0,3.0783594,PTPRC,0.0,2.1168172,PCLAF,0.0,3.0188217,ACTA2,0.0,2.187469,KRT7,0.0,2.07757,KRT8,0.0,1.9119495,ERBB2,0.0,1.1947219,TRAC,0.0,2.9945734,ACTA2,0.0,2.4880865,SEC11C,0.0,3.524681,PTPRC,0.0,2.3281717,LYZ,0.0,2.6345947,KRT6B,0.0,4.4615765,SLC4A1,0.12490025370712353,3.4165878,TRAC,0.0,2.1033723
ABCC11,0.0,2.8011987,FBLN1,0.0,3.6163442,TPD52,0.0,1.7046338,PDK4,0.0,2.790688,CLEC14A,0.0,5.88001,CYTIP,0.0,3.1496363,CXCR4,0.0,1.873975,FASN,0.0,2.2115211,PDGFRA,0.0,2.2064123,CCND1,0.0,1.6254306,CDH1,0.0,1.9293449,CCND1,0.0,1.1927589,CXCR4,0.0,2.5392008,SERPINA3,0.0,2.9078012,PRDM1,0.0,3.4308329,SMAP2,0.0,2.0771434,CD4,0.0,2.2990808,DSC2,0.0,2.9895608,CYP1A1,0.23500200793915096,3.5816088,CXCR4,0.0,1.7406136
ANKRD30A,0.0,2.0981708,PDGFRA,0.0,3.3224196,KRT8,0.0,1.89025,CD163,0.0,3.7893002,RAMP2,0.0,5.42628,CD4,0.0,2.41084,CCDC80,0.0,2.057114,CDH1,0.0,1.7271851,CRISPLD2,0.0,2.592683,ERBB2,0.0,1.4733466,SERPINA3,0.0,2.5483768,KRT8,0.0,1.4932815,GZMA,0.0,4.2605653,PTN,0.0,3.8846772,ERN1,0.0,3.1348672,GPR183,0.0,2.3033473,ITGAX,0.0,3.5786552,KRT7,0.0,2.0931103,CXCL5,0.32690786898671476,2.741272,GZMA,0.0,3.037616
GATA3,0.0,1.993347,PDGFRB,0.0,2.5639842,ANKRD30A,0.0,1.8096296,CD68,0.0,2.8121877,KDR,0.0,5.1282554,IL2RG,0.0,2.881582,POSTN,0.0,1.9813081,SCD,0.0,1.7866461,MMP2,0.0,1.8757466,DSP,0.0,2.0424013,MLPH,0.0,1.9602375,GATA3,0.0,1.4111089,CD8B,0.0,4.5781837,MYH11,0.0,4.474086,TPD52,0.0,1.8919364,IL2RG,0.0,2.0838568,C1QC,0.0,2.9551919,PTN,0.0,3.8519168,CTSG,0.32690786898671476,2.009245,CD3G,2.7924599711529617e-298,2.574429
SCD,0.0,2.1228821,IGF1,0.0,3.024308,SCD,0.0,1.8467344,MRC1,0.0,4.05362,MYLK,0.0,2.5176377,GPR183,0.0,2.9267328,CXCL12,0.0,1.7088624,MKI67,0.0,2.9299417,ZEB1,0.0,2.2019577,CDH1,0.0,1.909431,ANKRD30A,0.0,1.8160373,TCIM,0.0,1.4497736,IL7R,0.0,2.707769,KRT6B,0.0,4.8142834,CCPG1,0.0,2.107307,CD19,0.0,5.923258,IGSF6,0.0,2.991774,SERPINA3,0.0,2.500402,MYBPC1,0.4522159517930766,2.7931507,S100A4,4.2973521558324307e-271,1.5919698
ERBB2,0.0,1.4812231,SFRP4,0.0,3.2840056,S100A14,0.0,1.7477639,ZEB2,0.0,2.1881585,TCF4,0.0,2.6239424,S100A4,0.0,2.2729664,S100A4,0.0,1.7151086,MDM2,0.0,1.3537813,SVIL,0.0,1.7236559,TCIM,0.0,1.9411733,FOXA1,0.0,1.8460371,ABCC11,0.0,1.5387714,IL2RG,0.0,2.554527,SFRP1,0.0,3.050279,CD79A,0.0,5.0824995,SPIB,0.0,4.6217446,AIF1,0.0,2.1886485,KRT5,0.0,3.687155,UCP1,0.7016243066680303,2.8598838,CYTIP,1.735986131670252e-268,1.7562563
