[True, False, True]
Run timestamp: 30092023_022140_304.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'nanostring_cosmx_human_nsclc', '--timestamp_suffix', '_304', '--reference_batches', 'batch1', 'batch2', 'batch4', 'batch5', 'batch6', 'batch7', '--cat_covariates_embeds_nums', '3', '30', '5', '--contrastive_logits_pos_ratio', '0', '--lambda_l1_addon', '0', '--lambda_l1_masked', '0', '--active_gp_thresh_ratio', '0.03', '--lambda_cat_covariates_contrastive', '1000000.0', '--n_neighbors', '4', '--no-filter_genes', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'human', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'fov', 'patient', '--cat_covariates_no_edges', 'True', 'False', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000.', '--lambda_gene_expr_recon', '3000.', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--n_sampled_neighbors', '4', '--edge_batch_size', '512', '--node_batch_size', '256', '--n_hidden_encoder', '960', '--n_addon_gp', '100']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2325.
Number of gene programs after filtering and combining: 1858.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch5...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch6...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch7...
Loading data...
Computing spatial neighborhood graph...

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.03
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 960, n_cat_covariates_embed_input: 0, n_hidden: 960, n_latent: 1613, n_addon_latent: 100, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 38, n_output: 960
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1613, n_addon_gp_input: 100, n_cat_covariates_embed_input: 38, n_output: 960

--- INITIALIZING TRAINER ---
Number of training nodes: 480575
Number of validation nodes: 53397
Number of training edges: 1134287
Number of validation edges: 126031
Edge batch size: 512
Node batch size: 256

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.9147; val_auprc_score: 0.9811; val_best_acc_score: 0.9117; val_best_f1_score: 0.9495; train_kl_reg_loss: 12185.8605; train_edge_recon_loss: 814445.4441; train_cat_covariates_contrastive_loss: 0.0000; train_gene_expr_recon_loss: 2719132.5820; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3545763.8880; train_optim_loss: 3545763.8880; val_kl_reg_loss: 13449.5572; val_edge_recon_loss: 838753.2695; val_cat_covariates_contrastive_loss: 0.0000; val_gene_expr_recon_loss: 2420129.3775; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3272332.2055; val_optim_loss: 3272332.2055
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.9396; val_auprc_score: 0.9870; val_best_acc_score: 0.9280; val_best_f1_score: 0.9586; train_kl_reg_loss: 14121.1729; train_edge_recon_loss: 791287.0789; train_cat_covariates_contrastive_loss: 0.0000; train_gene_expr_recon_loss: 2271813.5438; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3077221.7933; train_optim_loss: 3077221.7933; val_kl_reg_loss: 14867.1595; val_edge_recon_loss: 815884.6025; val_cat_covariates_contrastive_loss: 0.0000; val_gene_expr_recon_loss: 2176473.0663; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3007224.8330; val_optim_loss: 3007224.8330
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.9405; val_auprc_score: 0.9869; val_best_acc_score: 0.9295; val_best_f1_score: 0.9594; train_kl_reg_loss: 15703.3217; train_edge_recon_loss: 784659.6394; train_cat_covariates_contrastive_loss: 0.0000; train_gene_expr_recon_loss: 2127449.8227; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2927812.7846; train_optim_loss: 2927812.7846; val_kl_reg_loss: 16383.9692; val_edge_recon_loss: 818193.4879; val_cat_covariates_contrastive_loss: 0.0000; val_gene_expr_recon_loss: 2097932.4560; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2932509.9079; val_optim_loss: 2932509.9079
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.9444; val_auprc_score: 0.9878; val_best_acc_score: 0.9314; val_best_f1_score: 0.9604; train_kl_reg_loss: 16535.1399; train_edge_recon_loss: 783032.5216; train_cat_covariates_contrastive_loss: 0.0000; train_gene_expr_recon_loss: 2076379.8297; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2875947.4886; train_optim_loss: 2875947.4886; val_kl_reg_loss: 16873.4655; val_edge_recon_loss: 821560.0185; val_cat_covariates_contrastive_loss: 0.0000; val_gene_expr_recon_loss: 2063942.7758; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2902376.2561; val_optim_loss: 2902376.2561
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.9457; val_auprc_score: 0.9885; val_best_acc_score: 0.9315; val_best_f1_score: 0.9606; train_kl_reg_loss: 17050.9372; train_edge_recon_loss: 785975.6759; train_cat_covariates_contrastive_loss: 0.0000; train_gene_expr_recon_loss: 2049832.0847; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2852858.6995; train_optim_loss: 2852858.6995; val_kl_reg_loss: 17072.4654; val_edge_recon_loss: 809475.3565; val_cat_covariates_contrastive_loss: 0.0000; val_gene_expr_recon_loss: 2045808.6893; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2872356.5233; val_optim_loss: 2872356.5233
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.9477; val_auprc_score: 0.9890; val_best_acc_score: 0.9338; val_best_f1_score: 0.9619; train_kl_reg_loss: 17337.0498; train_edge_recon_loss: 785167.1596; train_cat_covariates_contrastive_loss: 0.0000; train_gene_expr_recon_loss: 2031292.5829; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2833796.7944; train_optim_loss: 2833796.7944; val_kl_reg_loss: 17591.9627; val_edge_recon_loss: 805112.7009; val_cat_covariates_contrastive_loss: 0.0000; val_gene_expr_recon_loss: 2030940.5000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2853645.1650; val_optim_loss: 2853645.1650
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.9455; val_auprc_score: 0.9883; val_best_acc_score: 0.9319; val_best_f1_score: 0.9607; train_kl_reg_loss: 17747.4919; train_edge_recon_loss: 782078.6930; train_cat_covariates_contrastive_loss: 0.0000; train_gene_expr_recon_loss: 2019860.4917; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2819686.6759; train_optim_loss: 2819686.6759; val_kl_reg_loss: 17926.7094; val_edge_recon_loss: 815411.5719; val_cat_covariates_contrastive_loss: 0.0000; val_gene_expr_recon_loss: 2022582.2368; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2855920.5061; val_optim_loss: 2855920.5061
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.9492; val_auprc_score: 0.9892; val_best_acc_score: 0.9345; val_best_f1_score: 0.9623; train_kl_reg_loss: 18037.6793; train_edge_recon_loss: 784025.6421; train_cat_covariates_contrastive_loss: 0.0000; train_gene_expr_recon_loss: 2007221.4657; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2809284.7861; train_optim_loss: 2809284.7861; val_kl_reg_loss: 18164.2607; val_edge_recon_loss: 809643.1675; val_cat_covariates_contrastive_loss: 0.0000; val_gene_expr_recon_loss: 2007945.1422; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2835752.5668; val_optim_loss: 2835752.5668
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9474; val_auprc_score: 0.9886; val_best_acc_score: 0.9346; val_best_f1_score: 0.9624; train_kl_reg_loss: 18292.5131; train_edge_recon_loss: 783944.3080; train_cat_covariates_contrastive_loss: 0.0000; train_gene_expr_recon_loss: 1998592.1843; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2800829.0055; train_optim_loss: 2800829.0055; val_kl_reg_loss: 18681.9886; val_edge_recon_loss: 811774.7460; val_cat_covariates_contrastive_loss: 0.0000; val_gene_expr_recon_loss: 2001595.3214; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2832052.0668; val_optim_loss: 2832052.0668
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9510; val_auprc_score: 0.9895; val_best_acc_score: 0.9353; val_best_f1_score: 0.9626; train_kl_reg_loss: 18682.2496; train_edge_recon_loss: 787656.6280; train_cat_covariates_contrastive_loss: 0.0000; train_gene_expr_recon_loss: 1989396.0522; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2795734.9293; train_optim_loss: 2795734.9293; val_kl_reg_loss: 18966.5713; val_edge_recon_loss: 807738.8211; val_cat_covariates_contrastive_loss: 0.0000; val_gene_expr_recon_loss: 1993332.5299; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2820037.9251; val_optim_loss: 2820037.9251
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9501; val_auprc_score: 0.9890; val_best_acc_score: 0.9366; val_best_f1_score: 0.9634; train_kl_reg_loss: 19040.9825; train_edge_recon_loss: 783630.4996; train_cat_covariates_contrastive_loss: 0.0000; train_gene_expr_recon_loss: 1982147.9392; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2784819.4206; train_optim_loss: 2784819.4206; val_kl_reg_loss: 19150.5706; val_edge_recon_loss: 816304.5455; val_cat_covariates_contrastive_loss: 0.0000; val_gene_expr_recon_loss: 1986179.1417; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2821634.2621; val_optim_loss: 2821634.2621
