[True]
Run timestamp: 25072023_180817_2.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'seqfish_mouse_organogenesis_imputed', '--reference_batches', 'batch1', 'batch2', 'batch3', 'batch4', 'batch5', 'batch6', '--n_neighbors', '4', '--filter_genes', '--n_hvg', '4000', '--nichenet_keep_target_genes_ratio', '0.1', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'one-hop-norm_reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--active_gp_thresh_ratio', '0.05', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gcnconv', '--n_epochs', '100', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '500000.0', '--lambda_gene_expr_recon', '300.0', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '5.0', '--edge_batch_size', '2048', '--node_batch_size', 'None', '--n_sampled_neighbors', '-1', '--timestamp_suffix', '_2']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2324.
Number of gene programs after filtering and combining: 1818.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch5...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch6...
Loading data...
Computing spatial neighborhood graph...

Filtering genes...
Starting with 29452 genes.
Keeping 29452 genes after filtering genes with expression in 0 cells.
Keeping 4032 highly variable or gene program relevant genes.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, gene_expr_recon_dist: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.05
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ENCODER -> n_input: 4032, n_cat_covariates_embed_input: 0, n_layers: 1, n_hidden: 1540, n_latent: 1540, n_addon_latent: 0, conv_layer: gcnconv, n_attention_heads: 0, dropout_rate: 0.0
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED GENE EXPRESSION DECODER -> n_input: 1540, n_cat_covariates_embed_input: 3, n_addon_input: 0, n_output: 8064
ONE HOP GCN NORM NODE LABEL AGGREGATOR

--- INITIALIZING TRAINER ---
Number of training nodes: 47311
Number of validation nodes: 5257
Number of training edges: 109836
Number of validation edges: 12204
Edge batch size: 2048
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/100 |--------------------| 1.0% val_auroc_score: 0.8699; val_auprc_score: 0.9751; val_best_acc_score: 0.8534; val_best_f1_score: 0.9209; train_kl_reg_loss: 99127.6611; train_edge_recon_loss: 116384.3668; train_gene_expr_recon_loss: 3379027.1065; train_masked_gp_l1_reg_loss: 6456.4376; train_group_lasso_reg_loss: 0.0000; train_global_loss: 3600995.5556; train_optim_loss: 3600995.5556; val_kl_reg_loss: 136985.6224; val_edge_recon_loss: 119154.8984; val_gene_expr_recon_loss: 2339383.2917; val_masked_gp_l1_reg_loss: 6664.3066; val_group_lasso_reg_loss: 0.0000; val_global_loss: 2602188.0000; val_optim_loss: 2602188.0000
Epoch 2/100 |--------------------| 2.0% val_auroc_score: 0.8491; val_auprc_score: 0.9691; val_best_acc_score: 0.8523; val_best_f1_score: 0.9203; train_kl_reg_loss: 132733.8066; train_edge_recon_loss: 118246.3921; train_gene_expr_recon_loss: 2209348.3819; train_masked_gp_l1_reg_loss: 6482.1005; train_group_lasso_reg_loss: 0.0000; train_global_loss: 2466810.6690; train_optim_loss: 2466810.6690; val_kl_reg_loss: 210927.2943; val_edge_recon_loss: 120057.1133; val_gene_expr_recon_loss: 2214007.5833; val_masked_gp_l1_reg_loss: 6371.3477; val_group_lasso_reg_loss: 0.0000; val_global_loss: 2551363.2500; val_optim_loss: 2551363.2500
Epoch 3/100 |--------------------| 3.0% val_auroc_score: 0.8425; val_auprc_score: 0.9687; val_best_acc_score: 0.8621; val_best_f1_score: 0.9252; train_kl_reg_loss: 204052.5347; train_edge_recon_loss: 119329.5754; train_gene_expr_recon_loss: 2342747.4028; train_masked_gp_l1_reg_loss: 6228.6441; train_group_lasso_reg_loss: 0.0000; train_global_loss: 2672358.1620; train_optim_loss: 2672358.1620; val_kl_reg_loss: 162701.5417; val_edge_recon_loss: 118628.7122; val_gene_expr_recon_loss: 2448901.3750; val_masked_gp_l1_reg_loss: 6104.7388; val_group_lasso_reg_loss: 0.0000; val_global_loss: 2736336.4167; val_optim_loss: 2736336.4167
Epoch 4/100 |--------------------| 4.0% val_auroc_score: 0.8503; val_auprc_score: 0.9714; val_best_acc_score: 0.8675; val_best_f1_score: 0.9279; train_kl_reg_loss: 140816.0936; train_edge_recon_loss: 120150.9886; train_gene_expr_recon_loss: 2717949.5926; train_masked_gp_l1_reg_loss: 6231.8079; train_group_lasso_reg_loss: 0.0000; train_global_loss: 2985148.4954; train_optim_loss: 2985148.4954; val_kl_reg_loss: 112302.7383; val_edge_recon_loss: 117488.0378; val_gene_expr_recon_loss: 2693642.8750; val_masked_gp_l1_reg_loss: 6281.2915; val_group_lasso_reg_loss: 0.0000; val_global_loss: 2929714.8750; val_optim_loss: 2929714.8750
Epoch 5/100 |█-------------------| 5.0% val_auroc_score: 0.8376; val_auprc_score: 0.9661; val_best_acc_score: 0.8574; val_best_f1_score: 0.9211; train_kl_reg_loss: 100147.6885; train_edge_recon_loss: 118727.7746; train_gene_expr_recon_loss: 2667773.3704; train_masked_gp_l1_reg_loss: 6256.9317; train_group_lasso_reg_loss: 0.0000; train_global_loss: 2892905.7546; train_optim_loss: 2892905.7546; val_kl_reg_loss: 83866.3372; val_edge_recon_loss: 123490.1536; val_gene_expr_recon_loss: 2643146.2500; val_masked_gp_l1_reg_loss: 6239.9570; val_group_lasso_reg_loss: 0.0000; val_global_loss: 2856742.7083; val_optim_loss: 2856742.7083
Epoch 6/100 |█-------------------| 6.0% val_auroc_score: 0.8340; val_auprc_score: 0.9681; val_best_acc_score: 0.8659; val_best_f1_score: 0.9271; train_kl_reg_loss: 73199.4627; train_edge_recon_loss: 117676.3795; train_gene_expr_recon_loss: 2245523.7176; train_masked_gp_l1_reg_loss: 6339.4294; train_group_lasso_reg_loss: 0.0000; train_global_loss: 2442738.9861; train_optim_loss: 2442738.9861; val_kl_reg_loss: 58104.7904; val_edge_recon_loss: 117071.9479; val_gene_expr_recon_loss: 1434017.5000; val_masked_gp_l1_reg_loss: 6607.8418; val_group_lasso_reg_loss: 0.0000; val_global_loss: 1615802.1042; val_optim_loss: 1615802.1042
Epoch 7/100 |█-------------------| 7.0% val_auroc_score: 0.8398; val_auprc_score: 0.9686; val_best_acc_score: 0.8744; val_best_f1_score: 0.9316; train_kl_reg_loss: 64127.9724; train_edge_recon_loss: 117662.0580; train_gene_expr_recon_loss: 1334005.4236; train_masked_gp_l1_reg_loss: 6630.0471; train_group_lasso_reg_loss: 0.0000; train_global_loss: 1522425.5023; train_optim_loss: 1522425.5023; val_kl_reg_loss: 61428.8431; val_edge_recon_loss: 115105.3568; val_gene_expr_recon_loss: 1290333.6667; val_masked_gp_l1_reg_loss: 6591.0830; val_group_lasso_reg_loss: 0.0000; val_global_loss: 1473459.0000; val_optim_loss: 1473459.0000
Epoch 8/100 |█-------------------| 8.0% val_auroc_score: 0.8462; val_auprc_score: 0.9666; val_best_acc_score: 0.8785; val_best_f1_score: 0.9325; train_kl_reg_loss: 60914.8987; train_edge_recon_loss: 118524.6403; train_gene_expr_recon_loss: 1277317.9676; train_masked_gp_l1_reg_loss: 6576.2858; train_group_lasso_reg_loss: 0.0000; train_global_loss: 1463333.7894; train_optim_loss: 1463333.7894; val_kl_reg_loss: 55723.5332; val_edge_recon_loss: 121095.5859; val_gene_expr_recon_loss: 1264304.8125; val_masked_gp_l1_reg_loss: 6577.5732; val_group_lasso_reg_loss: 0.0000; val_global_loss: 1447701.5833; val_optim_loss: 1447701.5833
Epoch 9/100 |█-------------------| 9.0% val_auroc_score: 0.8463; val_auprc_score: 0.9658; val_best_acc_score: 0.8730; val_best_f1_score: 0.9294; train_kl_reg_loss: 55322.5218; train_edge_recon_loss: 117852.6622; train_gene_expr_recon_loss: 1228546.5602; train_masked_gp_l1_reg_loss: 6611.1374; train_group_lasso_reg_loss: 0.0000; train_global_loss: 1408332.8889; train_optim_loss: 1408332.8889; val_kl_reg_loss: 51877.5143; val_edge_recon_loss: 123867.4414; val_gene_expr_recon_loss: 1211603.0833; val_masked_gp_l1_reg_loss: 6639.9243; val_group_lasso_reg_loss: 0.0000; val_global_loss: 1393987.9167; val_optim_loss: 1393987.9167
Epoch 10/100 |██------------------| 10.0% val_auroc_score: 0.8449; val_auprc_score: 0.9663; val_best_acc_score: 0.8796; val_best_f1_score: 0.9332; train_kl_reg_loss: 51631.3378; train_edge_recon_loss: 116812.0000; train_gene_expr_recon_loss: 1206662.2037; train_masked_gp_l1_reg_loss: 6664.8509; train_group_lasso_reg_loss: 0.0000; train_global_loss: 1381770.3935; train_optim_loss: 1381770.3935; val_kl_reg_loss: 47971.8203; val_edge_recon_loss: 118088.6068; val_gene_expr_recon_loss: 1196968.7708; val_masked_gp_l1_reg_loss: 6694.8750; val_group_lasso_reg_loss: 0.0000; val_global_loss: 1369724.0833; val_optim_loss: 1369724.0833
Epoch 11/100 |██------------------| 11.0% val_auroc_score: 0.8574; val_auprc_score: 0.9691; val_best_acc_score: 0.8824; val_best_f1_score: 0.9344; train_kl_reg_loss: 47810.0156; train_edge_recon_loss: 116530.1824; train_gene_expr_recon_loss: 1186144.3958; train_masked_gp_l1_reg_loss: 6729.2534; train_group_lasso_reg_loss: 0.0000; train_global_loss: 1357213.8542; train_optim_loss: 1357213.8542; val_kl_reg_loss: 43304.6100; val_edge_recon_loss: 118029.1042; val_gene_expr_recon_loss: 1136530.3125; val_masked_gp_l1_reg_loss: 6773.4717; val_group_lasso_reg_loss: 0.0000; val_global_loss: 1304637.5208; val_optim_loss: 1304637.5208
