[True]
Run timestamp: 25072023_120944_3016.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'seqfish_mouse_organogenesis_imputed', '--reference_batches', 'batch1', 'batch2', 'batch3', 'batch4', 'batch5', 'batch6', '--n_neighbors', '12', '--filter_genes', '--n_hvg', '4000', '--nichenet_keep_target_genes_ratio', '0.1', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'one-hop-norm_reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--active_gp_thresh_ratio', '0.05', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gcnconv', '--n_epochs', '100', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '50000.0', '--lambda_gene_expr_recon', '30.0', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '5.0', '--edge_batch_size', '2048', '--node_batch_size', 'None', '--n_sampled_neighbors', '8', '--timestamp_suffix', '_3016']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2324.
Number of gene programs after filtering and combining: 1818.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch5...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch6...
Loading data...
Computing spatial neighborhood graph...

Filtering genes...
Starting with 29452 genes.
Keeping 29452 genes after filtering genes with expression in 0 cells.
Keeping 4032 highly variable or gene program relevant genes.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, gene_expr_recon_dist: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.05
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ENCODER -> n_input: 4032, n_cat_covariates_embed_input: 0, n_layers: 1, n_hidden: 1540, n_latent: 1540, n_addon_latent: 0, conv_layer: gcnconv, n_attention_heads: 0, dropout_rate: 0.0
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED GENE EXPRESSION DECODER -> n_input: 1540, n_cat_covariates_embed_input: 3, n_addon_input: 0, n_output: 8064
ONE HOP GCN NORM NODE LABEL AGGREGATOR

--- INITIALIZING TRAINER ---
Number of training nodes: 47311
Number of validation nodes: 5257
Number of training edges: 319410
Number of validation edges: 35490
Edge batch size: 2048
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/100 |--------------------| 1.0% val_auroc_score: 0.8894; val_auprc_score: 0.9783; val_best_acc_score: 0.8647; val_best_f1_score: 0.9263; train_kl_reg_loss: 21667.5524; train_edge_recon_loss: 11634.3887; train_gene_expr_recon_loss: 202226.7690; train_masked_gp_l1_reg_loss: 4439.3936; train_group_lasso_reg_loss: 0.0000; train_global_loss: 239968.1036; train_optim_loss: 239968.1036; val_kl_reg_loss: 19327.9018; val_edge_recon_loss: 11910.1267; val_gene_expr_recon_loss: 123991.2283; val_masked_gp_l1_reg_loss: 3956.1184; val_group_lasso_reg_loss: 0.0000; val_global_loss: 159185.3819; val_optim_loss: 159185.3819
Epoch 2/100 |--------------------| 2.0% val_auroc_score: 0.8632; val_auprc_score: 0.9717; val_best_acc_score: 0.8743; val_best_f1_score: 0.9307; train_kl_reg_loss: 16906.8129; train_edge_recon_loss: 11636.8896; train_gene_expr_recon_loss: 115796.8252; train_masked_gp_l1_reg_loss: 4065.2710; train_group_lasso_reg_loss: 0.0000; train_global_loss: 148405.7984; train_optim_loss: 148405.7984; val_kl_reg_loss: 14527.4322; val_edge_recon_loss: 11792.4302; val_gene_expr_recon_loss: 109938.6289; val_masked_gp_l1_reg_loss: 4214.8672; val_group_lasso_reg_loss: 0.0000; val_global_loss: 140473.3594; val_optim_loss: 140473.3594
Epoch 3/100 |--------------------| 3.0% val_auroc_score: 0.8819; val_auprc_score: 0.9746; val_best_acc_score: 0.8814; val_best_f1_score: 0.9341; train_kl_reg_loss: 13213.9478; train_edge_recon_loss: 11494.8256; train_gene_expr_recon_loss: 106820.3012; train_masked_gp_l1_reg_loss: 4360.4470; train_group_lasso_reg_loss: 0.0000; train_global_loss: 135889.5221; train_optim_loss: 135889.5221; val_kl_reg_loss: 11766.6681; val_edge_recon_loss: 11944.1637; val_gene_expr_recon_loss: 104019.2839; val_masked_gp_l1_reg_loss: 4501.7310; val_group_lasso_reg_loss: 0.0000; val_global_loss: 132231.8481; val_optim_loss: 132231.8481
Epoch 4/100 |--------------------| 4.0% val_auroc_score: 0.8963; val_auprc_score: 0.9780; val_best_acc_score: 0.8911; val_best_f1_score: 0.9389; train_kl_reg_loss: 10992.1192; train_edge_recon_loss: 11352.3555; train_gene_expr_recon_loss: 102122.4225; train_masked_gp_l1_reg_loss: 4608.2510; train_group_lasso_reg_loss: 0.0000; train_global_loss: 129075.1478; train_optim_loss: 129075.1478; val_kl_reg_loss: 10176.0461; val_edge_recon_loss: 11683.8821; val_gene_expr_recon_loss: 99911.7925; val_masked_gp_l1_reg_loss: 4703.8555; val_group_lasso_reg_loss: 0.0000; val_global_loss: 126475.5773; val_optim_loss: 126475.5773
Epoch 5/100 |█-------------------| 5.0% val_auroc_score: 0.9086; val_auprc_score: 0.9794; val_best_acc_score: 0.9047; val_best_f1_score: 0.9457; train_kl_reg_loss: 9442.2221; train_edge_recon_loss: 11258.1855; train_gene_expr_recon_loss: 98918.0810; train_masked_gp_l1_reg_loss: 4767.4321; train_group_lasso_reg_loss: 0.0000; train_global_loss: 124385.9207; train_optim_loss: 124385.9207; val_kl_reg_loss: 8552.5264; val_edge_recon_loss: 11772.5877; val_gene_expr_recon_loss: 97463.4783; val_masked_gp_l1_reg_loss: 4816.8936; val_group_lasso_reg_loss: 0.0000; val_global_loss: 122605.4822; val_optim_loss: 122605.4822
Epoch 6/100 |█-------------------| 6.0% val_auroc_score: 0.9135; val_auprc_score: 0.9816; val_best_acc_score: 0.9101; val_best_f1_score: 0.9483; train_kl_reg_loss: 8234.5992; train_edge_recon_loss: 11175.5355; train_gene_expr_recon_loss: 96435.2299; train_masked_gp_l1_reg_loss: 4840.5954; train_group_lasso_reg_loss: 0.0000; train_global_loss: 120685.9604; train_optim_loss: 120685.9604; val_kl_reg_loss: 7596.8618; val_edge_recon_loss: 11498.0712; val_gene_expr_recon_loss: 95048.5742; val_masked_gp_l1_reg_loss: 4850.0156; val_group_lasso_reg_loss: 0.0000; val_global_loss: 118993.5230; val_optim_loss: 118993.5230
Epoch 7/100 |█-------------------| 7.0% val_auroc_score: 0.9255; val_auprc_score: 0.9839; val_best_acc_score: 0.9139; val_best_f1_score: 0.9501; train_kl_reg_loss: 7226.5669; train_edge_recon_loss: 11099.1596; train_gene_expr_recon_loss: 94376.1628; train_masked_gp_l1_reg_loss: 4835.3266; train_group_lasso_reg_loss: 0.0000; train_global_loss: 117537.2158; train_optim_loss: 117537.2158; val_kl_reg_loss: 6681.7266; val_edge_recon_loss: 11394.9601; val_gene_expr_recon_loss: 93194.3581; val_masked_gp_l1_reg_loss: 4804.7964; val_group_lasso_reg_loss: 0.0000; val_global_loss: 116075.8403; val_optim_loss: 116075.8403
Epoch 8/100 |█-------------------| 8.0% val_auroc_score: 0.9269; val_auprc_score: 0.9844; val_best_acc_score: 0.9188; val_best_f1_score: 0.9535; train_kl_reg_loss: 6339.2061; train_edge_recon_loss: 10927.4429; train_gene_expr_recon_loss: 92624.9586; train_masked_gp_l1_reg_loss: 4748.7242; train_group_lasso_reg_loss: 0.0000; train_global_loss: 114640.3313; train_optim_loss: 114640.3313; val_kl_reg_loss: 5880.9239; val_edge_recon_loss: 11346.6885; val_gene_expr_recon_loss: 91505.2535; val_masked_gp_l1_reg_loss: 4680.1055; val_group_lasso_reg_loss: 0.0000; val_global_loss: 113412.9722; val_optim_loss: 113412.9722
Epoch 9/100 |█-------------------| 9.0% val_auroc_score: 0.9358; val_auprc_score: 0.9862; val_best_acc_score: 0.9220; val_best_f1_score: 0.9552; train_kl_reg_loss: 5532.9019; train_edge_recon_loss: 10759.4407; train_gene_expr_recon_loss: 91093.3797; train_masked_gp_l1_reg_loss: 4583.3379; train_group_lasso_reg_loss: 0.0000; train_global_loss: 111969.0598; train_optim_loss: 111969.0598; val_kl_reg_loss: 5101.6052; val_edge_recon_loss: 11315.7086; val_gene_expr_recon_loss: 90006.9540; val_masked_gp_l1_reg_loss: 4470.5112; val_group_lasso_reg_loss: 0.0000; val_global_loss: 110894.7756; val_optim_loss: 110894.7756
Epoch 10/100 |██------------------| 10.0% val_auroc_score: 0.9451; val_auprc_score: 0.9878; val_best_acc_score: 0.9292; val_best_f1_score: 0.9589; train_kl_reg_loss: 4814.1929; train_edge_recon_loss: 10624.5056; train_gene_expr_recon_loss: 89709.8837; train_masked_gp_l1_reg_loss: 4335.1339; train_group_lasso_reg_loss: 0.0000; train_global_loss: 109483.7165; train_optim_loss: 109483.7165; val_kl_reg_loss: 4344.3037; val_edge_recon_loss: 11202.8531; val_gene_expr_recon_loss: 88902.8971; val_masked_gp_l1_reg_loss: 4186.7886; val_group_lasso_reg_loss: 0.0000; val_global_loss: 108636.8424; val_optim_loss: 108636.8424
Epoch 11/100 |██------------------| 11.0% val_auroc_score: 0.9447; val_auprc_score: 0.9884; val_best_acc_score: 0.9316; val_best_f1_score: 0.9604; train_kl_reg_loss: 4179.2574; train_edge_recon_loss: 10459.9955; train_gene_expr_recon_loss: 88376.3112; train_masked_gp_l1_reg_loss: 4015.2741; train_group_lasso_reg_loss: 0.0000; train_global_loss: 107030.8381; train_optim_loss: 107030.8381; val_kl_reg_loss: 3932.5150; val_edge_recon_loss: 10849.9100; val_gene_expr_recon_loss: 87350.4601; val_masked_gp_l1_reg_loss: 3835.2168; val_group_lasso_reg_loss: 0.0000; val_global_loss: 105968.1033; val_optim_loss: 105968.1033
Epoch 12/100 |██------------------| 12.0% val_auroc_score: 0.9444; val_auprc_score: 0.9876; val_best_acc_score: 0.9349; val_best_f1_score: 0.9625; train_kl_reg_loss: 3659.5219; train_edge_recon_loss: 10225.9337; train_gene_expr_recon_loss: 87206.2568; train_masked_gp_l1_reg_loss: 3647.9781; train_group_lasso_reg_loss: 0.0000; train_global_loss: 104739.6906; train_optim_loss: 104739.6906; val_kl_reg_loss: 3326.6875; val_edge_recon_loss: 10625.0881; val_gene_expr_recon_loss: 86491.6866; val_masked_gp_l1_reg_loss: 3456.8652; val_group_lasso_reg_loss: 0.0000; val_global_loss: 103900.3294; val_optim_loss: 103900.3294
Epoch 13/100 |██------------------| 13.0% val_auroc_score: 0.9489; val_auprc_score: 0.9889; val_best_acc_score: 0.9393; val_best_f1_score: 0.9648; train_kl_reg_loss: 3239.4476; train_edge_recon_loss: 10092.1611; train_gene_expr_recon_loss: 86148.8086; train_masked_gp_l1_reg_loss: 3269.4348; train_group_lasso_reg_loss: 0.0000; train_global_loss: 102749.8521; train_optim_loss: 102749.8521; val_kl_reg_loss: 2990.1318; val_edge_recon_loss: 10389.1892; val_gene_expr_recon_loss: 85479.3928; val_masked_gp_l1_reg_loss: 3083.6348; val_group_lasso_reg_loss: 0.0000; val_global_loss: 101942.3464; val_optim_loss: 101942.3464
Epoch 14/100 |██------------------| 14.0% val_auroc_score: 0.9521; val_auprc_score: 0.9896; val_best_acc_score: 0.9427; val_best_f1_score: 0.9670; train_kl_reg_loss: 2897.5701; train_edge_recon_loss: 9823.7905; train_gene_expr_recon_loss: 85214.0939; train_masked_gp_l1_reg_loss: 2915.3757; train_group_lasso_reg_loss: 0.0000; train_global_loss: 100850.8306; train_optim_loss: 100850.8306; val_kl_reg_loss: 2784.3924; val_edge_recon_loss: 10021.1568; val_gene_expr_recon_loss: 84511.6493; val_masked_gp_l1_reg_loss: 2754.3145; val_group_lasso_reg_loss: 0.0000; val_global_loss: 100071.5100; val_optim_loss: 100071.5100
Epoch 15/100 |███-----------------| 15.0% val_auroc_score: 0.9512; val_auprc_score: 0.9888; val_best_acc_score: 0.9428; val_best_f1_score: 0.9670; train_kl_reg_loss: 2640.3033; train_edge_recon_loss: 9764.4822; train_gene_expr_recon_loss: 84355.6549; train_masked_gp_l1_reg_loss: 2616.0112; train_group_lasso_reg_loss: 0.0000; train_global_loss: 99376.4518; train_optim_loss: 99376.4518; val_kl_reg_loss: 2537.2715; val_edge_recon_loss: 10032.6673; val_gene_expr_recon_loss: 84095.9149; val_masked_gp_l1_reg_loss: 2491.5408; val_group_lasso_reg_loss: 0.0000; val_global_loss: 99157.3932; val_optim_loss: 99157.3932
