[True]
Run timestamp: 07082023_230042_43.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'seqfish_mouse_organogenesis_imputed', '--reference_batches', 'batch1', 'batch2', 'batch3', 'batch4', 'batch5', 'batch6', '--n_neighbors', '16', '--filter_genes', '--n_hvg', '4000', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'one-hop-norm_reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '0', '--active_gp_thresh_ratio', '0.05', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gcnconv', '--n_epochs', '100', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '50000', '--lambda_gene_expr_recon', '300', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '10', '--lambda_l1_addon', '10.', '--edge_batch_size', '4096', '--node_batch_size', 'None', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_43']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2324.
Number of gene programs after filtering and combining: 1818.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch5...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch6...
Loading data...
Computing spatial neighborhood graph...

Filtering genes...
Starting with 29239 genes.
Keeping 29239 genes after filtering genes with expression in 0 cells.
Keeping 5399 highly variable or gene program relevant genes.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.05
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM NODE LABEL AGGREGATOR
ENCODER -> n_input: 5399, n_cat_covariates_embed_input: 0, n_hidden: 1797, n_latent: 1797, n_addon_latent: 0, n_fc_layers: 1, n_layers: 1, conv_layer: gcnconv, n_attention_heads: 0, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1797, n_addon_gp_input: 0, n_cat_covariates_embed_input: 3, n_output: 5399
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1797, n_addon_gp_input: 0, n_cat_covariates_embed_input: 3, n_output: 5399

--- INITIALIZING TRAINER ---
Number of training nodes: 47311
Number of validation nodes: 5257
Number of training edges: 424361
Number of validation edges: 47151
Edge batch size: 4096
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/100 |--------------------| 1.0% val_auroc_score: 0.8894; val_auprc_score: 0.9762; val_best_acc_score: 0.8530; val_best_f1_score: 0.9207; train_kl_reg_loss: 104475.5197; train_edge_recon_loss: 11712.5659; train_gene_expr_recon_loss: 1833735.6094; train_masked_gp_l1_reg_loss: 16615.2511; train_group_lasso_reg_loss: 0.0000; train_global_loss: 1966538.9363; train_optim_loss: 1966538.9363; val_kl_reg_loss: 116701.1003; val_edge_recon_loss: 11936.3707; val_gene_expr_recon_loss: 1119363.2604; val_masked_gp_l1_reg_loss: 12987.8281; val_group_lasso_reg_loss: 0.0000; val_global_loss: 1260988.5833; val_optim_loss: 1260988.5833
Epoch 2/100 |--------------------| 2.0% val_auroc_score: 0.8756; val_auprc_score: 0.9722; val_best_acc_score: 0.8828; val_best_f1_score: 0.9354; train_kl_reg_loss: 100275.0967; train_edge_recon_loss: 11903.4811; train_gene_expr_recon_loss: 1068727.1791; train_masked_gp_l1_reg_loss: 12029.5768; train_group_lasso_reg_loss: 0.0000; train_global_loss: 1192935.3341; train_optim_loss: 1192935.3341; val_kl_reg_loss: 84435.8288; val_edge_recon_loss: 11974.7534; val_gene_expr_recon_loss: 1035689.2031; val_masked_gp_l1_reg_loss: 11611.8506; val_group_lasso_reg_loss: 0.0000; val_global_loss: 1143711.6667; val_optim_loss: 1143711.6667
Epoch 3/100 |--------------------| 3.0% val_auroc_score: 0.8827; val_auprc_score: 0.9732; val_best_acc_score: 0.9025; val_best_f1_score: 0.9442; train_kl_reg_loss: 76342.4178; train_edge_recon_loss: 11886.6289; train_gene_expr_recon_loss: 1011691.2362; train_masked_gp_l1_reg_loss: 11621.0958; train_group_lasso_reg_loss: 0.0000; train_global_loss: 1111541.3822; train_optim_loss: 1111541.3822; val_kl_reg_loss: 68310.3919; val_edge_recon_loss: 11951.0562; val_gene_expr_recon_loss: 991057.9479; val_masked_gp_l1_reg_loss: 11729.9365; val_group_lasso_reg_loss: 0.0000; val_global_loss: 1083049.2500; val_optim_loss: 1083049.2500
Epoch 4/100 |--------------------| 4.0% val_auroc_score: 0.8989; val_auprc_score: 0.9773; val_best_acc_score: 0.8919; val_best_f1_score: 0.9402; train_kl_reg_loss: 63529.4654; train_edge_recon_loss: 11808.8810; train_gene_expr_recon_loss: 974517.6959; train_masked_gp_l1_reg_loss: 11943.3697; train_group_lasso_reg_loss: 0.0000; train_global_loss: 1061799.4093; train_optim_loss: 1061799.4093; val_kl_reg_loss: 57560.2689; val_edge_recon_loss: 11836.1300; val_gene_expr_recon_loss: 960366.6354; val_masked_gp_l1_reg_loss: 12187.1006; val_group_lasso_reg_loss: 0.0000; val_global_loss: 1041950.1667; val_optim_loss: 1041950.1667
Epoch 5/100 |█-------------------| 5.0% val_auroc_score: 0.9126; val_auprc_score: 0.9805; val_best_acc_score: 0.9064; val_best_f1_score: 0.9475; train_kl_reg_loss: 55268.2611; train_edge_recon_loss: 11727.4558; train_gene_expr_recon_loss: 946522.2470; train_masked_gp_l1_reg_loss: 12434.7134; train_group_lasso_reg_loss: 0.0000; train_global_loss: 1025952.6755; train_optim_loss: 1025952.6755; val_kl_reg_loss: 51510.0465; val_edge_recon_loss: 11738.3251; val_gene_expr_recon_loss: 935352.1771; val_masked_gp_l1_reg_loss: 12675.4980; val_group_lasso_reg_loss: 0.0000; val_global_loss: 1011276.0469; val_optim_loss: 1011276.0469
Epoch 6/100 |█-------------------| 6.0% val_auroc_score: 0.9164; val_auprc_score: 0.9818; val_best_acc_score: 0.9157; val_best_f1_score: 0.9524; train_kl_reg_loss: 49415.7986; train_edge_recon_loss: 11627.9747; train_gene_expr_recon_loss: 925112.8966; train_masked_gp_l1_reg_loss: 12902.2648; train_group_lasso_reg_loss: 0.0000; train_global_loss: 999058.9363; train_optim_loss: 999058.9363; val_kl_reg_loss: 46451.6357; val_edge_recon_loss: 11539.0878; val_gene_expr_recon_loss: 916764.8854; val_masked_gp_l1_reg_loss: 13130.5273; val_group_lasso_reg_loss: 0.0000; val_global_loss: 987886.1094; val_optim_loss: 987886.1094
Epoch 7/100 |█-------------------| 7.0% val_auroc_score: 0.9277; val_auprc_score: 0.9841; val_best_acc_score: 0.9217; val_best_f1_score: 0.9552; train_kl_reg_loss: 45057.0356; train_edge_recon_loss: 11541.9416; train_gene_expr_recon_loss: 907635.4171; train_masked_gp_l1_reg_loss: 13339.6862; train_group_lasso_reg_loss: 0.0000; train_global_loss: 977574.0799; train_optim_loss: 977574.0799; val_kl_reg_loss: 42573.7816; val_edge_recon_loss: 11834.2891; val_gene_expr_recon_loss: 900043.2500; val_masked_gp_l1_reg_loss: 13544.4316; val_group_lasso_reg_loss: 0.0000; val_global_loss: 967995.7604; val_optim_loss: 967995.7604
Epoch 8/100 |█-------------------| 8.0% val_auroc_score: 0.9325; val_auprc_score: 0.9853; val_best_acc_score: 0.9250; val_best_f1_score: 0.9569; train_kl_reg_loss: 41525.5395; train_edge_recon_loss: 11607.9479; train_gene_expr_recon_loss: 892700.0547; train_masked_gp_l1_reg_loss: 13735.4901; train_group_lasso_reg_loss: 0.0000; train_global_loss: 959569.0349; train_optim_loss: 959569.0349; val_kl_reg_loss: 39465.8258; val_edge_recon_loss: 11767.9573; val_gene_expr_recon_loss: 887408.1042; val_masked_gp_l1_reg_loss: 13933.2480; val_group_lasso_reg_loss: 0.0000; val_global_loss: 952575.1354; val_optim_loss: 952575.1354
Epoch 9/100 |█-------------------| 9.0% val_auroc_score: 0.9376; val_auprc_score: 0.9865; val_best_acc_score: 0.9281; val_best_f1_score: 0.9584; train_kl_reg_loss: 38610.6837; train_edge_recon_loss: 11537.6197; train_gene_expr_recon_loss: 879812.6839; train_masked_gp_l1_reg_loss: 14100.2976; train_group_lasso_reg_loss: 0.0000; train_global_loss: 944061.2873; train_optim_loss: 944061.2873; val_kl_reg_loss: 37374.5534; val_edge_recon_loss: 11649.2240; val_gene_expr_recon_loss: 873286.1406; val_masked_gp_l1_reg_loss: 14280.5811; val_group_lasso_reg_loss: 0.0000; val_global_loss: 936590.4844; val_optim_loss: 936590.4844
Epoch 10/100 |██------------------| 10.0% val_auroc_score: 0.9428; val_auprc_score: 0.9874; val_best_acc_score: 0.9308; val_best_f1_score: 0.9598; train_kl_reg_loss: 36170.9508; train_edge_recon_loss: 11536.4718; train_gene_expr_recon_loss: 868494.5457; train_masked_gp_l1_reg_loss: 14431.5270; train_group_lasso_reg_loss: 0.0000; train_global_loss: 930633.4946; train_optim_loss: 930633.4946; val_kl_reg_loss: 34683.8285; val_edge_recon_loss: 11671.5466; val_gene_expr_recon_loss: 862633.3229; val_masked_gp_l1_reg_loss: 14592.5967; val_group_lasso_reg_loss: 0.0000; val_global_loss: 923581.3229; val_optim_loss: 923581.3229
Epoch 11/100 |██------------------| 11.0% val_auroc_score: 0.9430; val_auprc_score: 0.9870; val_best_acc_score: 0.9301; val_best_f1_score: 0.9591; train_kl_reg_loss: 34096.3955; train_edge_recon_loss: 11466.0329; train_gene_expr_recon_loss: 857851.4219; train_masked_gp_l1_reg_loss: 14733.9479; train_group_lasso_reg_loss: 0.0000; train_global_loss: 918147.7987; train_optim_loss: 918147.7987; val_kl_reg_loss: 32715.7507; val_edge_recon_loss: 11762.5038; val_gene_expr_recon_loss: 852659.4375; val_masked_gp_l1_reg_loss: 14874.8535; val_group_lasso_reg_loss: 0.0000; val_global_loss: 912012.5677; val_optim_loss: 912012.5677
Epoch 12/100 |██------------------| 12.0% val_auroc_score: 0.9497; val_auprc_score: 0.9886; val_best_acc_score: 0.9320; val_best_f1_score: 0.9602; train_kl_reg_loss: 32261.9139; train_edge_recon_loss: 11495.4905; train_gene_expr_recon_loss: 848079.0907; train_masked_gp_l1_reg_loss: 15000.5823; train_group_lasso_reg_loss: 0.0000; train_global_loss: 906837.0811; train_optim_loss: 906837.0811; val_kl_reg_loss: 30833.3239; val_edge_recon_loss: 11508.4644; val_gene_expr_recon_loss: 843231.0104; val_masked_gp_l1_reg_loss: 15124.6992; val_group_lasso_reg_loss: 0.0000; val_global_loss: 900697.4948; val_optim_loss: 900697.4948
Epoch 13/100 |██------------------| 13.0% val_auroc_score: 0.9482; val_auprc_score: 0.9886; val_best_acc_score: 0.9319; val_best_f1_score: 0.9612; train_kl_reg_loss: 30624.5565; train_edge_recon_loss: 11407.8005; train_gene_expr_recon_loss: 839113.4441; train_masked_gp_l1_reg_loss: 15235.2851; train_group_lasso_reg_loss: 0.0000; train_global_loss: 896381.0877; train_optim_loss: 896381.0877; val_kl_reg_loss: 29666.2383; val_edge_recon_loss: 11464.2662; val_gene_expr_recon_loss: 834212.5677; val_masked_gp_l1_reg_loss: 15340.5605; val_group_lasso_reg_loss: 0.0000; val_global_loss: 890683.6354; val_optim_loss: 890683.6354
Epoch 14/100 |██------------------| 14.0% val_auroc_score: 0.9551; val_auprc_score: 0.9902; val_best_acc_score: 0.9361; val_best_f1_score: 0.9634; train_kl_reg_loss: 29118.1260; train_edge_recon_loss: 11435.8206; train_gene_expr_recon_loss: 830948.4880; train_masked_gp_l1_reg_loss: 15429.5737; train_group_lasso_reg_loss: 0.0000; train_global_loss: 886932.0072; train_optim_loss: 886932.0072; val_kl_reg_loss: 28429.3008; val_edge_recon_loss: 11563.2498; val_gene_expr_recon_loss: 827113.2135; val_masked_gp_l1_reg_loss: 15522.9727; val_group_lasso_reg_loss: 0.0000; val_global_loss: 882628.7604; val_optim_loss: 882628.7604
Epoch 15/100 |███-----------------| 15.0% val_auroc_score: 0.9567; val_auprc_score: 0.9905; val_best_acc_score: 0.9368; val_best_f1_score: 0.9637; train_kl_reg_loss: 27759.8725; train_edge_recon_loss: 11333.8741; train_gene_expr_recon_loss: 823196.9537; train_masked_gp_l1_reg_loss: 15592.4106; train_group_lasso_reg_loss: 0.0000; train_global_loss: 877883.1136; train_optim_loss: 877883.1136; val_kl_reg_loss: 26933.7894; val_edge_recon_loss: 11562.9851; val_gene_expr_recon_loss: 818694.8125; val_masked_gp_l1_reg_loss: 15655.7539; val_group_lasso_reg_loss: 0.0000; val_global_loss: 872847.3333; val_optim_loss: 872847.3333
