[True]
Run timestamp: 12072023_125602_5.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'seqfish_mouse_organogenesis_imputed', '--reference_batches', 'batch1', 'batch2', 'batch3', 'batch4', 'batch5', 'batch6', '--n_neighbors', '32', '--filter_genes', '--n_hvg', '4000', '--nichenet_keep_target_genes_ratio', '0.01', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'one-hop-norm_reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--active_gp_thresh_ratio', '0.', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gcnconv', '--n_epochs', '100', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '500000.', '--lambda_gene_expr_recon', '300.', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0.0', '--edge_batch_size', '2048', '--node_batch_size', 'None', '--n_sampled_neighbors', '8', '--timestamp_suffix', '_5']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2324.
Number of gene programs after filtering and combining: 1813.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch5...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch6...
Loading data...
Computing spatial neighborhood graph...

Filtering genes...
Starting with 29452 genes.
Keeping 29452 genes after filtering genes with expression in 0 cells.
Keeping 4032 highly variable or gene program relevant genes.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, gene_expr_recon_dist: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.0
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ENCODER -> n_input: 4032, n_cat_covariates_embed_input: 0, n_layers: 1, n_hidden: 1498, n_latent: 1498, n_addon_latent: 0, conv_layer: gcnconv, n_attention_heads: 0, dropout_rate: 0.0
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED GENE EXPRESSION DECODER -> n_input: 1498, n_cat_covariates_embed_input: 3, n_addon_input: 0, n_output: 8064
ONE HOP GCN NORM NODE LABEL AGGREGATOR

--- INITIALIZING TRAINER ---
Number of training nodes: 47311
Number of validation nodes: 5257
Number of training edges: 846018
Number of validation edges: 94001
Edge batch size: 2048
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/100 |--------------------| 1.0% val_auroc_score: 0.8981; val_auprc_score: 0.9787; val_best_acc_score: 0.8538; val_best_f1_score: 0.9212; train_kl_reg_loss: 275677.0044; train_edge_recon_loss: 117381.8236; train_gene_expr_recon_loss: 3326240.1787; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 3719299.0036; train_optim_loss: 3719299.0036; val_kl_reg_loss: 642733.1997; val_edge_recon_loss: 118825.5054; val_gene_expr_recon_loss: 12850220.7391; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 13611779.4348; val_optim_loss: 13611779.4348
Epoch 2/100 |--------------------| 2.0% val_auroc_score: 0.8803; val_auprc_score: 0.9768; val_best_acc_score: 0.8703; val_best_f1_score: 0.9293; train_kl_reg_loss: 172869.0573; train_edge_recon_loss: 118730.1652; train_gene_expr_recon_loss: 1727001.1087; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 2018600.3237; train_optim_loss: 2018600.3237; val_kl_reg_loss: 73664.2104; val_edge_recon_loss: 119064.0763; val_gene_expr_recon_loss: 1015605.7582; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 1208334.0380; val_optim_loss: 1208334.0380
Epoch 3/100 |--------------------| 3.0% val_auroc_score: 0.8658; val_auprc_score: 0.9742; val_best_acc_score: 0.8698; val_best_f1_score: 0.9277; train_kl_reg_loss: 62350.4665; train_edge_recon_loss: 118358.1634; train_gene_expr_recon_loss: 949083.8134; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 1129792.4432; train_optim_loss: 1129792.4432; val_kl_reg_loss: 53812.1022; val_edge_recon_loss: 117628.6140; val_gene_expr_recon_loss: 913113.6223; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 1084554.3315; val_optim_loss: 1084554.3315
Epoch 4/100 |--------------------| 4.0% val_auroc_score: 0.8642; val_auprc_score: 0.9730; val_best_acc_score: 0.8732; val_best_f1_score: 0.9305; train_kl_reg_loss: 46858.7574; train_edge_recon_loss: 117185.1107; train_gene_expr_recon_loss: 899476.9490; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 1063520.8137; train_optim_loss: 1063520.8137; val_kl_reg_loss: 41372.9901; val_edge_recon_loss: 118682.6158; val_gene_expr_recon_loss: 882429.9579; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 1042485.5598; val_optim_loss: 1042485.5598
Epoch 5/100 |█-------------------| 5.0% val_auroc_score: 0.8664; val_auprc_score: 0.9723; val_best_acc_score: 0.8734; val_best_f1_score: 0.9305; train_kl_reg_loss: 37446.3346; train_edge_recon_loss: 115323.4205; train_gene_expr_recon_loss: 870928.7408; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 1023698.4959; train_optim_loss: 1023698.4959; val_kl_reg_loss: 44906.5431; val_edge_recon_loss: 119204.3451; val_gene_expr_recon_loss: 858246.0190; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 1022356.9076; val_optim_loss: 1022356.9076
Epoch 6/100 |█-------------------| 6.0% val_auroc_score: 0.8741; val_auprc_score: 0.9737; val_best_acc_score: 0.8809; val_best_f1_score: 0.9341; train_kl_reg_loss: 32642.4966; train_edge_recon_loss: 113725.0997; train_gene_expr_recon_loss: 849634.0787; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 996001.6750; train_optim_loss: 996001.6750; val_kl_reg_loss: 31675.8889; val_edge_recon_loss: 115974.2291; val_gene_expr_recon_loss: 841063.1372; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 988713.2541; val_optim_loss: 988713.2541
Epoch 7/100 |█-------------------| 7.0% val_auroc_score: 0.8865; val_auprc_score: 0.9751; val_best_acc_score: 0.8948; val_best_f1_score: 0.9407; train_kl_reg_loss: 29212.0839; train_edge_recon_loss: 111401.0089; train_gene_expr_recon_loss: 831326.2533; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 971939.3456; train_optim_loss: 971939.3456; val_kl_reg_loss: 28840.8185; val_edge_recon_loss: 113840.7621; val_gene_expr_recon_loss: 822445.4103; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 965126.9918; val_optim_loss: 965126.9918
Epoch 8/100 |█-------------------| 8.0% val_auroc_score: 0.8981; val_auprc_score: 0.9760; val_best_acc_score: 0.9110; val_best_f1_score: 0.9492; train_kl_reg_loss: 26036.3599; train_edge_recon_loss: 108126.5440; train_gene_expr_recon_loss: 815927.2132; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 950090.1184; train_optim_loss: 950090.1184; val_kl_reg_loss: 27257.1770; val_edge_recon_loss: 111453.2210; val_gene_expr_recon_loss: 808629.3057; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 947339.7052; val_optim_loss: 947339.7052
Epoch 9/100 |█-------------------| 9.0% val_auroc_score: 0.9047; val_auprc_score: 0.9769; val_best_acc_score: 0.9177; val_best_f1_score: 0.9531; train_kl_reg_loss: 22753.4882; train_edge_recon_loss: 104383.7979; train_gene_expr_recon_loss: 802920.7997; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 930058.0853; train_optim_loss: 930058.0853; val_kl_reg_loss: 21669.9357; val_edge_recon_loss: 105957.6688; val_gene_expr_recon_loss: 796965.7840; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 924593.3845; val_optim_loss: 924593.3845
Epoch 10/100 |██------------------| 10.0% val_auroc_score: 0.9090; val_auprc_score: 0.9780; val_best_acc_score: 0.9185; val_best_f1_score: 0.9534; train_kl_reg_loss: 19868.7897; train_edge_recon_loss: 100385.2047; train_gene_expr_recon_loss: 791568.9524; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 911822.9478; train_optim_loss: 911822.9478; val_kl_reg_loss: 18164.5956; val_edge_recon_loss: 101378.1347; val_gene_expr_recon_loss: 785374.9918; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 904917.7215; val_optim_loss: 904917.7215
Epoch 11/100 |██------------------| 11.0% val_auroc_score: 0.9116; val_auprc_score: 0.9787; val_best_acc_score: 0.9198; val_best_f1_score: 0.9541; train_kl_reg_loss: 17006.3652; train_edge_recon_loss: 97210.7711; train_gene_expr_recon_loss: 780835.8703; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 895053.0068; train_optim_loss: 895053.0068; val_kl_reg_loss: 17123.4006; val_edge_recon_loss: 96787.6938; val_gene_expr_recon_loss: 776840.6495; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 890751.7432; val_optim_loss: 890751.7432
