[True]
Run timestamp: 26072023_234057_73.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'seqfish_mouse_organogenesis_imputed', '--reference_batches', 'batch1', 'batch2', 'batch3', 'batch4', 'batch5', 'batch6', '--n_neighbors', '4', '--filter_genes', '--n_hvg', '4000', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'one-hop-norm_reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--active_gp_thresh_ratio', '0.0', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gcnconv', '--n_epochs', '100', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000', '--lambda_gene_expr_recon', '3000', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0', '--edge_batch_size', '512', '--node_batch_size', 'None', '--n_sampled_neighbors', '-1', '--timestamp_suffix', '_73']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2324.
Number of gene programs after filtering and combining: 1818.

Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch4...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch5...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch6...
Loading data...
Computing spatial neighborhood graph...

Filtering genes...
Starting with 29452 genes.
Keeping 29452 genes after filtering genes with expression in 0 cells.
Keeping 4032 highly variable or gene program relevant genes.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, gene_expr_recon_dist: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.0
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ENCODER -> n_input: 4032, n_cat_covariates_embed_input: 0, n_layers: 1, n_hidden: 1540, n_latent: 1540, n_addon_latent: 0, conv_layer: gcnconv, n_attention_heads: 0, dropout_rate: 0.0
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED GENE EXPRESSION DECODER -> n_input: 1540, n_cat_covariates_embed_input: 3, n_addon_input: 0, n_output: 8064
ONE HOP GCN NORM NODE LABEL AGGREGATOR

--- INITIALIZING TRAINER ---
Number of training nodes: 47311
Number of validation nodes: 5257
Number of training edges: 109836
Number of validation edges: 12204
Edge batch size: 512
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/100 |--------------------| 1.0% val_auroc_score: 0.8628; val_auprc_score: 0.9724; val_best_acc_score: 0.8553; val_best_f1_score: 0.9220; train_kl_reg_loss: 242598.0342; train_edge_recon_loss: 1171560.5994; train_gene_expr_recon_loss: 16056920.1814; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 17471078.8744; train_optim_loss: 17471078.8744; val_kl_reg_loss: 268686.4414; val_edge_recon_loss: 1175809.4922; val_gene_expr_recon_loss: 10536474.6250; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 11980970.5417; val_optim_loss: 11980970.5417
Epoch 2/100 |--------------------| 2.0% val_auroc_score: 0.8533; val_auprc_score: 0.9694; val_best_acc_score: 0.8632; val_best_f1_score: 0.9258; train_kl_reg_loss: 239473.3918; train_edge_recon_loss: 1189566.6320; train_gene_expr_recon_loss: 10663217.4372; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 12092257.4279; train_optim_loss: 12092257.4279; val_kl_reg_loss: 191578.6094; val_edge_recon_loss: 1182155.8724; val_gene_expr_recon_loss: 10043354.2917; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 11417088.7500; val_optim_loss: 11417088.7500
Epoch 3/100 |--------------------| 3.0% val_auroc_score: 0.8447; val_auprc_score: 0.9677; val_best_acc_score: 0.8610; val_best_f1_score: 0.9237; train_kl_reg_loss: 176440.9395; train_edge_recon_loss: 1182227.5430; train_gene_expr_recon_loss: 10077224.9488; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 11435893.4419; train_optim_loss: 11435893.4419; val_kl_reg_loss: 146051.3444; val_edge_recon_loss: 1209141.7682; val_gene_expr_recon_loss: 9684260.4583; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 11039453.5417; val_optim_loss: 11039453.5417
Epoch 4/100 |--------------------| 4.0% val_auroc_score: 0.8497; val_auprc_score: 0.9698; val_best_acc_score: 0.8648; val_best_f1_score: 0.9261; train_kl_reg_loss: 112415.3025; train_edge_recon_loss: 1147182.5831; train_gene_expr_recon_loss: 19085188.7628; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 20344786.7163; train_optim_loss: 20344786.7163; val_kl_reg_loss: 62641.2080; val_edge_recon_loss: 1175836.6745; val_gene_expr_recon_loss: 14069831.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 15308309.0000; val_optim_loss: 15308309.0000
Epoch 5/100 |█-------------------| 5.0% val_auroc_score: 0.8296; val_auprc_score: 0.9657; val_best_acc_score: 0.8700; val_best_f1_score: 0.9292; train_kl_reg_loss: 70246.0376; train_edge_recon_loss: 1084781.2456; train_gene_expr_recon_loss: 13111342.1070; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 14266369.3907; train_optim_loss: 14266369.3907; val_kl_reg_loss: 72390.1846; val_edge_recon_loss: 1163010.1953; val_gene_expr_recon_loss: 12729130.1250; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 13964530.5833; val_optim_loss: 13964530.5833
Epoch 6/100 |█-------------------| 6.0% val_auroc_score: 0.8214; val_auprc_score: 0.9629; val_best_acc_score: 0.8667; val_best_f1_score: 0.9269; train_kl_reg_loss: 70681.5660; train_edge_recon_loss: 1081680.7029; train_gene_expr_recon_loss: 12411126.9535; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 13563489.2233; train_optim_loss: 13563489.2233; val_kl_reg_loss: 68620.1927; val_edge_recon_loss: 1201735.2656; val_gene_expr_recon_loss: 11627171.2917; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 12897526.7500; val_optim_loss: 12897526.7500
Epoch 7/100 |█-------------------| 7.0% val_auroc_score: 0.8140; val_auprc_score: 0.9615; val_best_acc_score: 0.8708; val_best_f1_score: 0.9291; train_kl_reg_loss: 71682.7700; train_edge_recon_loss: 1079665.8209; train_gene_expr_recon_loss: 9661449.4326; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 10812798.0326; train_optim_loss: 10812798.0326; val_kl_reg_loss: 67992.7682; val_edge_recon_loss: 1177754.6849; val_gene_expr_recon_loss: 9205729.5000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 10451477.0417; val_optim_loss: 10451477.0417
Epoch 8/100 |█-------------------| 8.0% val_auroc_score: 0.8337; val_auprc_score: 0.9662; val_best_acc_score: 0.8793; val_best_f1_score: 0.9339; train_kl_reg_loss: 72261.2472; train_edge_recon_loss: 1057620.0291; train_gene_expr_recon_loss: 9118687.4884; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 10248568.7674; train_optim_loss: 10248568.7674; val_kl_reg_loss: 68051.1055; val_edge_recon_loss: 1108850.9661; val_gene_expr_recon_loss: 9003809.2083; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 10180711.2500; val_optim_loss: 10180711.2500
Epoch 9/100 |█-------------------| 9.0% val_auroc_score: 0.8413; val_auprc_score: 0.9667; val_best_acc_score: 0.8794; val_best_f1_score: 0.9334; train_kl_reg_loss: 70804.1798; train_edge_recon_loss: 1054392.5355; train_gene_expr_recon_loss: 8905758.1116; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 10030954.8605; train_optim_loss: 10030954.8605; val_kl_reg_loss: 67227.4339; val_edge_recon_loss: 1104526.0182; val_gene_expr_recon_loss: 8805394.0833; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 9977147.5000; val_optim_loss: 9977147.5000
Epoch 10/100 |██------------------| 10.0% val_auroc_score: 0.8367; val_auprc_score: 0.9624; val_best_acc_score: 0.8771; val_best_f1_score: 0.9320; train_kl_reg_loss: 70539.0493; train_edge_recon_loss: 1038327.7355; train_gene_expr_recon_loss: 8758610.3488; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 9867477.1395; train_optim_loss: 9867477.1395; val_kl_reg_loss: 68486.4661; val_edge_recon_loss: 1100536.2083; val_gene_expr_recon_loss: 8686143.4167; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 9855166.0417; val_optim_loss: 9855166.0417
Epoch 11/100 |██------------------| 11.0% val_auroc_score: 0.8455; val_auprc_score: 0.9662; val_best_acc_score: 0.8826; val_best_f1_score: 0.9352; train_kl_reg_loss: 71727.3030; train_edge_recon_loss: 1002998.1776; train_gene_expr_recon_loss: 8640840.9581; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_global_loss: 9715566.4512; train_optim_loss: 9715566.4512; val_kl_reg_loss: 71525.2389; val_edge_recon_loss: 1025441.4609; val_gene_expr_recon_loss: 8575759.6667; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_global_loss: 9672726.2917; val_optim_loss: 9672726.2917
