First script finished. Launching follow up script.
Epoch 8/100 |█-------------------| 8.0% val_auroc_score: 0.9493; val_auprc_score: 0.9888; val_best_acc_score: 0.9452; val_best_f1_score: 0.9684; train_kl_reg_loss: 1364.6837; train_edge_recon_loss: 8860.0944; train_gene_expr_recon_loss: 113634.7867; train_masked_gp_l1_reg_loss: 733.8992; train_group_lasso_reg_loss: 0.0000; train_global_loss: 124593.4640; train_optim_loss: 124593.4640; val_kl_reg_loss: 1375.2979; val_edge_recon_loss: 7950.8959; val_gene_expr_recon_loss: 113062.7405; val_masked_gp_l1_reg_loss: 753.3008; val_group_lasso_reg_loss: 0.0000; val_global_loss: 123142.2361; val_optim_loss: 123142.2361
Epoch 52/100 |██████████----------| 52.0% val_auroc_score: 0.5000; val_auprc_score: 0.8537; val_best_acc_score: 0.8537; val_best_f1_score: 0.9211; train_kl_reg_loss: 0.1521; train_edge_recon_loss: 10163.4079; train_gene_expr_recon_loss: 64311.8673; train_masked_gp_l1_reg_loss: 21.7994; train_group_lasso_reg_loss: 0.0000; train_global_loss: 74497.2268; train_optim_loss: 74497.2268; val_kl_reg_loss: 0.1498; val_edge_recon_loss: 11908.1298; val_gene_expr_recon_loss: 64233.2639; val_masked_gp_l1_reg_loss: 21.7261; val_group_lasso_reg_loss: 0.0000; val_global_loss: 76163.2717; val_optim_loss: 76163.2717
Epoch 52/100 |██████████----------| 52.0% val_auroc_score: 0.9832; val_auprc_score: 0.9961; val_best_acc_score: 0.9742; val_best_f1_score: 0.9850; train_kl_reg_loss: 4296.3881; train_edge_recon_loss: 76932.4064; train_gene_expr_recon_loss: 613606.4391; train_masked_gp_l1_reg_loss: 2618.1921; train_group_lasso_reg_loss: 0.0000; train_global_loss: 697453.4271; train_optim_loss: 697453.4271; val_kl_reg_loss: 4228.0432; val_edge_recon_loss: 77264.6198; val_gene_expr_recon_loss: 612476.4306; val_masked_gp_l1_reg_loss: 2605.1365; val_group_lasso_reg_loss: 0.0000; val_global_loss: 696574.2222; val_optim_loss: 696574.2222
Epoch 5/100 |█-------------------| 5.0% val_auroc_score: 0.9412; val_auprc_score: 0.9870; val_best_acc_score: 0.9259; val_best_f1_score: 0.9569; train_kl_reg_loss: 84251.0753; train_edge_recon_loss: 116528.4680; train_gene_expr_recon_loss: 1142871.2356; train_masked_gp_l1_reg_loss: 3505.4595; train_group_lasso_reg_loss: 0.0000; train_global_loss: 1347156.2420; train_optim_loss: 1347156.2420; val_kl_reg_loss: 76598.4297; val_edge_recon_loss: 117914.2578; val_gene_expr_recon_loss: 1132520.7917; val_masked_gp_l1_reg_loss: 3592.0342; val_group_lasso_reg_loss: 0.0000; val_global_loss: 1330625.4722; val_optim_loss: 1330625.4722
Epoch 72/100 |██████████████------| 72.0% val_auroc_score: 0.9841; val_auprc_score: 0.9962; val_best_acc_score: 0.9756; val_best_f1_score: 0.9858; train_kl_reg_loss: 4239.8087; train_edge_recon_loss: 76568.4267; train_gene_expr_recon_loss: 603122.6306; train_masked_gp_l1_reg_loss: 2323.8765; train_group_lasso_reg_loss: 0.0000; train_global_loss: 686254.7460; train_optim_loss: 686254.7460; val_kl_reg_loss: 4034.2021; val_edge_recon_loss: 76165.6059; val_gene_expr_recon_loss: 602826.1181; val_masked_gp_l1_reg_loss: 2323.7166; val_group_lasso_reg_loss: 0.0000; val_global_loss: 685349.6111; val_optim_loss: 685349.6111
Epoch 10/100 |██------------------| 10.0% val_auroc_score: 0.9554; val_auprc_score: 0.9906; val_best_acc_score: 0.9380; val_best_f1_score: 0.9645; train_kl_reg_loss: 57279.7223; train_edge_recon_loss: 114714.2290; train_gene_expr_recon_loss: 1143839.8702; train_masked_gp_l1_reg_loss: 5193.5707; train_group_lasso_reg_loss: 0.0000; train_global_loss: 1321027.3862; train_optim_loss: 1321027.3862; val_kl_reg_loss: 52685.9583; val_edge_recon_loss: 113731.6068; val_gene_expr_recon_loss: 1139157.1806; val_masked_gp_l1_reg_loss: 5262.4814; val_group_lasso_reg_loss: 0.0000; val_global_loss: 1310837.2361; val_optim_loss: 1310837.2361
Epoch 70/100 |██████████████------| 70.0% val_auroc_score: 0.5000; val_auprc_score: 0.8537; val_best_acc_score: 0.8537; val_best_f1_score: 0.9211; train_kl_reg_loss: 0.0679; train_edge_recon_loss: 10208.6175; train_gene_expr_recon_loss: 69928.7609; train_masked_gp_l1_reg_loss: 0.2801; train_group_lasso_reg_loss: 0.0000; train_global_loss: 80137.7266; train_optim_loss: 80137.7266; val_kl_reg_loss: 0.0649; val_edge_recon_loss: 11893.9247; val_gene_expr_recon_loss: 69947.8090; val_masked_gp_l1_reg_loss: 0.2770; val_group_lasso_reg_loss: 0.0000; val_global_loss: 81842.0720; val_optim_loss: 81842.0720
Epoch 9/100 |█-------------------| 9.0% val_auroc_score: 0.9559; val_auprc_score: 0.9900; val_best_acc_score: 0.9504; val_best_f1_score: 0.9713; train_kl_reg_loss: 1399.7536; train_edge_recon_loss: 8774.6362; train_gene_expr_recon_loss: 112572.8281; train_masked_gp_l1_reg_loss: 768.9215; train_group_lasso_reg_loss: 0.0000; train_global_loss: 123516.1396; train_optim_loss: 123516.1396; val_kl_reg_loss: 1399.5234; val_edge_recon_loss: 7863.6380; val_gene_expr_recon_loss: 112068.4444; val_masked_gp_l1_reg_loss: 785.3989; val_group_lasso_reg_loss: 0.0000; val_global_loss: 122117.0035; val_optim_loss: 122117.0035
Epoch 6/100 |█-------------------| 6.0% val_auroc_score: 0.9447; val_auprc_score: 0.9878; val_best_acc_score: 0.9290; val_best_f1_score: 0.9585; train_kl_reg_loss: 74895.1045; train_edge_recon_loss: 115476.3423; train_gene_expr_recon_loss: 1121514.2196; train_masked_gp_l1_reg_loss: 3671.7104; train_group_lasso_reg_loss: 0.0000; train_global_loss: 1315557.3782; train_optim_loss: 1315557.3782; val_kl_reg_loss: 70754.2613; val_edge_recon_loss: 115164.4974; val_gene_expr_recon_loss: 1111278.8750; val_masked_gp_l1_reg_loss: 3750.2534; val_group_lasso_reg_loss: 0.0000; val_global_loss: 1300947.8889; val_optim_loss: 1300947.8889
Epoch 73/100 |██████████████------| 73.0% val_auroc_score: 0.9829; val_auprc_score: 0.9957; val_best_acc_score: 0.9741; val_best_f1_score: 0.9849; train_kl_reg_loss: 4234.6340; train_edge_recon_loss: 76847.7197; train_gene_expr_recon_loss: 602670.4391; train_masked_gp_l1_reg_loss: 2316.7090; train_group_lasso_reg_loss: 0.0000; train_global_loss: 686069.4976; train_optim_loss: 686069.4976; val_kl_reg_loss: 3991.2871; val_edge_recon_loss: 76766.6693; val_gene_expr_recon_loss: 603122.7708; val_masked_gp_l1_reg_loss: 2308.0405; val_group_lasso_reg_loss: 0.0000; val_global_loss: 686188.7917; val_optim_loss: 686188.7917
Epoch 11/100 |██------------------| 11.0% val_auroc_score: 0.9592; val_auprc_score: 0.9914; val_best_acc_score: 0.9416; val_best_f1_score: 0.9664; train_kl_reg_loss: 53136.8644; train_edge_recon_loss: 113398.3731; train_gene_expr_recon_loss: 1132703.3365; train_masked_gp_l1_reg_loss: 5327.0799; train_group_lasso_reg_loss: 0.0000; train_global_loss: 1304565.6394; train_optim_loss: 1304565.6394; val_kl_reg_loss: 53009.6480; val_edge_recon_loss: 114187.2057; val_gene_expr_recon_loss: 1127080.6667; val_masked_gp_l1_reg_loss: 5393.8242; val_group_lasso_reg_loss: 0.0000; val_global_loss: 1299671.4167; val_optim_loss: 1299671.4167
