[True]
Run timestamp: 29072023_123122_103.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'spatial_atac_rna_seq_mouse_brain_batch2', '--reference_batches', 'None', '--n_neighbors', '8', '--filter_genes', '--n_hvg', '3000', '--nichenet_keep_target_genes_ratio', '0.1', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--include_collectri_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--include_atac_modality', '--filter_peaks', '--min_cell_peak_thresh_ratio', '0.0005', '--model_label', 'one-hop-norm_reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--active_gp_thresh_ratio', '0.0', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'None', '--cat_covariates_embeds_nums', '0', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gcnconv', '--n_epochs', '100', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000', '--lambda_gene_expr_recon', '30000', '--lambda_chrom_access_recon', '30000', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0', '--edge_batch_size', '4096', '--node_batch_size', 'None', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_103']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 3396.
Number of gene programs after filtering and combining: 2766.

Filtering genes...
Starting with 22914 genes.
Keeping 22914 genes after filtering genes with expression in 0 cells.
Keeping 3011 highly variable or gene program relevant genes.

Filtering peaks...
Starting with 121068 peaks.
Keeping 121068 peaks after filtering  peaks with counts in less than 4 cells.
Keeping 12366 peaks after filtering peaks with no matching genes in gp mask.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_pred_loss: nb, include_chrom_access_recon_loss: True, atac_pred_loss: nb 
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.0
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['None']
ONE HOP GCN NORM NODE LABEL AGGREGATOR
ENCODER -> n_input: 15060, n_cat_covariates_embed_input: 0, n_layers: 1, n_hidden: 2108, n_latent: 2098, n_addon_latent: 10, conv_layer: gcnconv, n_attention_heads: 0, dropout_rate: 0.0
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 2098, n_cat_covariates_embed_input: 0, n_addon_gp_input: 10, n_output: 2694
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 2098, n_cat_covariates_embed_input: 0, n_addon_gp_input: 10, n_output: 2694
MASKED TARGET ATAC DECODER -> n_prior_gp_input: 2098, n_cat_covariates_embed_input: 0, n_addon_gp_input: 10, n_output: 12366
MASKED SOURCE ATAC DECODER -> n_prior_gp_input: 2098, n_cat_covariates_embed_input: 0, n_addon_gp_input: 10, n_output: 12366

--- INITIALIZING TRAINER ---
Number of training nodes: 8293
Number of validation nodes: 922
Number of training edges: 33399
Number of validation edges: 3711
Edge batch size: 4096
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/100 |--------------------| 1.0% val_auroc_score: 0.8642; val_auprc_score: 0.8896; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 5969.3352; train_edge_recon_loss: 3501264.6667; train_gene_expr_recon_loss: 80906992.0000; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 184135486.2222; train_global_loss: 268549713.7778; train_optim_loss: 268549713.7778; val_kl_reg_loss: 11478.5762; val_edge_recon_loss: 4065921.2500; val_gene_expr_recon_loss: 69438512.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 172330032.0000; val_global_loss: 245845952.0000; val_optim_loss: 245845952.0000
Epoch 2/100 |--------------------| 2.0% val_auroc_score: 0.8778; val_auprc_score: 0.8963; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 41552.0594; train_edge_recon_loss: 3562535.5556; train_gene_expr_recon_loss: 65418633.7778; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 173950830.2222; train_global_loss: 242973553.7778; train_optim_loss: 242973553.7778; val_kl_reg_loss: 49145.5078; val_edge_recon_loss: 4066248.0000; val_gene_expr_recon_loss: 62981688.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 172789472.0000; val_global_loss: 239886560.0000; val_optim_loss: 239886560.0000
Epoch 3/100 |--------------------| 3.0% val_auroc_score: 0.8721; val_auprc_score: 0.8882; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 65907.5065; train_edge_recon_loss: 3658070.5278; train_gene_expr_recon_loss: 63175175.5556; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 170516040.8889; train_global_loss: 237415192.8889; train_optim_loss: 237415192.8889; val_kl_reg_loss: 102981.4062; val_edge_recon_loss: 4066217.5000; val_gene_expr_recon_loss: 62744464.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 168155536.0000; val_global_loss: 235069200.0000; val_optim_loss: 235069200.0000
Epoch 4/100 |--------------------| 4.0% val_auroc_score: 0.8711; val_auprc_score: 0.8850; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 133862.2109; train_edge_recon_loss: 3648380.0278; train_gene_expr_recon_loss: 61084456.0000; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 168862154.6667; train_global_loss: 233728853.3333; train_optim_loss: 233728853.3333; val_kl_reg_loss: 120260.3281; val_edge_recon_loss: 4066206.2500; val_gene_expr_recon_loss: 57891604.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 167408736.0000; val_global_loss: 229486816.0000; val_optim_loss: 229486816.0000
Epoch 5/100 |█-------------------| 5.0% val_auroc_score: 0.8617; val_auprc_score: 0.8675; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 155057.9262; train_edge_recon_loss: 3698602.1111; train_gene_expr_recon_loss: 56721214.6667; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 166984199.1111; train_global_loss: 227559075.5556; train_optim_loss: 227559075.5556; val_kl_reg_loss: 142395.3750; val_edge_recon_loss: 4066160.2500; val_gene_expr_recon_loss: 55416784.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 164940800.0000; val_global_loss: 224566144.0000; val_optim_loss: 224566144.0000
Epoch 6/100 |█-------------------| 6.0% val_auroc_score: 0.8629; val_auprc_score: 0.8652; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 203827.2760; train_edge_recon_loss: 3689677.6111; train_gene_expr_recon_loss: 54623762.2222; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 164750584.8889; train_global_loss: 223267852.4444; train_optim_loss: 223267852.4444; val_kl_reg_loss: 159696.0625; val_edge_recon_loss: 4066087.2500; val_gene_expr_recon_loss: 52912348.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 163547168.0000; val_global_loss: 220685296.0000; val_optim_loss: 220685296.0000
Epoch 7/100 |█-------------------| 7.0% val_auroc_score: 0.8516; val_auprc_score: 0.8526; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 181820.8472; train_edge_recon_loss: 3735434.0278; train_gene_expr_recon_loss: 51788723.5556; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 163053463.1111; train_global_loss: 218759441.7778; train_optim_loss: 218759441.7778; val_kl_reg_loss: 179008.5938; val_edge_recon_loss: 4066009.2500; val_gene_expr_recon_loss: 50461620.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 161725472.0000; val_global_loss: 216432112.0000; val_optim_loss: 216432112.0000
Epoch 8/100 |█-------------------| 8.0% val_auroc_score: 0.8488; val_auprc_score: 0.8497; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 225630.3368; train_edge_recon_loss: 3675590.9722; train_gene_expr_recon_loss: 49364320.4444; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 161852568.8889; train_global_loss: 215118108.4444; train_optim_loss: 215118108.4444; val_kl_reg_loss: 188697.4062; val_edge_recon_loss: 4065978.0000; val_gene_expr_recon_loss: 48166056.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 160980800.0000; val_global_loss: 213401536.0000; val_optim_loss: 213401536.0000
Epoch 9/100 |█-------------------| 9.0% val_auroc_score: 0.8398; val_auprc_score: 0.8457; val_best_acc_score: 0.5004; val_best_f1_score: 0.6668; train_kl_reg_loss: 246728.6701; train_edge_recon_loss: 3667321.6944; train_gene_expr_recon_loss: 47210660.4444; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 160180759.1111; train_global_loss: 211305470.2222; train_optim_loss: 211305470.2222; val_kl_reg_loss: 191991.8750; val_edge_recon_loss: 4065869.2500; val_gene_expr_recon_loss: 46127692.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 159608480.0000; val_global_loss: 209994032.0000; val_optim_loss: 209994032.0000
Epoch 10/100 |██------------------| 10.0% val_auroc_score: 0.8357; val_auprc_score: 0.8401; val_best_acc_score: 0.5013; val_best_f1_score: 0.6673; train_kl_reg_loss: 230100.0191; train_edge_recon_loss: 3677130.1944; train_gene_expr_recon_loss: 45485407.5556; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 159507089.7778; train_global_loss: 208899726.2222; train_optim_loss: 208899726.2222; val_kl_reg_loss: 193657.1562; val_edge_recon_loss: 4065704.2500; val_gene_expr_recon_loss: 44557272.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 158299968.0000; val_global_loss: 207116608.0000; val_optim_loss: 207116608.0000
Epoch 11/100 |██------------------| 11.0% val_auroc_score: 0.8237; val_auprc_score: 0.8286; val_best_acc_score: 0.5035; val_best_f1_score: 0.6682; train_kl_reg_loss: 238243.9184; train_edge_recon_loss: 3653928.8056; train_gene_expr_recon_loss: 43819087.1111; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_chrom_access_recon_loss: 158656554.6667; train_global_loss: 206367816.8889; train_optim_loss: 206367816.8889; val_kl_reg_loss: 176730.6875; val_edge_recon_loss: 4065568.2500; val_gene_expr_recon_loss: 43033452.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_chrom_access_recon_loss: 157058784.0000; val_global_loss: 204334528.0000; val_optim_loss: 204334528.0000
