[True]
Run timestamp: 26072023_014655_37.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'spatial_atac_rna_seq_mouse_brain_batch2', '--reference_batches', 'None', '--n_neighbors', '8', '--filter_genes', '--n_hvg', '3000', '--nichenet_keep_target_genes_ratio', '0.1', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--include_collectri_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--include_atac_modality', '--filter_peaks', '--min_cell_peak_thresh_ratio', '0.0005', '--model_label', 'one-hop-norm_reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--active_gp_thresh_ratio', '0.0', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'None', '--cat_covariates_embeds_nums', '0', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gcnconv', '--n_epochs', '100', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '500000', '--lambda_gene_expr_recon', '30000', '--lambda_chrom_access_recon', '300', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0', '--edge_batch_size', '4096', '--node_batch_size', 'None', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_37']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 3396.
Number of gene programs after filtering and combining: 2766.

Filtering genes...
Starting with 22914 genes.
Keeping 22914 genes after filtering genes with expression in 0 cells.
Keeping 3011 highly variable or gene program relevant genes.

Filtering peaks...
Starting with 121068 peaks.
Keeping 121068 peaks after filtering  peaks with counts in less than 4 cells.
Keeping 12366 peaks after filtering peaks with no matching genes in gp mask.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, gene_expr_recon_dist: nb, include_chrom_access_recon_loss: True, chrom_access_recon_dist: nb 
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.0
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['None']
ENCODER -> n_input: 15060, n_cat_covariates_embed_input: 0, n_layers: 1, n_hidden: 2098, n_latent: 2098, n_addon_latent: 0, conv_layer: gcnconv, n_attention_heads: 0, dropout_rate: 0.0
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED GENE EXPRESSION DECODER -> n_input: 2098, n_cat_covariates_embed_input: 0, n_addon_input: 0, n_output: 5388
MASKED CHROMATIN ACCESSIBILITY DECODER -> n_input: 2098, n_cat_covariates_embed_input: 0, n_addon_input: 0, n_output: 24732
ONE HOP GCN NORM NODE LABEL AGGREGATOR

--- INITIALIZING TRAINER ---
Number of training nodes: 8293
Number of validation nodes: 922
Number of training edges: 33399
Number of validation edges: 3711
Edge batch size: 4096
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/100 |--------------------| 1.0% val_auroc_score: 0.8965; val_auprc_score: 0.9082; val_best_acc_score: 0.5003; val_best_f1_score: 0.6668; train_kl_reg_loss: 8988.0020; train_edge_recon_loss: 352051.4444; train_gene_expr_recon_loss: 31955241.5556; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 1084203.7778; train_global_loss: 33400484.8889; train_optim_loss: 33400484.8889; val_kl_reg_loss: 18996.2578; val_edge_recon_loss: 406592.6875; val_gene_expr_recon_loss: 29388064.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 1062429.0000; val_global_loss: 30876080.0000; val_optim_loss: 30876080.0000
Epoch 2/100 |--------------------| 2.0% val_auroc_score: 0.8807; val_auprc_score: 0.8873; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 36807.8409; train_edge_recon_loss: 373832.3333; train_gene_expr_recon_loss: 28569370.0000; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 1065029.8750; train_global_loss: 30045040.0000; train_optim_loss: 30045040.0000; val_kl_reg_loss: 48969.3555; val_edge_recon_loss: 406595.1562; val_gene_expr_recon_loss: 26597118.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 1038490.8750; val_global_loss: 28091172.0000; val_optim_loss: 28091172.0000
Epoch 3/100 |--------------------| 3.0% val_auroc_score: 0.8634; val_auprc_score: 0.8653; val_best_acc_score: 0.5001; val_best_f1_score: 0.6667; train_kl_reg_loss: 62640.0308; train_edge_recon_loss: 389766.8438; train_gene_expr_recon_loss: 26187940.0000; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 1038902.1042; train_global_loss: 27679248.8889; train_optim_loss: 27679248.8889; val_kl_reg_loss: 87966.9375; val_edge_recon_loss: 406594.1875; val_gene_expr_recon_loss: 24308108.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 1019370.0625; val_global_loss: 25822040.0000; val_optim_loss: 25822040.0000
Epoch 4/100 |--------------------| 4.0% val_auroc_score: 0.8694; val_auprc_score: 0.8692; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 118599.4132; train_edge_recon_loss: 399172.3333; train_gene_expr_recon_loss: 23981003.3333; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 1018460.8472; train_global_loss: 25517236.2222; train_optim_loss: 25517236.2222; val_kl_reg_loss: 131577.0469; val_edge_recon_loss: 406600.4062; val_gene_expr_recon_loss: 22888104.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 1001592.3125; val_global_loss: 24427874.0000; val_optim_loss: 24427874.0000
Epoch 5/100 |█-------------------| 5.0% val_auroc_score: 0.8769; val_auprc_score: 0.8740; val_best_acc_score: 0.5000; val_best_f1_score: 0.6667; train_kl_reg_loss: 137842.9653; train_edge_recon_loss: 404379.7569; train_gene_expr_recon_loss: 23004772.6667; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 999284.7639; train_global_loss: 24546280.4444; train_optim_loss: 24546280.4444; val_kl_reg_loss: 130669.7188; val_edge_recon_loss: 406585.6562; val_gene_expr_recon_loss: 22195196.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 993424.0625; val_global_loss: 23725876.0000; val_optim_loss: 23725876.0000
Epoch 6/100 |█-------------------| 6.0% val_auroc_score: 0.8812; val_auprc_score: 0.8795; val_best_acc_score: 0.5015; val_best_f1_score: 0.6673; train_kl_reg_loss: 139104.7344; train_edge_recon_loss: 404817.3021; train_gene_expr_recon_loss: 22268520.8889; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 995747.8194; train_global_loss: 23808190.6667; train_optim_loss: 23808190.6667; val_kl_reg_loss: 142895.1250; val_edge_recon_loss: 406562.0938; val_gene_expr_recon_loss: 21641644.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 984911.1250; val_global_loss: 23176014.0000; val_optim_loss: 23176014.0000
Epoch 7/100 |█-------------------| 7.0% val_auroc_score: 0.8841; val_auprc_score: 0.8799; val_best_acc_score: 0.5077; val_best_f1_score: 0.6700; train_kl_reg_loss: 150463.5503; train_edge_recon_loss: 404971.8576; train_gene_expr_recon_loss: 21787366.0000; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 984712.3681; train_global_loss: 23327513.7778; train_optim_loss: 23327513.7778; val_kl_reg_loss: 142264.5469; val_edge_recon_loss: 406508.1250; val_gene_expr_recon_loss: 21329264.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 981307.7500; val_global_loss: 22859344.0000; val_optim_loss: 22859344.0000
Epoch 8/100 |█-------------------| 8.0% val_auroc_score: 0.8766; val_auprc_score: 0.8661; val_best_acc_score: 0.5164; val_best_f1_score: 0.6735; train_kl_reg_loss: 145095.9045; train_edge_recon_loss: 404924.5625; train_gene_expr_recon_loss: 21580349.7778; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 982552.7986; train_global_loss: 23112923.5556; train_optim_loss: 23112923.5556; val_kl_reg_loss: 138877.4688; val_edge_recon_loss: 406414.5000; val_gene_expr_recon_loss: 21052482.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 977313.2500; val_global_loss: 22575088.0000; val_optim_loss: 22575088.0000
Epoch 9/100 |█-------------------| 9.0% val_auroc_score: 0.8804; val_auprc_score: 0.8682; val_best_acc_score: 0.5352; val_best_f1_score: 0.6816; train_kl_reg_loss: 143258.9809; train_edge_recon_loss: 404604.9896; train_gene_expr_recon_loss: 21423062.8889; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 988493.3056; train_global_loss: 22959420.0000; train_optim_loss: 22959420.0000; val_kl_reg_loss: 132700.7500; val_edge_recon_loss: 406292.8125; val_gene_expr_recon_loss: 20888048.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 974873.3125; val_global_loss: 22401916.0000; val_optim_loss: 22401916.0000
Epoch 10/100 |██------------------| 10.0% val_auroc_score: 0.8807; val_auprc_score: 0.8722; val_best_acc_score: 0.5779; val_best_f1_score: 0.7015; train_kl_reg_loss: 136685.8299; train_edge_recon_loss: 404481.9132; train_gene_expr_recon_loss: 21265841.5556; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 983172.2292; train_global_loss: 22790181.5556; train_optim_loss: 22790181.5556; val_kl_reg_loss: 128892.6484; val_edge_recon_loss: 406082.3125; val_gene_expr_recon_loss: 20799718.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 972338.1875; val_global_loss: 22307030.0000; val_optim_loss: 22307030.0000
Epoch 11/100 |██------------------| 11.0% val_auroc_score: 0.8777; val_auprc_score: 0.8673; val_best_acc_score: 0.6265; val_best_f1_score: 0.7252; train_kl_reg_loss: 132893.1233; train_edge_recon_loss: 404240.8576; train_gene_expr_recon_loss: 21116484.2222; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 978742.5903; train_global_loss: 22632360.4444; train_optim_loss: 22632360.4444; val_kl_reg_loss: 125343.4922; val_edge_recon_loss: 405797.8125; val_gene_expr_recon_loss: 20734372.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 972045.5000; val_global_loss: 22237560.0000; val_optim_loss: 22237560.0000
