[True]
Run timestamp: 07082023_195058_82.
Script arguments:
['../train_nichecompass_reference_model.py', '--dataset', 'spatial_atac_rna_seq_mouse_brain_batch2', '--reference_batches', 'None', '--n_neighbors', '8', '--filter_genes', '--n_hvg', '4000', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--include_collectri_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--counts_key', 'counts', '--condition_key', 'batch', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--mapping_entity_key', 'mapping_entity', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--include_atac_modality', '--filter_peaks', '--min_cell_peak_thresh_ratio', '0.01', '--model_label', 'one-hop-norm_reference', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '0', '--active_gp_thresh_ratio', '0.01', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'None', '--cat_covariates_embeds_nums', '0', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gcnconv', '--n_epochs', '100', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '500000', '--lambda_gene_expr_recon', '300', '--lambda_chrom_access_recon', '100', '--lambda_cat_covariates_contrastive', '0.0', '--contrastive_logits_pos_ratio', '0.0', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '5', '--lambda_l1_addon', '10.', '--edge_batch_size', '4096', '--node_batch_size', 'None', '--n_sampled_neighbors', '8', '--timestamp_suffix', '_82']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 3396.
Number of gene programs after filtering and combining: 2766.

Filtering genes...
Starting with 22914 genes.
Keeping 22914 genes after filtering genes with expression in 0 cells.
Keeping 5114 highly variable or gene program relevant genes.

Filtering peaks...
Starting with 121068 peaks.
Keeping 112141 peaks after filtering  peaks with counts in less than 92 cells.
Keeping 19267 peaks after filtering peaks with no matching genes in gp mask.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb, include_chrom_access_recon_loss: True, atac_recon_loss: nb 
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.01
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['None']
ONE HOP GCN NORM NODE LABEL AGGREGATOR
ENCODER -> n_input: 23942, n_cat_covariates_embed_input: 0, n_hidden: 2573, n_latent: 2573, n_addon_latent: 0, n_fc_layers: 1, n_layers: 1, conv_layer: gcnconv, n_attention_heads: 0, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 2573, n_addon_gp_input: 0, n_cat_covariates_embed_input: 0, n_output: 4675
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 2573, n_addon_gp_input: 0, n_cat_covariates_embed_input: 0, n_output: 4675
MASKED TARGET ATAC DECODER -> n_prior_gp_input: 2573, n_addon_gp_input: 0, n_cat_covariates_embed_input: 0, n_output: 19267
MASKED SOURCE ATAC DECODER -> n_prior_gp_input: 2573, n_addon_gp_input: 0, n_cat_covariates_embed_input: 0, n_output: 19267

--- INITIALIZING TRAINER ---
Number of training nodes: 8293
Number of validation nodes: 922
Number of training edges: 33399
Number of validation edges: 3711
Edge batch size: 4096
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/100 |--------------------| 1.0% val_auroc_score: 0.9150; val_auprc_score: 0.9206; val_best_acc_score: 0.5335; val_best_f1_score: 0.6815; train_kl_reg_loss: 5108.2369; train_edge_recon_loss: 348164.0903; train_gene_expr_recon_loss: 635390.1111; train_masked_gp_l1_reg_loss: 4509.5263; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 266440.5729; train_global_loss: 1259612.5139; train_optim_loss: 1259612.5139; val_kl_reg_loss: 5996.5688; val_edge_recon_loss: 406287.5000; val_gene_expr_recon_loss: 590818.1250; val_masked_gp_l1_reg_loss: 3858.1067; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 264421.5312; val_global_loss: 1271381.8750; val_optim_loss: 1271381.8750
Epoch 2/100 |--------------------| 2.0% val_auroc_score: 0.9111; val_auprc_score: 0.9141; val_best_acc_score: 0.5392; val_best_f1_score: 0.6839; train_kl_reg_loss: 11172.6157; train_edge_recon_loss: 354734.8194; train_gene_expr_recon_loss: 563127.1458; train_masked_gp_l1_reg_loss: 3655.6592; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 261179.9444; train_global_loss: 1193870.2083; train_optim_loss: 1193870.2083; val_kl_reg_loss: 12428.6191; val_edge_recon_loss: 406258.2812; val_gene_expr_recon_loss: 534311.1875; val_masked_gp_l1_reg_loss: 3508.8242; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 259607.1094; val_global_loss: 1216114.0000; val_optim_loss: 1216114.0000
Epoch 3/100 |--------------------| 3.0% val_auroc_score: 0.9026; val_auprc_score: 0.9027; val_best_acc_score: 0.5788; val_best_f1_score: 0.7017; train_kl_reg_loss: 14481.7248; train_edge_recon_loss: 356798.5035; train_gene_expr_recon_loss: 522681.6736; train_masked_gp_l1_reg_loss: 3545.7590; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 257018.4965; train_global_loss: 1154526.1250; train_optim_loss: 1154526.1250; val_kl_reg_loss: 17019.4961; val_edge_recon_loss: 406044.8750; val_gene_expr_recon_loss: 503508.2500; val_masked_gp_l1_reg_loss: 3620.1294; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 255903.5625; val_global_loss: 1186096.2500; val_optim_loss: 1186096.2500
Epoch 4/100 |--------------------| 4.0% val_auroc_score: 0.9042; val_auprc_score: 0.9039; val_best_acc_score: 0.6742; val_best_f1_score: 0.7495; train_kl_reg_loss: 17032.9976; train_edge_recon_loss: 357893.4375; train_gene_expr_recon_loss: 494389.0312; train_masked_gp_l1_reg_loss: 3661.3452; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 252750.8611; train_global_loss: 1125727.6667; train_optim_loss: 1125727.6667; val_kl_reg_loss: 18311.6660; val_edge_recon_loss: 405207.1875; val_gene_expr_recon_loss: 483195.4375; val_masked_gp_l1_reg_loss: 3692.1758; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 253146.2188; val_global_loss: 1163552.6250; val_optim_loss: 1163552.6250
Epoch 5/100 |█-------------------| 5.0% val_auroc_score: 0.9060; val_auprc_score: 0.8985; val_best_acc_score: 0.8087; val_best_f1_score: 0.8305; train_kl_reg_loss: 18410.7650; train_edge_recon_loss: 357603.3681; train_gene_expr_recon_loss: 480696.3403; train_masked_gp_l1_reg_loss: 3708.5872; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 252304.3524; train_global_loss: 1112723.3889; train_optim_loss: 1112723.3889; val_kl_reg_loss: 17496.4375; val_edge_recon_loss: 402885.3125; val_gene_expr_recon_loss: 469504.3750; val_masked_gp_l1_reg_loss: 3723.4177; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 251035.8438; val_global_loss: 1144645.3750; val_optim_loss: 1144645.3750
Epoch 6/100 |█-------------------| 6.0% val_auroc_score: 0.9176; val_auprc_score: 0.9077; val_best_acc_score: 0.8220; val_best_f1_score: 0.8081; train_kl_reg_loss: 18638.5716; train_edge_recon_loss: 356686.3611; train_gene_expr_recon_loss: 467202.3542; train_masked_gp_l1_reg_loss: 3742.4966; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 249596.4028; train_global_loss: 1095866.1944; train_optim_loss: 1095866.1944; val_kl_reg_loss: 18363.5605; val_edge_recon_loss: 395001.5000; val_gene_expr_recon_loss: 459242.1250; val_masked_gp_l1_reg_loss: 3757.5303; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 249164.2500; val_global_loss: 1125529.0000; val_optim_loss: 1125529.0000
Epoch 7/100 |█-------------------| 7.0% val_auroc_score: 0.9212; val_auprc_score: 0.9029; val_best_acc_score: 0.8445; val_best_f1_score: 0.8564; train_kl_reg_loss: 18431.0692; train_edge_recon_loss: 351587.5417; train_gene_expr_recon_loss: 457554.1042; train_masked_gp_l1_reg_loss: 3773.6036; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 247171.1198; train_global_loss: 1078517.4444; train_optim_loss: 1078517.4444; val_kl_reg_loss: 17074.7891; val_edge_recon_loss: 366140.0312; val_gene_expr_recon_loss: 455021.5625; val_masked_gp_l1_reg_loss: 3790.1460; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 248160.1875; val_global_loss: 1090186.7500; val_optim_loss: 1090186.7500
Epoch 8/100 |█-------------------| 8.0% val_auroc_score: 0.9197; val_auprc_score: 0.9084; val_best_acc_score: 0.8414; val_best_f1_score: 0.8500; train_kl_reg_loss: 20392.0534; train_edge_recon_loss: 332366.8056; train_gene_expr_recon_loss: 454746.7153; train_masked_gp_l1_reg_loss: 3817.5305; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 246247.8819; train_global_loss: 1057570.9931; train_optim_loss: 1057570.9931; val_kl_reg_loss: 24339.2246; val_edge_recon_loss: 315308.4062; val_gene_expr_recon_loss: 457307.9062; val_masked_gp_l1_reg_loss: 3853.8564; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 247891.9219; val_global_loss: 1048701.2500; val_optim_loss: 1048701.2500
Epoch 9/100 |█-------------------| 9.0% val_auroc_score: 0.9187; val_auprc_score: 0.8983; val_best_acc_score: 0.8420; val_best_f1_score: 0.8493; train_kl_reg_loss: 30241.4655; train_edge_recon_loss: 308081.2326; train_gene_expr_recon_loss: 452683.3160; train_masked_gp_l1_reg_loss: 3897.0788; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 245635.4549; train_global_loss: 1040538.5556; train_optim_loss: 1040538.5556; val_kl_reg_loss: 26595.6055; val_edge_recon_loss: 305966.3438; val_gene_expr_recon_loss: 452151.3125; val_masked_gp_l1_reg_loss: 3945.5640; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 246786.4531; val_global_loss: 1035445.2500; val_optim_loss: 1035445.2500
Epoch 10/100 |██------------------| 10.0% val_auroc_score: 0.9285; val_auprc_score: 0.9095; val_best_acc_score: 0.8604; val_best_f1_score: 0.8664; train_kl_reg_loss: 26263.3340; train_edge_recon_loss: 305071.5069; train_gene_expr_recon_loss: 448772.1736; train_masked_gp_l1_reg_loss: 3986.8073; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 245569.4375; train_global_loss: 1029663.2569; train_optim_loss: 1029663.2569; val_kl_reg_loss: 26002.4531; val_edge_recon_loss: 303136.5312; val_gene_expr_recon_loss: 447751.9375; val_masked_gp_l1_reg_loss: 4032.5825; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 245902.5156; val_global_loss: 1026826.0000; val_optim_loss: 1026826.0000
Epoch 11/100 |██------------------| 11.0% val_auroc_score: 0.9375; val_auprc_score: 0.9206; val_best_acc_score: 0.8724; val_best_f1_score: 0.8795; train_kl_reg_loss: 27191.5007; train_edge_recon_loss: 301491.7569; train_gene_expr_recon_loss: 446641.3507; train_masked_gp_l1_reg_loss: 4073.9683; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 245361.9583; train_global_loss: 1024760.5347; train_optim_loss: 1024760.5347; val_kl_reg_loss: 25307.9180; val_edge_recon_loss: 299059.0312; val_gene_expr_recon_loss: 443678.8438; val_masked_gp_l1_reg_loss: 4116.0781; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 244997.6875; val_global_loss: 1017159.5000; val_optim_loss: 1017159.5000
Epoch 12/100 |██------------------| 12.0% val_auroc_score: 0.9466; val_auprc_score: 0.9342; val_best_acc_score: 0.8828; val_best_f1_score: 0.8878; train_kl_reg_loss: 26610.6747; train_edge_recon_loss: 298673.0694; train_gene_expr_recon_loss: 443780.1181; train_masked_gp_l1_reg_loss: 4150.1000; train_group_lasso_reg_loss: 0.0000; train_chrom_access_recon_loss: 243734.4010; train_global_loss: 1016948.3472; train_optim_loss: 1016948.3472; val_kl_reg_loss: 25595.9961; val_edge_recon_loss: 298142.6562; val_gene_expr_recon_loss: 440720.5000; val_masked_gp_l1_reg_loss: 4184.4204; val_group_lasso_reg_loss: 0.0000; val_chrom_access_recon_loss: 244333.5625; val_global_loss: 1012977.1250; val_optim_loss: 1012977.1250
