Run timestamp: 29082023_164105_13.
Script arguments:
['../train_nichecompass_benchmarking_models.py', '--adata_new_name', 'None', '--n_neighbors_list', '8', '--edge_batch_size_list', '512', '--node_batch_size_list', 'None', '--seeds', '1', '--run_index', '2', '--cell_type_key', 'cell_type', '--no-filter_genes', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'human', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--dataset', 'nanostring_cosmx_human_nsclc', '--reference_batches', 'batch1', 'batch2', 'batch3', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'fov', '--cat_covariates_no_edges', 'True', 'False', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'gatv2conv_sample_integration_method_benchmarking', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '10', '--active_gp_thresh_ratio', '0.', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '30', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000.', '--lambda_gene_expr_recon', '3000.', '--lambda_cat_covariates_contrastive', '1000000.0', '--contrastive_logits_pos_ratio', '0.125', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0.', '--lambda_l1_addon', '0.', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_13']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2264.
Number of gene programs after filtering and combining: 1691.
Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...


Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.0
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 960, n_cat_covariates_embed_input: 0, n_hidden: 960, n_latent: 1494, n_addon_latent: 10, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1494, n_addon_gp_input: 10, n_cat_covariates_embed_input: 33, n_output: 960
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1494, n_addon_gp_input: 10, n_cat_covariates_embed_input: 33, n_output: 960

--- INITIALIZING TRAINER ---
Number of training nodes: 254146
Number of validation nodes: 28238
Number of training edges: 1162586
Number of validation edges: 129176
Edge batch size: 512
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.9563; val_auprc_score: 0.9850; val_best_acc_score: 0.9240; val_best_f1_score: 0.9522; train_kl_reg_loss: 20928.5199; train_edge_recon_loss: 1394575.6776; train_cat_covariates_contrastive_loss: 644299.1223; train_gene_expr_recon_loss: 2786650.9598; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4846454.2792; train_optim_loss: 4846454.2792; val_kl_reg_loss: 20244.6001; val_edge_recon_loss: 1368909.8651; val_cat_covariates_contrastive_loss: 642121.4758; val_gene_expr_recon_loss: 2487042.7036; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4518318.6522; val_optim_loss: 4518318.6522
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.9630; val_auprc_score: 0.9869; val_best_acc_score: 0.9356; val_best_f1_score: 0.9595; train_kl_reg_loss: 21619.4090; train_edge_recon_loss: 1344593.1730; train_cat_covariates_contrastive_loss: 644157.9698; train_gene_expr_recon_loss: 2324989.8704; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4335360.4188; train_optim_loss: 4335360.4188; val_kl_reg_loss: 24130.5888; val_edge_recon_loss: 1346128.4130; val_cat_covariates_contrastive_loss: 640989.7883; val_gene_expr_recon_loss: 2202126.9140; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4213375.7055; val_optim_loss: 4213375.7055
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.9737; val_auprc_score: 0.9904; val_best_acc_score: 0.9474; val_best_f1_score: 0.9667; train_kl_reg_loss: 23589.1960; train_edge_recon_loss: 1331980.6466; train_cat_covariates_contrastive_loss: 644652.7815; train_gene_expr_recon_loss: 2143278.6294; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4143501.2530; train_optim_loss: 4143501.2530; val_kl_reg_loss: 24479.2567; val_edge_recon_loss: 1334932.8676; val_cat_covariates_contrastive_loss: 644675.5783; val_gene_expr_recon_loss: 2095495.9812; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4099583.7006; val_optim_loss: 4099583.7006
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.9744; val_auprc_score: 0.9908; val_best_acc_score: 0.9504; val_best_f1_score: 0.9687; train_kl_reg_loss: 24372.1764; train_edge_recon_loss: 1328492.1809; train_cat_covariates_contrastive_loss: 644045.2230; train_gene_expr_recon_loss: 2067222.2905; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4064131.8698; train_optim_loss: 4064131.8698; val_kl_reg_loss: 24850.9823; val_edge_recon_loss: 1331478.6290; val_cat_covariates_contrastive_loss: 644229.5163; val_gene_expr_recon_loss: 2044427.2767; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4044986.4002; val_optim_loss: 4044986.4002
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.9756; val_auprc_score: 0.9911; val_best_acc_score: 0.9526; val_best_f1_score: 0.9700; train_kl_reg_loss: 25063.1902; train_edge_recon_loss: 1327466.4868; train_cat_covariates_contrastive_loss: 643615.3383; train_gene_expr_recon_loss: 2033577.0936; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4029722.1091; train_optim_loss: 4029722.1091; val_kl_reg_loss: 24248.3147; val_edge_recon_loss: 1328274.1309; val_cat_covariates_contrastive_loss: 645594.8031; val_gene_expr_recon_loss: 2028678.7248; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4026795.9644; val_optim_loss: 4026795.9644
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.9736; val_auprc_score: 0.9904; val_best_acc_score: 0.9504; val_best_f1_score: 0.9686; train_kl_reg_loss: 25483.3244; train_edge_recon_loss: 1325387.4140; train_cat_covariates_contrastive_loss: 643476.4290; train_gene_expr_recon_loss: 2011152.0525; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4005499.2212; train_optim_loss: 4005499.2212; val_kl_reg_loss: 26131.2660; val_edge_recon_loss: 1337633.4368; val_cat_covariates_contrastive_loss: 642459.6986; val_gene_expr_recon_loss: 2007098.9017; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4013323.3063; val_optim_loss: 4013323.3063
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.9759; val_auprc_score: 0.9912; val_best_acc_score: 0.9534; val_best_f1_score: 0.9705; train_kl_reg_loss: 25824.2221; train_edge_recon_loss: 1325319.3722; train_cat_covariates_contrastive_loss: 643239.4218; train_gene_expr_recon_loss: 1996635.3267; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3991018.3430; train_optim_loss: 3991018.3430; val_kl_reg_loss: 25787.0849; val_edge_recon_loss: 1335490.5721; val_cat_covariates_contrastive_loss: 643102.8169; val_gene_expr_recon_loss: 1992524.1299; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3996904.6028; val_optim_loss: 3996904.6028
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.9748; val_auprc_score: 0.9906; val_best_acc_score: 0.9527; val_best_f1_score: 0.9701; train_kl_reg_loss: 26064.4543; train_edge_recon_loss: 1325905.6839; train_cat_covariates_contrastive_loss: 642981.3354; train_gene_expr_recon_loss: 1985551.5566; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3980503.0271; train_optim_loss: 3980503.0271; val_kl_reg_loss: 26349.4775; val_edge_recon_loss: 1334750.9536; val_cat_covariates_contrastive_loss: 642852.7342; val_gene_expr_recon_loss: 1981962.0988; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3985915.2688; val_optim_loss: 3985915.2688
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9758; val_auprc_score: 0.9911; val_best_acc_score: 0.9548; val_best_f1_score: 0.9714; train_kl_reg_loss: 26305.0227; train_edge_recon_loss: 1323124.5840; train_cat_covariates_contrastive_loss: 643005.7482; train_gene_expr_recon_loss: 1978759.9051; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3971195.2610; train_optim_loss: 3971195.2610; val_kl_reg_loss: 26870.6681; val_edge_recon_loss: 1335183.1477; val_cat_covariates_contrastive_loss: 642806.1667; val_gene_expr_recon_loss: 1974432.1374; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3979292.1206; val_optim_loss: 3979292.1206
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9757; val_auprc_score: 0.9909; val_best_acc_score: 0.9552; val_best_f1_score: 0.9717; train_kl_reg_loss: 26761.2490; train_edge_recon_loss: 1321419.6559; train_cat_covariates_contrastive_loss: 643059.1041; train_gene_expr_recon_loss: 1970006.4264; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3961246.4352; train_optim_loss: 3961246.4352; val_kl_reg_loss: 26304.8434; val_edge_recon_loss: 1333370.6171; val_cat_covariates_contrastive_loss: 643063.5015; val_gene_expr_recon_loss: 1969598.2900; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3972337.2549; val_optim_loss: 3972337.2549
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9749; val_auprc_score: 0.9908; val_best_acc_score: 0.9546; val_best_f1_score: 0.9713; train_kl_reg_loss: 26978.4629; train_edge_recon_loss: 1322214.2937; train_cat_covariates_contrastive_loss: 642957.8489; train_gene_expr_recon_loss: 1961616.5311; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3953767.1318; train_optim_loss: 3953767.1318; val_kl_reg_loss: 28312.6984; val_edge_recon_loss: 1331808.5133; val_cat_covariates_contrastive_loss: 641001.6991; val_gene_expr_recon_loss: 1961129.3602; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3962252.2787; val_optim_loss: 3962252.2787
