Run timestamp: 30082023_175654_3.
Script arguments:
['../train_nichecompass_benchmarking_models.py', '--adata_new_name', 'None', '--n_neighbors_list', '12', '--edge_batch_size_list', '256', '--node_batch_size_list', 'None', '--seeds', '5', '--run_index', '6', '--cell_type_key', 'cell_type', '--no-filter_genes', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'human', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--dataset', 'nanostring_cosmx_human_nsclc_subsample_50pct', '--reference_batches', 'batch1', 'batch2', 'batch3', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'fov', '--cat_covariates_no_edges', 'True', 'False', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'gatv2conv_sample_integration_method_benchmarking', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '10', '--active_gp_thresh_ratio', '0.', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '30', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000.', '--lambda_gene_expr_recon', '3000.', '--lambda_cat_covariates_contrastive', '1000000.0', '--contrastive_logits_pos_ratio', '0.0625', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0.', '--lambda_l1_addon', '0.', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_3']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2264.
Number of gene programs after filtering and combining: 1691.
Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...


Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.0
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 960, n_cat_covariates_embed_input: 0, n_hidden: 960, n_latent: 1494, n_addon_latent: 10, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1494, n_addon_gp_input: 10, n_cat_covariates_embed_input: 33, n_output: 960
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1494, n_addon_gp_input: 10, n_cat_covariates_embed_input: 33, n_output: 960

--- INITIALIZING TRAINER ---
Number of training nodes: 127072
Number of validation nodes: 14119
Number of training edges: 863288
Number of validation edges: 95920
Edge batch size: 256
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.9559; val_auprc_score: 0.9818; val_best_acc_score: 0.9325; val_best_f1_score: 0.9566; train_kl_reg_loss: 13945.9615; train_edge_recon_loss: 1373852.7582; train_cat_covariates_contrastive_loss: 635947.0604; train_gene_expr_recon_loss: 2918664.9435; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4942410.7247; train_optim_loss: 4942410.7247; val_kl_reg_loss: 14148.9632; val_edge_recon_loss: 1348380.0813; val_cat_covariates_contrastive_loss: 634692.8105; val_gene_expr_recon_loss: 2631937.9267; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4629159.7800; val_optim_loss: 4629159.7800
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.9571; val_auprc_score: 0.9821; val_best_acc_score: 0.9339; val_best_f1_score: 0.9578; train_kl_reg_loss: 18165.0634; train_edge_recon_loss: 1330079.6727; train_cat_covariates_contrastive_loss: 636500.2092; train_gene_expr_recon_loss: 2455601.2836; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4440346.2299; train_optim_loss: 4440346.2299; val_kl_reg_loss: 21222.6473; val_edge_recon_loss: 1334042.7370; val_cat_covariates_contrastive_loss: 635904.5728; val_gene_expr_recon_loss: 2333764.9893; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4324934.9553; val_optim_loss: 4324934.9553
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.9635; val_auprc_score: 0.9841; val_best_acc_score: 0.9427; val_best_f1_score: 0.9633; train_kl_reg_loss: 22542.2734; train_edge_recon_loss: 1324539.4342; train_cat_covariates_contrastive_loss: 637602.0129; train_gene_expr_recon_loss: 2286687.7813; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4271371.4983; train_optim_loss: 4271371.4983; val_kl_reg_loss: 24076.6972; val_edge_recon_loss: 1333319.6413; val_cat_covariates_contrastive_loss: 637361.8122; val_gene_expr_recon_loss: 2265522.3927; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4260280.5360; val_optim_loss: 4260280.5360
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.9602; val_auprc_score: 0.9829; val_best_acc_score: 0.9399; val_best_f1_score: 0.9612; train_kl_reg_loss: 24921.2324; train_edge_recon_loss: 1326576.6186; train_cat_covariates_contrastive_loss: 638488.5583; train_gene_expr_recon_loss: 2225735.8582; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4215722.2666; train_optim_loss: 4215722.2666; val_kl_reg_loss: 26653.2176; val_edge_recon_loss: 1336850.0993; val_cat_covariates_contrastive_loss: 637602.2285; val_gene_expr_recon_loss: 2203344.2480; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4204449.7813; val_optim_loss: 4204449.7813
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.9646; val_auprc_score: 0.9845; val_best_acc_score: 0.9423; val_best_f1_score: 0.9628; train_kl_reg_loss: 26502.5661; train_edge_recon_loss: 1326955.3086; train_cat_covariates_contrastive_loss: 638766.1169; train_gene_expr_recon_loss: 2194968.1220; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4187192.1153; train_optim_loss: 4187192.1153; val_kl_reg_loss: 28019.1612; val_edge_recon_loss: 1334259.2703; val_cat_covariates_contrastive_loss: 637612.0043; val_gene_expr_recon_loss: 2180672.6907; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4180563.1347; val_optim_loss: 4180563.1347
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.9648; val_auprc_score: 0.9845; val_best_acc_score: 0.9429; val_best_f1_score: 0.9631; train_kl_reg_loss: 27783.9816; train_edge_recon_loss: 1323664.4225; train_cat_covariates_contrastive_loss: 639321.1186; train_gene_expr_recon_loss: 2172862.1597; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4163631.6829; train_optim_loss: 4163631.6829; val_kl_reg_loss: 28359.4787; val_edge_recon_loss: 1342544.4548; val_cat_covariates_contrastive_loss: 639908.2830; val_gene_expr_recon_loss: 2196454.0350; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4207266.2500; val_optim_loss: 4207266.2500
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.9655; val_auprc_score: 0.9847; val_best_acc_score: 0.9457; val_best_f1_score: 0.9651; train_kl_reg_loss: 28914.4012; train_edge_recon_loss: 1328576.8562; train_cat_covariates_contrastive_loss: 639812.9565; train_gene_expr_recon_loss: 2160453.7014; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4157757.9092; train_optim_loss: 4157757.9092; val_kl_reg_loss: 29854.3118; val_edge_recon_loss: 1330901.4327; val_cat_covariates_contrastive_loss: 638958.5685; val_gene_expr_recon_loss: 2216264.5157; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4215978.8260; val_optim_loss: 4215978.8260
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.9655; val_auprc_score: 0.9848; val_best_acc_score: 0.9459; val_best_f1_score: 0.9652; train_kl_reg_loss: 29751.7348; train_edge_recon_loss: 1324952.3569; train_cat_covariates_contrastive_loss: 640034.7564; train_gene_expr_recon_loss: 2150597.7758; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4145336.6223; train_optim_loss: 4145336.6223; val_kl_reg_loss: 29916.5585; val_edge_recon_loss: 1330199.9070; val_cat_covariates_contrastive_loss: 640862.5627; val_gene_expr_recon_loss: 2147344.2280; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4148323.2600; val_optim_loss: 4148323.2600
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9675; val_auprc_score: 0.9851; val_best_acc_score: 0.9489; val_best_f1_score: 0.9670; train_kl_reg_loss: 30554.0294; train_edge_recon_loss: 1326027.5619; train_cat_covariates_contrastive_loss: 640330.6265; train_gene_expr_recon_loss: 2141825.6854; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4138737.9034; train_optim_loss: 4138737.9034; val_kl_reg_loss: 30352.6925; val_edge_recon_loss: 1342782.2745; val_cat_covariates_contrastive_loss: 642635.7453; val_gene_expr_recon_loss: 2145050.1067; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4160820.8133; val_optim_loss: 4160820.8133
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9629; val_auprc_score: 0.9832; val_best_acc_score: 0.9477; val_best_f1_score: 0.9662; train_kl_reg_loss: 31514.9239; train_edge_recon_loss: 1326093.0998; train_cat_covariates_contrastive_loss: 640656.2847; train_gene_expr_recon_loss: 2136818.0026; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4135082.3094; train_optim_loss: 4135082.3094; val_kl_reg_loss: 32971.8138; val_edge_recon_loss: 1330409.7787; val_cat_covariates_contrastive_loss: 638885.9238; val_gene_expr_recon_loss: 2135891.9000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4138159.4200; val_optim_loss: 4138159.4200
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9649; val_auprc_score: 0.9843; val_best_acc_score: 0.9476; val_best_f1_score: 0.9663; train_kl_reg_loss: 31842.0125; train_edge_recon_loss: 1322354.9824; train_cat_covariates_contrastive_loss: 640860.3015; train_gene_expr_recon_loss: 2130041.7891; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4125099.0842; train_optim_loss: 4125099.0842; val_kl_reg_loss: 32184.1619; val_edge_recon_loss: 1335217.6178; val_cat_covariates_contrastive_loss: 640414.5335; val_gene_expr_recon_loss: 2123958.5760; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4131774.8900; val_optim_loss: 4131774.8900
