Run timestamp: 31082023_185449_4.
Script arguments:
['../train_nichecompass_benchmarking_models.py', '--adata_new_name', 'None', '--n_neighbors_list', '12', '--edge_batch_size_list', '8192', '--node_batch_size_list', 'None', '--seeds', '4', '--run_index', '5', '--cell_type_key', 'cell_type', '--no-filter_genes', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'human', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--dataset', 'nanostring_cosmx_human_nsclc_subsample_50pct', '--reference_batches', 'batch1', 'batch2', 'batch3', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'fov', '--cat_covariates_no_edges', 'True', 'False', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'gcnconv_sample_integration_method_benchmarking', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '10', '--active_gp_thresh_ratio', '0.', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '30', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gcnconv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000.', '--lambda_gene_expr_recon', '3000.', '--lambda_cat_covariates_contrastive', '1000000.0', '--contrastive_logits_pos_ratio', '0.0625', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0.', '--lambda_l1_addon', '0.', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_4']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2264.
Number of gene programs after filtering and combining: 1691.
Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...


Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.0
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 960, n_cat_covariates_embed_input: 0, n_hidden: 960, n_latent: 1494, n_addon_latent: 10, n_fc_layers: 1, n_layers: 1, conv_layer: gcnconv, n_attention_heads: 0, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1494, n_addon_gp_input: 10, n_cat_covariates_embed_input: 33, n_output: 960
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1494, n_addon_gp_input: 10, n_cat_covariates_embed_input: 33, n_output: 960

--- INITIALIZING TRAINER ---
Number of training nodes: 127072
Number of validation nodes: 14119
Number of training edges: 863288
Number of validation edges: 95920
Edge batch size: 8192
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.8815; val_auprc_score: 0.9587; val_best_acc_score: 0.8574; val_best_f1_score: 0.9134; train_kl_reg_loss: 21367.3901; train_edge_recon_loss: 1645143.7759; train_cat_covariates_contrastive_loss: 659266.5206; train_gene_expr_recon_loss: 3765129.5967; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 6090907.2736; train_optim_loss: 6090907.2736; val_kl_reg_loss: 36036.8617; val_edge_recon_loss: 1544395.4062; val_cat_covariates_contrastive_loss: 626897.9740; val_gene_expr_recon_loss: 3303843.5208; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 5511173.6667; val_optim_loss: 5511173.6667
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.9451; val_auprc_score: 0.9797; val_best_acc_score: 0.9111; val_best_f1_score: 0.9434; train_kl_reg_loss: 29904.5625; train_edge_recon_loss: 1440624.8479; train_cat_covariates_contrastive_loss: 630072.5254; train_gene_expr_recon_loss: 3215235.5637; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 5315837.5236; train_optim_loss: 5315837.5236; val_kl_reg_loss: 26777.4233; val_edge_recon_loss: 1386746.7500; val_cat_covariates_contrastive_loss: 630706.5052; val_gene_expr_recon_loss: 3160057.0417; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 5204287.7917; val_optim_loss: 5204287.7917
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.9581; val_auprc_score: 0.9848; val_best_acc_score: 0.9251; val_best_f1_score: 0.9523; train_kl_reg_loss: 24534.6476; train_edge_recon_loss: 1362072.5000; train_cat_covariates_contrastive_loss: 632660.8561; train_gene_expr_recon_loss: 3120284.4458; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 5139552.4387; train_optim_loss: 5139552.4387; val_kl_reg_loss: 21149.2135; val_edge_recon_loss: 1347036.9792; val_cat_covariates_contrastive_loss: 632277.1823; val_gene_expr_recon_loss: 3100330.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 5100793.4167; val_optim_loss: 5100793.4167
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.9633; val_auprc_score: 0.9860; val_best_acc_score: 0.9310; val_best_f1_score: 0.9557; train_kl_reg_loss: 19258.7412; train_edge_recon_loss: 1340584.2948; train_cat_covariates_contrastive_loss: 633284.3833; train_gene_expr_recon_loss: 3066383.3467; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 5059510.7500; train_optim_loss: 5059510.7500; val_kl_reg_loss: 16865.8592; val_edge_recon_loss: 1345563.3125; val_cat_covariates_contrastive_loss: 633035.6250; val_gene_expr_recon_loss: 3052623.1875; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 5048087.8333; val_optim_loss: 5048087.8333
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.9664; val_auprc_score: 0.9869; val_best_acc_score: 0.9367; val_best_f1_score: 0.9593; train_kl_reg_loss: 15641.1522; train_edge_recon_loss: 1331727.8597; train_cat_covariates_contrastive_loss: 633786.3491; train_gene_expr_recon_loss: 3027588.7193; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 5008744.0660; train_optim_loss: 5008744.0660; val_kl_reg_loss: 14295.1148; val_edge_recon_loss: 1336401.8333; val_cat_covariates_contrastive_loss: 633548.8021; val_gene_expr_recon_loss: 3012412.8125; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4996658.5833; val_optim_loss: 4996658.5833
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.9673; val_auprc_score: 0.9870; val_best_acc_score: 0.9388; val_best_f1_score: 0.9605; train_kl_reg_loss: 13836.4786; train_edge_recon_loss: 1330439.7524; train_cat_covariates_contrastive_loss: 633882.9004; train_gene_expr_recon_loss: 2999435.3892; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4977594.5189; train_optim_loss: 4977594.5189; val_kl_reg_loss: 13197.9114; val_edge_recon_loss: 1338055.0729; val_cat_covariates_contrastive_loss: 633012.2812; val_gene_expr_recon_loss: 2987966.9583; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4972232.2917; val_optim_loss: 4972232.2917
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.9670; val_auprc_score: 0.9871; val_best_acc_score: 0.9378; val_best_f1_score: 0.9600; train_kl_reg_loss: 12998.8279; train_edge_recon_loss: 1324967.4894; train_cat_covariates_contrastive_loss: 633557.9906; train_gene_expr_recon_loss: 2970970.6344; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4942494.9481; train_optim_loss: 4942494.9481; val_kl_reg_loss: 12300.5178; val_edge_recon_loss: 1336538.1042; val_cat_covariates_contrastive_loss: 632902.5938; val_gene_expr_recon_loss: 2969136.8125; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4950878.0000; val_optim_loss: 4950878.0000
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.9693; val_auprc_score: 0.9880; val_best_acc_score: 0.9410; val_best_f1_score: 0.9622; train_kl_reg_loss: 12475.9879; train_edge_recon_loss: 1325777.1380; train_cat_covariates_contrastive_loss: 633510.0425; train_gene_expr_recon_loss: 2945361.6698; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4917124.8538; train_optim_loss: 4917124.8538; val_kl_reg_loss: 12226.9999; val_edge_recon_loss: 1325235.0833; val_cat_covariates_contrastive_loss: 632957.7708; val_gene_expr_recon_loss: 2941768.8333; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4912188.6667; val_optim_loss: 4912188.6667
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9698; val_auprc_score: 0.9882; val_best_acc_score: 0.9426; val_best_f1_score: 0.9631; train_kl_reg_loss: 12205.2884; train_edge_recon_loss: 1324449.9575; train_cat_covariates_contrastive_loss: 633484.3844; train_gene_expr_recon_loss: 2925848.2500; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4895987.8585; train_optim_loss: 4895987.8585; val_kl_reg_loss: 11864.4742; val_edge_recon_loss: 1324226.1354; val_cat_covariates_contrastive_loss: 633286.4896; val_gene_expr_recon_loss: 2921258.6250; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4890635.7917; val_optim_loss: 4890635.7917
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9708; val_auprc_score: 0.9884; val_best_acc_score: 0.9430; val_best_f1_score: 0.9633; train_kl_reg_loss: 11990.9745; train_edge_recon_loss: 1322380.2594; train_cat_covariates_contrastive_loss: 633286.0831; train_gene_expr_recon_loss: 2906024.5802; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4873681.8726; train_optim_loss: 4873681.8726; val_kl_reg_loss: 11732.2831; val_edge_recon_loss: 1329260.6146; val_cat_covariates_contrastive_loss: 632746.0833; val_gene_expr_recon_loss: 2908184.6042; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4881923.5833; val_optim_loss: 4881923.5833
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9713; val_auprc_score: 0.9885; val_best_acc_score: 0.9452; val_best_f1_score: 0.9647; train_kl_reg_loss: 11877.5448; train_edge_recon_loss: 1321170.1745; train_cat_covariates_contrastive_loss: 633166.4086; train_gene_expr_recon_loss: 2890259.9552; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 4856474.1038; train_optim_loss: 4856474.1038; val_kl_reg_loss: 11586.1117; val_edge_recon_loss: 1318074.8646; val_cat_covariates_contrastive_loss: 632819.2240; val_gene_expr_recon_loss: 2891227.6042; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 4853707.7917; val_optim_loss: 4853707.7917
