Run timestamp: 31082023_084232_3.
Script arguments:
['../train_nichecompass_benchmarking_models.py', '--adata_new_name', 'None', '--n_neighbors_list', '4', '--edge_batch_size_list', '512', '--node_batch_size_list', 'None', '--seeds', '1', '--run_index', '2', '--cell_type_key', 'Main_molecular_cell_type', '--no-filter_genes', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--dataset', 'starmap_plus_mouse_cns', '--reference_batches', 'batch1', 'batch2', 'batch3', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', '--cat_covariates_no_edges', 'True', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'gatv2conv_sample_integration_method_benchmarking', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '10', '--active_gp_thresh_ratio', '0.', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '3', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000.', '--lambda_gene_expr_recon', '3000.', '--lambda_cat_covariates_contrastive', '1000000', '--contrastive_logits_pos_ratio', '0.015625', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0.', '--lambda_l1_addon', '0.', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_3']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2324.
Number of gene programs after filtering and combining: 1818.
Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch3...
Loading data...
Computing spatial neighborhood graph...


Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.0
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 1022, n_cat_covariates_embed_input: 0, n_hidden: 1022, n_latent: 1423, n_addon_latent: 10, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1423, n_addon_gp_input: 10, n_cat_covariates_embed_input: 3, n_output: 1022
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1423, n_addon_gp_input: 10, n_cat_covariates_embed_input: 3, n_output: 1022

--- INITIALIZING TRAINER ---
Number of training nodes: 380406
Number of validation nodes: 42267
Number of training edges: 914339
Number of validation edges: 101593
Edge batch size: 512
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.9487; val_auprc_score: 0.9643; val_best_acc_score: 0.9412; val_best_f1_score: 0.9606; train_kl_reg_loss: 16292.5936; train_edge_recon_loss: 1464230.5335; train_cat_covariates_contrastive_loss: 319467.7100; train_gene_expr_recon_loss: 1743040.4010; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3543031.2412; train_optim_loss: 3543031.2412; val_kl_reg_loss: 15201.3974; val_edge_recon_loss: 1442782.1910; val_cat_covariates_contrastive_loss: 318375.4793; val_gene_expr_recon_loss: 1546937.3078; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3323296.3744; val_optim_loss: 3323296.3744
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.9500; val_auprc_score: 0.9641; val_best_acc_score: 0.9499; val_best_f1_score: 0.9664; train_kl_reg_loss: 15807.6672; train_edge_recon_loss: 1421419.0158; train_cat_covariates_contrastive_loss: 318554.9639; train_gene_expr_recon_loss: 1449223.1872; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3205004.8303; train_optim_loss: 3205004.8303; val_kl_reg_loss: 16794.7643; val_edge_recon_loss: 1435401.9849; val_cat_covariates_contrastive_loss: 318053.9127; val_gene_expr_recon_loss: 1383656.4881; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3153907.1533; val_optim_loss: 3153907.1533
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.9523; val_auprc_score: 0.9649; val_best_acc_score: 0.9535; val_best_f1_score: 0.9687; train_kl_reg_loss: 17043.9704; train_edge_recon_loss: 1416689.6457; train_cat_covariates_contrastive_loss: 318131.8733; train_gene_expr_recon_loss: 1339201.8322; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3091067.3250; train_optim_loss: 3091067.3250; val_kl_reg_loss: 17140.7554; val_edge_recon_loss: 1437651.7431; val_cat_covariates_contrastive_loss: 318152.0941; val_gene_expr_recon_loss: 1311491.1376; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3084435.7324; val_optim_loss: 3084435.7324
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.9536; val_auprc_score: 0.9659; val_best_acc_score: 0.9556; val_best_f1_score: 0.9702; train_kl_reg_loss: 17708.7264; train_edge_recon_loss: 1416212.1684; train_cat_covariates_contrastive_loss: 318126.5672; train_gene_expr_recon_loss: 1289541.7363; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3041589.1979; train_optim_loss: 3041589.1979; val_kl_reg_loss: 18285.5410; val_edge_recon_loss: 1424774.2626; val_cat_covariates_contrastive_loss: 317641.3920; val_gene_expr_recon_loss: 1282858.9805; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3043560.1646; val_optim_loss: 3043560.1646
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.9549; val_auprc_score: 0.9665; val_best_acc_score: 0.9565; val_best_f1_score: 0.9707; train_kl_reg_loss: 18044.2787; train_edge_recon_loss: 1415958.3082; train_cat_covariates_contrastive_loss: 317845.9181; train_gene_expr_recon_loss: 1260629.4328; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 3012477.9356; train_optim_loss: 3012477.9356; val_kl_reg_loss: 17968.4277; val_edge_recon_loss: 1431388.1244; val_cat_covariates_contrastive_loss: 318039.7291; val_gene_expr_recon_loss: 1255198.2211; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3022594.5063; val_optim_loss: 3022594.5063
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.9544; val_auprc_score: 0.9661; val_best_acc_score: 0.9566; val_best_f1_score: 0.9708; train_kl_reg_loss: 18257.1979; train_edge_recon_loss: 1410037.1302; train_cat_covariates_contrastive_loss: 317895.0875; train_gene_expr_recon_loss: 1241965.4331; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2988154.8477; train_optim_loss: 2988154.8477; val_kl_reg_loss: 18286.7766; val_edge_recon_loss: 1423777.7374; val_cat_covariates_contrastive_loss: 317474.1572; val_gene_expr_recon_loss: 1244078.3335; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 3003616.9987; val_optim_loss: 3003616.9987
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.9552; val_auprc_score: 0.9664; val_best_acc_score: 0.9581; val_best_f1_score: 0.9718; train_kl_reg_loss: 18442.6527; train_edge_recon_loss: 1413698.6996; train_cat_covariates_contrastive_loss: 317638.3432; train_gene_expr_recon_loss: 1229953.1316; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2979732.8295; train_optim_loss: 2979732.8295; val_kl_reg_loss: 18537.8935; val_edge_recon_loss: 1421827.5911; val_cat_covariates_contrastive_loss: 317801.2184; val_gene_expr_recon_loss: 1234504.4523; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2992671.1482; val_optim_loss: 2992671.1482
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.9549; val_auprc_score: 0.9656; val_best_acc_score: 0.9595; val_best_f1_score: 0.9727; train_kl_reg_loss: 18619.4541; train_edge_recon_loss: 1411417.3103; train_cat_covariates_contrastive_loss: 317751.9670; train_gene_expr_recon_loss: 1220059.1040; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2967847.8329; train_optim_loss: 2967847.8329; val_kl_reg_loss: 18926.7026; val_edge_recon_loss: 1424633.4680; val_cat_covariates_contrastive_loss: 317304.1404; val_gene_expr_recon_loss: 1225124.5006; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2985988.8291; val_optim_loss: 2985988.8291
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9548; val_auprc_score: 0.9653; val_best_acc_score: 0.9592; val_best_f1_score: 0.9726; train_kl_reg_loss: 18720.2369; train_edge_recon_loss: 1412413.7639; train_cat_covariates_contrastive_loss: 317730.1466; train_gene_expr_recon_loss: 1212013.3812; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2960877.5301; train_optim_loss: 2960877.5301; val_kl_reg_loss: 19265.1444; val_edge_recon_loss: 1417332.8813; val_cat_covariates_contrastive_loss: 317409.4695; val_gene_expr_recon_loss: 1218363.4862; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2972370.9824; val_optim_loss: 2972370.9824
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9562; val_auprc_score: 0.9669; val_best_acc_score: 0.9600; val_best_f1_score: 0.9730; train_kl_reg_loss: 18844.0424; train_edge_recon_loss: 1410674.2155; train_cat_covariates_contrastive_loss: 317798.6631; train_gene_expr_recon_loss: 1204088.0038; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2951404.9255; train_optim_loss: 2951404.9255; val_kl_reg_loss: 18888.8038; val_edge_recon_loss: 1425698.4642; val_cat_covariates_contrastive_loss: 317619.6658; val_gene_expr_recon_loss: 1215708.7952; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2977915.7337; val_optim_loss: 2977915.7337
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9571; val_auprc_score: 0.9672; val_best_acc_score: 0.9604; val_best_f1_score: 0.9733; train_kl_reg_loss: 18904.0379; train_edge_recon_loss: 1408418.3834; train_cat_covariates_contrastive_loss: 317583.1482; train_gene_expr_recon_loss: 1198443.0849; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 2943348.6505; train_optim_loss: 2943348.6505; val_kl_reg_loss: 18861.2619; val_edge_recon_loss: 1426258.7701; val_cat_covariates_contrastive_loss: 317526.9942; val_gene_expr_recon_loss: 1204419.6621; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 2967066.6897; val_optim_loss: 2967066.6897
