Run timestamp: 30082023_120400_25.
Script arguments:
['../train_nichecompass_benchmarking_models.py', '--adata_new_name', 'None', '--n_neighbors_list', '6', '--edge_batch_size_list', '256', '--node_batch_size_list', 'None', '--seeds', '1', '--run_index', '2', '--cell_type_key', 'cell_type', '--filter_genes', '--n_svg', '3000', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--dataset', 'visium_mouse_brain', '--reference_batches', 'batch1', 'batch2', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'data', '--cat_covariates_no_edges', 'True', 'False', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'gatv2conv_sample_integration_method_benchmarking', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '10', '--active_gp_thresh_ratio', '0.', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '2', '2', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000.', '--lambda_gene_expr_recon', '3000.', '--lambda_cat_covariates_contrastive', '3000000', '--contrastive_logits_pos_ratio', '0.125', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0.', '--lambda_l1_addon', '0.', '--n_sampled_neighbors', '6', '--timestamp_suffix', '_25']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2324.
Number of gene programs after filtering and combining: 1818.
Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...


Filtering genes...
Starting with 32285 genes.
Keeping 32285 genes after filtering genes with expression in 0 cells.
Keeping 3000 spatially variable, highly variable or gene program relevant genes.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.0
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 3000, n_cat_covariates_embed_input: 0, n_hidden: 1475, n_latent: 1465, n_addon_latent: 10, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1465, n_addon_gp_input: 10, n_cat_covariates_embed_input: 4, n_output: 3000
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1465, n_addon_gp_input: 10, n_cat_covariates_embed_input: 4, n_output: 3000

--- INITIALIZING TRAINER ---
Number of training nodes: 10948
Number of validation nodes: 1216
Number of training edges: 33527
Number of validation edges: 3725
Edge batch size: 256
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.8491; val_auprc_score: 0.9208; val_best_acc_score: 0.7907; val_best_f1_score: 0.8586; train_kl_reg_loss: 56803.9566; train_edge_recon_loss: 2636023.6279; train_cat_covariates_contrastive_loss: 1966094.2128; train_gene_expr_recon_loss: 49224088.3053; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 53883010.0153; train_optim_loss: 53883010.0153; val_kl_reg_loss: 95037.4281; val_edge_recon_loss: 2732920.3167; val_cat_covariates_contrastive_loss: 1879842.2083; val_gene_expr_recon_loss: 39492909.8667; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 44200709.8667; val_optim_loss: 44200709.8667
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.8636; val_auprc_score: 0.9295; val_best_acc_score: 0.8037; val_best_f1_score: 0.8688; train_kl_reg_loss: 77106.6734; train_edge_recon_loss: 2580510.9332; train_cat_covariates_contrastive_loss: 1892941.4485; train_gene_expr_recon_loss: 36834814.6260; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 41385373.7405; train_optim_loss: 41385373.7405; val_kl_reg_loss: 95766.8109; val_edge_recon_loss: 2380300.7000; val_cat_covariates_contrastive_loss: 1882854.5000; val_gene_expr_recon_loss: 35590716.5333; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 39949638.6667; val_optim_loss: 39949638.6667
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.8803; val_auprc_score: 0.9367; val_best_acc_score: 0.8198; val_best_f1_score: 0.8806; train_kl_reg_loss: 96474.0302; train_edge_recon_loss: 2155744.4513; train_cat_covariates_contrastive_loss: 1892003.7261; train_gene_expr_recon_loss: 35084170.3664; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 39228392.6718; train_optim_loss: 39228392.6718; val_kl_reg_loss: 109373.6734; val_edge_recon_loss: 2072723.3917; val_cat_covariates_contrastive_loss: 1885148.7500; val_gene_expr_recon_loss: 34908173.3333; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 38975419.2000; val_optim_loss: 38975419.2000
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.8846; val_auprc_score: 0.9328; val_best_acc_score: 0.8245; val_best_f1_score: 0.8828; train_kl_reg_loss: 108986.8214; train_edge_recon_loss: 2049626.6269; train_cat_covariates_contrastive_loss: 1886794.9351; train_gene_expr_recon_loss: 34370961.6183; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 38416370.0153; train_optim_loss: 38416370.0153; val_kl_reg_loss: 102900.6964; val_edge_recon_loss: 2049632.1500; val_cat_covariates_contrastive_loss: 1885544.3833; val_gene_expr_recon_loss: 34193824.1333; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 38231901.3333; val_optim_loss: 38231901.3333
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.8964; val_auprc_score: 0.9453; val_best_acc_score: 0.8308; val_best_f1_score: 0.8861; train_kl_reg_loss: 101222.2326; train_edge_recon_loss: 1999884.6250; train_cat_covariates_contrastive_loss: 1887894.6298; train_gene_expr_recon_loss: 33831922.3817; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 37820923.8168; train_optim_loss: 37820923.8168; val_kl_reg_loss: 100737.4729; val_edge_recon_loss: 2007637.5750; val_cat_covariates_contrastive_loss: 1884150.6083; val_gene_expr_recon_loss: 33903815.4667; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 37896341.3333; val_optim_loss: 37896341.3333
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.8911; val_auprc_score: 0.9400; val_best_acc_score: 0.8307; val_best_f1_score: 0.8883; train_kl_reg_loss: 90917.0204; train_edge_recon_loss: 1983684.7090; train_cat_covariates_contrastive_loss: 1886960.4981; train_gene_expr_recon_loss: 33360115.2519; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 37321677.5878; train_optim_loss: 37321677.5878; val_kl_reg_loss: 82614.0875; val_edge_recon_loss: 2009187.2000; val_cat_covariates_contrastive_loss: 1887755.3083; val_gene_expr_recon_loss: 33309024.1333; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 37288580.8000; val_optim_loss: 37288580.8000
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.9057; val_auprc_score: 0.9494; val_best_acc_score: 0.8467; val_best_f1_score: 0.8976; train_kl_reg_loss: 83292.9414; train_edge_recon_loss: 1973439.5363; train_cat_covariates_contrastive_loss: 1887706.5983; train_gene_expr_recon_loss: 32925956.1679; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 36870395.2366; train_optim_loss: 36870395.2366; val_kl_reg_loss: 77136.8422; val_edge_recon_loss: 1938757.0917; val_cat_covariates_contrastive_loss: 1887076.4083; val_gene_expr_recon_loss: 32961679.8667; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 36864649.8667; val_optim_loss: 36864649.8667
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.9099; val_auprc_score: 0.9519; val_best_acc_score: 0.8517; val_best_f1_score: 0.8985; train_kl_reg_loss: 76931.2103; train_edge_recon_loss: 1937895.9084; train_cat_covariates_contrastive_loss: 1889748.9885; train_gene_expr_recon_loss: 32534848.3817; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 36439424.3969; train_optim_loss: 36439424.3969; val_kl_reg_loss: 75330.8906; val_edge_recon_loss: 1945416.8083; val_cat_covariates_contrastive_loss: 1891691.9917; val_gene_expr_recon_loss: 32447762.8000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 36360202.6667; val_optim_loss: 36360202.6667
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9123; val_auprc_score: 0.9516; val_best_acc_score: 0.8521; val_best_f1_score: 0.8986; train_kl_reg_loss: 72166.4668; train_edge_recon_loss: 1934413.2882; train_cat_covariates_contrastive_loss: 1891442.1011; train_gene_expr_recon_loss: 32129566.5191; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 36027588.3053; train_optim_loss: 36027588.3053; val_kl_reg_loss: 73265.6510; val_edge_recon_loss: 1927432.9000; val_cat_covariates_contrastive_loss: 1892637.3250; val_gene_expr_recon_loss: 32060075.2000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 35953410.6667; val_optim_loss: 35953410.6667
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9168; val_auprc_score: 0.9544; val_best_acc_score: 0.8582; val_best_f1_score: 0.9029; train_kl_reg_loss: 69716.4269; train_edge_recon_loss: 1920053.2891; train_cat_covariates_contrastive_loss: 1893446.6784; train_gene_expr_recon_loss: 31772449.8779; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 35655666.2290; train_optim_loss: 35655666.2290; val_kl_reg_loss: 67995.4240; val_edge_recon_loss: 1928076.8083; val_cat_covariates_contrastive_loss: 1894149.1250; val_gene_expr_recon_loss: 31741129.7333; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 35631351.0667; val_optim_loss: 35631351.0667
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9152; val_auprc_score: 0.9537; val_best_acc_score: 0.8689; val_best_f1_score: 0.9102; train_kl_reg_loss: 66103.3409; train_edge_recon_loss: 1892811.3282; train_cat_covariates_contrastive_loss: 1895622.2490; train_gene_expr_recon_loss: 31409758.4427; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 35264295.1603; train_optim_loss: 35264295.1603; val_kl_reg_loss: 65008.9542; val_edge_recon_loss: 1898180.2250; val_cat_covariates_contrastive_loss: 1895965.3750; val_gene_expr_recon_loss: 31427704.5333; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 35286858.6667; val_optim_loss: 35286858.6667
