Run timestamp: 30082023_163827_4.
Script arguments:
['../train_nichecompass_benchmarking_models.py', '--adata_new_name', 'None', '--n_neighbors_list', '6', '--edge_batch_size_list', '512', '--node_batch_size_list', 'None', '--seeds', '1', '--run_index', '2', '--cell_type_key', 'cell_type', '--filter_genes', '--n_svg', '5000', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--dataset', 'visium_mouse_brain', '--reference_batches', 'batch1', 'batch2', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'data', '--cat_covariates_no_edges', 'True', 'False', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'gatv2conv_sample_integration_method_benchmarking', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '10', '--active_gp_thresh_ratio', '0.', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '2', '2', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_fc_layers_encoder', '2', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000.', '--lambda_gene_expr_recon', '3000.', '--lambda_cat_covariates_contrastive', '1000000', '--contrastive_logits_pos_ratio', '0.0625', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0.', '--lambda_l1_addon', '0.', '--n_sampled_neighbors', '6', '--timestamp_suffix', '_4']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2324.
Number of gene programs after filtering and combining: 1818.
Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...


Filtering genes...
Starting with 32285 genes.
Keeping 32285 genes after filtering genes with expression in 0 cells.
Keeping 5000 spatially variable, highly variable or gene program relevant genes.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.0
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 5000, n_cat_covariates_embed_input: 0, n_hidden: 1530, n_latent: 1520, n_addon_latent: 10, n_fc_layers: 2, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1520, n_addon_gp_input: 10, n_cat_covariates_embed_input: 4, n_output: 5000
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1520, n_addon_gp_input: 10, n_cat_covariates_embed_input: 4, n_output: 5000

--- INITIALIZING TRAINER ---
Number of training nodes: 10948
Number of validation nodes: 1216
Number of training edges: 33527
Number of validation edges: 3725
Edge batch size: 512
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.7962; val_auprc_score: 0.8998; val_best_acc_score: 0.7628; val_best_f1_score: 0.8473; train_kl_reg_loss: 342822.8701; train_edge_recon_loss: 2376035.5379; train_cat_covariates_contrastive_loss: 653117.8191; train_gene_expr_recon_loss: 71465207.4545; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 74837183.9394; train_optim_loss: 74837183.9394; val_kl_reg_loss: 244693.9336; val_edge_recon_loss: 2237420.4375; val_cat_covariates_contrastive_loss: 626819.2734; val_gene_expr_recon_loss: 59321203.5000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 62430138.0000; val_optim_loss: 62430138.0000
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.8142; val_auprc_score: 0.9043; val_best_acc_score: 0.7594; val_best_f1_score: 0.8387; train_kl_reg_loss: 215891.8627; train_edge_recon_loss: 2252045.0360; train_cat_covariates_contrastive_loss: 628152.1629; train_gene_expr_recon_loss: 54693754.6061; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 57789843.5758; train_optim_loss: 57789843.5758; val_kl_reg_loss: 201737.0391; val_edge_recon_loss: 2252865.2188; val_cat_covariates_contrastive_loss: 627312.2188; val_gene_expr_recon_loss: 52396511.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 55478426.0000; val_optim_loss: 55478426.0000
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.8543; val_auprc_score: 0.9172; val_best_acc_score: 0.7994; val_best_f1_score: 0.8613; train_kl_reg_loss: 163648.0928; train_edge_recon_loss: 2202240.3182; train_cat_covariates_contrastive_loss: 628433.8163; train_gene_expr_recon_loss: 51170882.3030; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 54165204.3636; train_optim_loss: 54165204.3636; val_kl_reg_loss: 154129.1055; val_edge_recon_loss: 2162216.8750; val_cat_covariates_contrastive_loss: 627912.3750; val_gene_expr_recon_loss: 51033037.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 53977295.0000; val_optim_loss: 53977295.0000
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.8585; val_auprc_score: 0.9187; val_best_acc_score: 0.8087; val_best_f1_score: 0.8709; train_kl_reg_loss: 155188.8847; train_edge_recon_loss: 2099366.5985; train_cat_covariates_contrastive_loss: 628780.6231; train_gene_expr_recon_loss: 50014747.8788; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 52898083.8788; train_optim_loss: 52898083.8788; val_kl_reg_loss: 157415.6523; val_edge_recon_loss: 2155110.7656; val_cat_covariates_contrastive_loss: 628274.1406; val_gene_expr_recon_loss: 50066932.5000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 53007732.5000; val_optim_loss: 53007732.5000
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.8627; val_auprc_score: 0.9203; val_best_acc_score: 0.8185; val_best_f1_score: 0.8756; train_kl_reg_loss: 154649.4065; train_edge_recon_loss: 2058765.2727; train_cat_covariates_contrastive_loss: 628304.2254; train_gene_expr_recon_loss: 49354534.9697; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 52196253.8788; train_optim_loss: 52196253.8788; val_kl_reg_loss: 146150.8770; val_edge_recon_loss: 2105162.9531; val_cat_covariates_contrastive_loss: 628315.5469; val_gene_expr_recon_loss: 49085601.5000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 51965231.0000; val_optim_loss: 51965231.0000
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.8691; val_auprc_score: 0.9235; val_best_acc_score: 0.8239; val_best_f1_score: 0.8804; train_kl_reg_loss: 143485.0483; train_edge_recon_loss: 2038679.2008; train_cat_covariates_contrastive_loss: 628164.6155; train_gene_expr_recon_loss: 48863343.0303; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 51673671.8788; train_optim_loss: 51673671.8788; val_kl_reg_loss: 141688.6992; val_edge_recon_loss: 2055406.4688; val_cat_covariates_contrastive_loss: 627905.0234; val_gene_expr_recon_loss: 49005725.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 51830725.5000; val_optim_loss: 51830725.5000
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.8773; val_auprc_score: 0.9305; val_best_acc_score: 0.8268; val_best_f1_score: 0.8845; train_kl_reg_loss: 132908.3716; train_edge_recon_loss: 2019604.0246; train_cat_covariates_contrastive_loss: 628703.0549; train_gene_expr_recon_loss: 48428490.3030; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 51209705.5758; train_optim_loss: 51209705.5758; val_kl_reg_loss: 122512.0996; val_edge_recon_loss: 2007902.1094; val_cat_covariates_contrastive_loss: 629156.3281; val_gene_expr_recon_loss: 49173195.0000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 51932765.5000; val_optim_loss: 51932765.5000
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.8952; val_auprc_score: 0.9428; val_best_acc_score: 0.8382; val_best_f1_score: 0.8897; train_kl_reg_loss: 122287.4350; train_edge_recon_loss: 2035627.4053; train_cat_covariates_contrastive_loss: 629700.7936; train_gene_expr_recon_loss: 48046743.3333; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 50834358.9697; train_optim_loss: 50834358.9697; val_kl_reg_loss: 113304.5410; val_edge_recon_loss: 2011763.3125; val_cat_covariates_contrastive_loss: 630832.0547; val_gene_expr_recon_loss: 48489195.5000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 51245095.5000; val_optim_loss: 51245095.5000
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.8973; val_auprc_score: 0.9368; val_best_acc_score: 0.8529; val_best_f1_score: 0.8982; train_kl_reg_loss: 119036.6347; train_edge_recon_loss: 1990360.4564; train_cat_covariates_contrastive_loss: 630739.7235; train_gene_expr_recon_loss: 47607413.3333; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 50347550.1818; train_optim_loss: 50347550.1818; val_kl_reg_loss: 116152.6777; val_edge_recon_loss: 1990910.7188; val_cat_covariates_contrastive_loss: 631659.5781; val_gene_expr_recon_loss: 47908143.5000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 50646866.0000; val_optim_loss: 50646866.0000
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9064; val_auprc_score: 0.9474; val_best_acc_score: 0.8569; val_best_f1_score: 0.9027; train_kl_reg_loss: 111644.7641; train_edge_recon_loss: 1940292.1326; train_cat_covariates_contrastive_loss: 632368.4129; train_gene_expr_recon_loss: 47246151.5152; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 49930456.7879; train_optim_loss: 49930456.7879; val_kl_reg_loss: 110723.8184; val_edge_recon_loss: 1892027.4219; val_cat_covariates_contrastive_loss: 632104.0312; val_gene_expr_recon_loss: 47699275.5000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 50334131.0000; val_optim_loss: 50334131.0000
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9166; val_auprc_score: 0.9464; val_best_acc_score: 0.8701; val_best_f1_score: 0.9074; train_kl_reg_loss: 107984.7496; train_edge_recon_loss: 1942200.2159; train_cat_covariates_contrastive_loss: 634248.3608; train_gene_expr_recon_loss: 46874683.2727; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 49559116.3636; train_optim_loss: 49559116.3636; val_kl_reg_loss: 105502.9248; val_edge_recon_loss: 1964929.2812; val_cat_covariates_contrastive_loss: 635043.1562; val_gene_expr_recon_loss: 47100811.5000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 49806287.0000; val_optim_loss: 49806287.0000
