Run timestamp: 29082023_193821_7.
Script arguments:
['../train_nichecompass_benchmarking_models.py', '--adata_new_name', 'None', '--n_neighbors_list', '6', '--edge_batch_size_list', '256', '--node_batch_size_list', 'None', '--seeds', '1', '--run_index', '2', '--cell_type_key', 'cell_type', '--filter_genes', '--n_svg', '5000', '--nichenet_keep_target_genes_ratio', '1.0', '--nichenet_max_n_target_genes_per_gp', '250', '--include_mebocost_gps', '--species', 'mouse', '--gp_filter_mode', 'subset', '--combine_overlap_gps', '--overlap_thresh_source_genes', '0.9', '--overlap_thresh_target_genes', '0.9', '--overlap_thresh_genes', '0.9', '--dataset', 'visium_mouse_brain', '--reference_batches', 'batch1', 'batch2', '--counts_key', 'counts', '--cat_covariates_keys', 'batch', 'data', '--cat_covariates_no_edges', 'True', 'False', '--spatial_key', 'spatial', '--adj_key', 'spatial_connectivities', '--gp_targets_mask_key', 'nichecompass_gp_targets', '--gp_sources_mask_key', 'nichecompass_gp_sources', '--gp_names_key', 'nichecompass_gp_names', '--model_label', 'gatv2conv_sample_integration_method_benchmarking', '--active_gp_names_key', 'nichecompass_active_gp_names', '--latent_key', 'nichecompass_latent', '--n_addon_gp', '10', '--active_gp_thresh_ratio', '0.', '--gene_expr_recon_dist', 'nb', '--cat_covariates_embeds_injection', 'gene_expr_decoder', '--cat_covariates_embeds_nums', '2', '2', '--log_variational', '--node_label_method', 'one-hop-norm', '--n_layers_encoder', '1', '--n_hidden_encoder', 'None', '--conv_layer_encoder', 'gatv2conv', '--n_epochs', '400', '--n_epochs_all_gps', '25', '--n_epochs_no_cat_covariates_contrastive', '0', '--lr', '0.001', '--lambda_edge_recon', '5000000.', '--lambda_gene_expr_recon', '3000.', '--lambda_cat_covariates_contrastive', '5000000.0', '--contrastive_logits_pos_ratio', '0.125', '--contrastive_logits_neg_ratio', '0.0', '--lambda_group_lasso', '0.', '--lambda_l1_masked', '0.', '--lambda_l1_addon', '0.', '--n_sampled_neighbors', '4', '--timestamp_suffix', '_7']

Preparing the gene program mask...
Number of gene programs before filtering and combining: 2324.
Number of gene programs after filtering and combining: 1818.
Processing batch batch1...
Loading data...
Computing spatial neighborhood graph...

Processing batch batch2...
Loading data...
Computing spatial neighborhood graph...


Filtering genes...
Starting with 32285 genes.
Keeping 32285 genes after filtering genes with expression in 0 cells.
Keeping 5000 spatially variable, highly variable or gene program relevant genes.

Training model...
--- INITIALIZING NEW NETWORK MODULE: VARIATIONAL GENE PROGRAM GRAPH AUTOENCODER ---
LOSS -> include_edge_recon_loss: True, include_gene_expr_recon_loss: True, rna_recon_loss: nb
NODE LABEL METHOD -> one-hop-norm
ACTIVE GP THRESHOLD RATIO -> 0.0
LOG VARIATIONAL -> True
CATEGORICAL COVARIATES EMBEDDINGS INJECTION -> ['gene_expr_decoder']
ONE HOP GCN NORM RNA NODE LABEL AGGREGATOR
ENCODER -> n_input: 5000, n_cat_covariates_embed_input: 0, n_hidden: 1530, n_latent: 1520, n_addon_latent: 10, n_fc_layers: 1, n_layers: 1, conv_layer: gatv2conv, n_attention_heads: 4, dropout_rate: 0.0, use_bn: False
COSINE SIM GRAPH DECODER -> dropout_rate: 0.0
MASKED TARGET RNA DECODER -> n_prior_gp_input: 1520, n_addon_gp_input: 10, n_cat_covariates_embed_input: 4, n_output: 5000
MASKED SOURCE RNA DECODER -> n_prior_gp_input: 1520, n_addon_gp_input: 10, n_cat_covariates_embed_input: 4, n_output: 5000

--- INITIALIZING TRAINER ---
Number of training nodes: 10948
Number of validation nodes: 1216
Number of training edges: 33527
Number of validation edges: 3725
Edge batch size: 256
Node batch size: None

--- MODEL TRAINING ---
Epoch 1/400 |--------------------| 0.2% val_auroc_score: 0.8509; val_auprc_score: 0.9164; val_best_acc_score: 0.7896; val_best_f1_score: 0.8476; train_kl_reg_loss: 223364.4132; train_edge_recon_loss: 2628330.1336; train_cat_covariates_contrastive_loss: 3255519.2023; train_gene_expr_recon_loss: 79794939.2977; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 85902152.5191; train_optim_loss: 85902152.5191; val_kl_reg_loss: 166583.0010; val_edge_recon_loss: 2731788.9333; val_cat_covariates_contrastive_loss: 3133641.2500; val_gene_expr_recon_loss: 57497393.0667; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 63529406.4000; val_optim_loss: 63529406.4000
Epoch 2/400 |--------------------| 0.5% val_auroc_score: 0.8558; val_auprc_score: 0.9218; val_best_acc_score: 0.8014; val_best_f1_score: 0.8656; train_kl_reg_loss: 157611.0123; train_edge_recon_loss: 2527771.1431; train_cat_covariates_contrastive_loss: 3151836.7233; train_gene_expr_recon_loss: 54323152.9771; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 60160372.0305; train_optim_loss: 60160372.0305; val_kl_reg_loss: 135868.7615; val_edge_recon_loss: 2567378.2833; val_cat_covariates_contrastive_loss: 3138851.8833; val_gene_expr_recon_loss: 51370283.4667; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 57212382.4000; val_optim_loss: 57212382.4000
Epoch 3/400 |--------------------| 0.8% val_auroc_score: 0.8582; val_auprc_score: 0.9275; val_best_acc_score: 0.7946; val_best_f1_score: 0.8641; train_kl_reg_loss: 131734.2231; train_edge_recon_loss: 2339877.0706; train_cat_covariates_contrastive_loss: 3155689.2366; train_gene_expr_recon_loss: 51099444.3359; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 56726744.9160; train_optim_loss: 56726744.9160; val_kl_reg_loss: 151349.8729; val_edge_recon_loss: 2202158.3667; val_cat_covariates_contrastive_loss: 3141651.3333; val_gene_expr_recon_loss: 49518047.7333; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 55013206.6667; val_optim_loss: 55013206.6667
Epoch 4/400 |--------------------| 1.0% val_auroc_score: 0.8802; val_auprc_score: 0.9360; val_best_acc_score: 0.8232; val_best_f1_score: 0.8831; train_kl_reg_loss: 159658.3359; train_edge_recon_loss: 2108093.7042; train_cat_covariates_contrastive_loss: 3143741.3397; train_gene_expr_recon_loss: 49665776.3359; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 55077269.6489; train_optim_loss: 55077269.6489; val_kl_reg_loss: 155663.8292; val_edge_recon_loss: 2064542.5500; val_cat_covariates_contrastive_loss: 3142405.6333; val_gene_expr_recon_loss: 48331320.2667; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 53693932.8000; val_optim_loss: 53693932.8000
Epoch 5/400 |--------------------| 1.2% val_auroc_score: 0.8873; val_auprc_score: 0.9396; val_best_acc_score: 0.8241; val_best_f1_score: 0.8841; train_kl_reg_loss: 149998.5252; train_edge_recon_loss: 2052615.1775; train_cat_covariates_contrastive_loss: 3145029.1107; train_gene_expr_recon_loss: 48712355.5115; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 54059998.2290; train_optim_loss: 54059998.2290; val_kl_reg_loss: 140193.4208; val_edge_recon_loss: 2070480.7500; val_cat_covariates_contrastive_loss: 3143333.0000; val_gene_expr_recon_loss: 47699901.3333; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 53053908.8000; val_optim_loss: 53053908.8000
Epoch 6/400 |--------------------| 1.5% val_auroc_score: 0.8883; val_auprc_score: 0.9387; val_best_acc_score: 0.8234; val_best_f1_score: 0.8823; train_kl_reg_loss: 132328.8826; train_edge_recon_loss: 2020757.2300; train_cat_covariates_contrastive_loss: 3144813.5401; train_gene_expr_recon_loss: 47952160.9160; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 53250060.6107; train_optim_loss: 53250060.6107; val_kl_reg_loss: 122053.3917; val_edge_recon_loss: 2067499.8750; val_cat_covariates_contrastive_loss: 3143520.1833; val_gene_expr_recon_loss: 47000647.2000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 52333720.5333; val_optim_loss: 52333720.5333
Epoch 7/400 |--------------------| 1.8% val_auroc_score: 0.8899; val_auprc_score: 0.9426; val_best_acc_score: 0.8311; val_best_f1_score: 0.8888; train_kl_reg_loss: 118027.2266; train_edge_recon_loss: 2001258.5906; train_cat_covariates_contrastive_loss: 3146247.5935; train_gene_expr_recon_loss: 47289343.1756; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 52554876.6718; train_optim_loss: 52554876.6718; val_kl_reg_loss: 108986.4062; val_edge_recon_loss: 2027055.6583; val_cat_covariates_contrastive_loss: 3146489.4833; val_gene_expr_recon_loss: 46288585.0667; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 51571116.5333; val_optim_loss: 51571116.5333
Epoch 8/400 |--------------------| 2.0% val_auroc_score: 0.8997; val_auprc_score: 0.9460; val_best_acc_score: 0.8436; val_best_f1_score: 0.8950; train_kl_reg_loss: 109010.9204; train_edge_recon_loss: 1995901.0305; train_cat_covariates_contrastive_loss: 3147834.8225; train_gene_expr_recon_loss: 46725342.2595; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 51978089.0992; train_optim_loss: 51978089.0992; val_kl_reg_loss: 106483.2828; val_edge_recon_loss: 1957896.5750; val_cat_covariates_contrastive_loss: 3147794.4667; val_gene_expr_recon_loss: 45840787.7333; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 51052961.8667; val_optim_loss: 51052961.8667
Epoch 9/400 |--------------------| 2.2% val_auroc_score: 0.9068; val_auprc_score: 0.9533; val_best_acc_score: 0.8403; val_best_f1_score: 0.8932; train_kl_reg_loss: 102708.9899; train_edge_recon_loss: 1994541.6212; train_cat_covariates_contrastive_loss: 3149251.5401; train_gene_expr_recon_loss: 46242163.7252; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 51488665.9542; train_optim_loss: 51488665.9542; val_kl_reg_loss: 99660.2234; val_edge_recon_loss: 1952927.3083; val_cat_covariates_contrastive_loss: 3147351.5667; val_gene_expr_recon_loss: 45462697.0667; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 50662636.0000; val_optim_loss: 50662636.0000
Epoch 10/400 |--------------------| 2.5% val_auroc_score: 0.9016; val_auprc_score: 0.9475; val_best_acc_score: 0.8406; val_best_f1_score: 0.8947; train_kl_reg_loss: 96404.1978; train_edge_recon_loss: 1970932.8712; train_cat_covariates_contrastive_loss: 3150274.4695; train_gene_expr_recon_loss: 45786234.0153; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 51003845.6183; train_optim_loss: 51003845.6183; val_kl_reg_loss: 91531.6349; val_edge_recon_loss: 1971038.5167; val_cat_covariates_contrastive_loss: 3151046.1333; val_gene_expr_recon_loss: 45023108.2667; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 50236724.5333; val_optim_loss: 50236724.5333
Epoch 11/400 |--------------------| 2.8% val_auroc_score: 0.9084; val_auprc_score: 0.9524; val_best_acc_score: 0.8428; val_best_f1_score: 0.8955; train_kl_reg_loss: 89950.9825; train_edge_recon_loss: 1948347.5763; train_cat_covariates_contrastive_loss: 3151655.9027; train_gene_expr_recon_loss: 45416342.3511; train_masked_gp_l1_reg_loss: 0.0000; train_group_lasso_reg_loss: 0.0000; train_addon_gp_l1_reg_loss: 0.0000; train_global_loss: 50606296.9160; train_optim_loss: 50606296.9160; val_kl_reg_loss: 90700.9531; val_edge_recon_loss: 1944669.7417; val_cat_covariates_contrastive_loss: 3151944.8333; val_gene_expr_recon_loss: 44483495.2000; val_masked_gp_l1_reg_loss: 0.0000; val_group_lasso_reg_loss: 0.0000; val_addon_gp_l1_reg_loss: 0.0000; val_global_loss: 49670810.4000; val_optim_loss: 49670810.4000
